model	dataset	condition	master_json	tsv_probe_master	json_probe_mean	json_per_repeat	json_mean_matches_tsv	tsv_zs_master	zs_recomputed	zs_matches	zs_n	zs_file	tsv_diff_lo	tsv_diff_hi	tsv_point	tsv_probe_source	probe_file	probe_md5	kind	n_probe	n_joined	n_spk	labels_agree	per_repeat_recomputed	probe_recomputed	per_repeat_matches_json	probe_mean_matches_master	point_diff	key	diff_lo	diff_hi	boot_usable	excludes_zero	probe_above_answer	rank	is_out_dup
Qwen2-Audio	PC-GITA	PD	<local data dir>/paper1_local_runs/omni_final/q2a_pcgita_nested_repeats.json	0.9097	0.9097	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	yes	0.5369	0.5369	yes	1100	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv	0.3083	0.435	0.3763	<local data dir>/paper1_local_runs/probe2/pcgita_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_pcgita_enc_rep5_oof.csv	e88aff17cda38cb3c14751a2a93ad62f	rep5	1100	1100	100	yes	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	0.9097	yes	yes	0.3728	q2a_pcgita_02	0.3104	0.4271	2000	yes	yes	0	False
Qwen2-Audio	NeuroVoz	PD	<local data dir>/paper1_local_runs/omni_final/q2a_neurovoz_nested_repeats.json	0.9324	0.9324	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	yes	0.5519	0.5519	yes	1270	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv	0.3303	0.4399	0.3864	<local data dir>/paper1_local_runs/probe2/neurovoz_enc_nested_oof.csv	scores/part25/C/pull/p25C-3/out/q2a_neurovoz_enc_rep5_oof.csv	b9a2a74f5a70c6b39816bde4661d3466	rep5	1270	1270	107	yes	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	0.9324	yes	yes	0.3805	q2a_neurovoz_05	0.3278	0.4325	2000	yes	yes	0	False
Qwen2-Audio	MDVR-KCL	PD	<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json	0.7714	0.7714	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	yes	0.5923	0.5923	yes	37	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv	0.003	0.4867	0.2351	<local data dir>/paper1_local_runs/probe2/kcl_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_kcl_enc_rep5_oof.csv	6980014c7bd4a7ac4b272ad2a902163b	rep5	37	37	37	yes	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	0.7714	yes	yes	0.1792	q2a_kcl_08	-0.0503	0.4305	2000	no	yes	0	False
Qwen2-Audio	E-DAIC	MDD	<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json	0.5673	0.5673	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	yes	0.6464	0.6464	yes	275	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv	-0.1586	0.0476	-0.0527	<local data dir>/paper1_local_runs/probe2/edaic_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q2a_edaic_enc_rep5_oof.csv	544100cf538c3786c34bfde4484654b1	rep5	275	275	275	yes	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	0.5673	yes	yes	-0.0791	q2a_edaic_11	-0.1664	0.012	2000	no	no	0	False
Qwen2-Audio	Pitt	AD	<local data dir>/paper1_local_runs/omni_final/q2a_pitt_nested_repeats.json	0.7846	0.7846	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	yes	0.6173	0.6173	yes	468	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.1127	0.2609	0.1867	<local data dir>/paper1_local_runs/probe2/pitt_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q2a_pitt_enc_rep5_oof.csv	058f74fffe71d7a564524cbce2eaf5ca	rep5	468	468	228	yes	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	0.7846	yes	yes	0.1673	q2a_pitt_14	0.0944	0.2432	2000	yes	yes	0	False
Qwen2-Audio	ADReSSo	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json	0.8537	0.8537	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	yes	0.6649	0.6649	yes	237	<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv	0.1177	0.2763	0.1942	<local data dir>/paper1_local_runs/probe2/adresso_enc_nested_oof.csv	scores/part25/C/pull/p25C-3/out/q2a_adresso_enc_rep5_oof.csv	286f540dda87d89734834c0ea46c61a4	rep5	237	237	237	yes	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	0.8537	yes	yes	0.1888	q2a_adresso_16	0.1154	0.2682	2000	yes	yes	0	False
Qwen2-Audio	ADReSS-2020	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json	0.8315	0.8315	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	yes	0.6824	0.6824	yes	156	<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv	0.0275	0.2276	0.1254	<local data dir>/paper1_local_runs/probe2/adress2020_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_adress2020_enc_rep5_oof.csv	5bc5353e233e928fedf92583389c299b	rep5	156	156	156	yes	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	0.8315	yes	yes	0.1491	q2a_adress2020_18	0.064	0.2368	2000	yes	yes	0	False
Qwen3-Omni-30B-A3B	PC-GITA	PD	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json	0.8969	0.8969	[0.9235, 0.8703, 0.8745, 0.8976, 0.9187]	yes	0.5967	0.5967	yes	1100	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	0.2298	0.3695	0.3002	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	345e3329fedf15bdd459f3d7a1251112	rep5	1100	1100	100	yes	[0.9223, 0.8697, 0.8742, 0.8988, 0.9196]	0.8969	NO	yes	0.3002	q3o_pcgita_21	0.2298	0.3695	2000	yes	yes	1	False
Qwen3-Omni-30B-A3B	NeuroVoz	PD	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json	0.9372	0.9372	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	yes	0.6393	0.6393	yes	1270	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv	0.2146	0.3433	0.2803	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv	scores/part25/C/pull/p25C-5/out/q3o_neurovoz_enc_rep5_oof.csv	322cb247fdbcebbe67cb8aa1943d9051	rep5	1270	1270	107	yes	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	0.9372	yes	yes	0.298	q3o_neurovoz_25	0.236	0.3578	2000	yes	yes	0	False
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json	0.7661	0.7661	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	yes	0.7738	0.7738	yes	37	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv	-0.13	0.1369	-0.0	<local data dir>/release/overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q3o_kcl_enc_rep5_oof.csv	35e72ce5b2d211165175e961b6910e72	rep5	37	37	37	yes	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	0.7661	yes	yes	-0.0077	q3o_kcl_28	-0.1618	0.1385	2000	no	no	0	False
