dataset	auc	lo	hi	usable	t5_auc	t5_lo	t5_hi	refit_above_ans	refit_above_hi	t5_refit_above_ans	t5_refit_above_hi	refit_not_ans	refit_not_hi	refit_min	refit_min_layer	recomputed_above_ans	recomputed_above_hi	oof_recompute_maxabs	pull_vs_perlayer_maxabs	variant_above_ans_range	variant_above_hi_range	n_variants	oof_label_mismatch	oof_names_missing	saved_above_ans	saved_above_hi	t5_saved_above_ans	t5_saved_above_hi	saved_not_hi	saved_min	saved_min_layer	t5_refit
neurovoz	0.6950814953762632	0.6355883997757804	0.7518676424825447	2000	0.6950814953762632	0.6355883997757804	0.7518676424825447	32	32	32	32			0.836113530291865	0	32	32	1.1102230246251565e-16	0.0	[32, 32]	[32, 32]	4	0	0	32	32	32	32		0.8364596592304773	0	lo-t5-8 exact curves_from_states.py
kcl	0.7142857142857143	0.520979020979021	0.8809565434565434	2000	0.7142857142857143	0.520979020979021	0.8809565434565434															0			32	0	32	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.7470238095238095	0	none
adresso	0.61503920171062	0.5432332651905852	0.6889640923339982	2000	0.61503920171062	0.5432332651905852	0.6889640923339982															0			32	32	32	32		0.7413043478260868	0	none
adress2020	0.6240959894806049	0.5348478618421052	0.7148052262172812	2000	0.6240959894806049	0.5348478618421052	0.7148052262172812	32	24	32	24		0;1;2;3;4;5;6;7	0.6490795529257067	2	32	24	0.0	0.0	[32, 32]	[24, 26]	4	0	0	32	24	32	24	0;1;2;3;4;5;6;7	0.6502301117685733	2	lo-t5-7 exact curves_from_states.py
edaic_full	0.8284761490503119	0.7707812285181903	0.882681912475135	2000	0.8284761490503119	0.7707812285181903	0.882681912475135	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0	0	0.0	0.0	[0, 0]	[0, 0]	4	0	0	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.5683630564013339	30	lo-t5-9 exact curves_from_states.py
edaic_full_statesrun	0.8277511961722488	0.7702680190413038	0.882162099811676	2000	0.8277511961722488	0.7702680190413038	0.882162099811676	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0	0	0.0	0.0	[0, 0]	[0, 0]	4	0	0	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.5683630564013339	30	lo-t5-9 exact curves_from_states.py
edaic_full_lifted	0.8379005364651297	0.7804703303300632	0.8875656883135696	2000	0.8379005364651297	0.7804703303300632	0.8875656883135696	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0	0	0.0	0.0	[0, 0]	[0, 0]	4	0	0	0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.5683630564013339	30	lo-t5-9 exact curves_from_states.py
edaic_first30	0.6620269682470641	0.5831034055337068	0.7314586558773856	2000	0.6620269682470641	0.5831034055337068	0.7314586558773856	2	0	2	0	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.4814412063215891	31	2	0	0.0	0.0	[0, 2]	[0, 0]	35	0	0	2	0	2	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.4814412063215891	31	lo-t5-10 exact curves_from_states.py
edaic_mid300	0.812164709293896	0.7478914076820237	0.8706996855345912	2000	0.812164709293896	0.7478914076820237	0.8706996855345912															0			0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.5662606930549514	1	none
edaic_mid30	0.720530665506742	0.6531146429193951	0.7916544301181132	2000	0.720530665506742	0.6531146429193951	0.7916544301181132															0			0	0	0	0	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.5196462229955052	30	none
pitt	0.6577683068578071	0.6033242994024883	0.7125368049704085	2000	0.6577683068578071	0.6033242994024883	0.7125368049704085	31	25	31	25	2	0;1;2;3;4;5;6	0.6517241379310345	2	31	25	0.0	0.0	[31, 32]	[25, 25]	23	0	0	31	25	31	25	0;1;2;3;4;5;6	0.6517241379310345	2	lo-t5-10 exact curves_from_states.py
pcgita	0.5634776859504131	0.4930640072309111	0.6330859923977538	2000	0.5634776859504131	0.4930640072309111	0.6330859923977538															0			32	32	32	32		0.871993388429752	0	none
