figure,source,dataset,stream,layer,value,reference,absdiff
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,0,0.871993388429752,0.871993388429752,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,1,0.8889752066115704,0.8889752066115704,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,2,0.907897520661157,0.907897520661157,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,3,0.9047735537190082,0.9047735537190082,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,4,0.9080446280991734,0.9080446280991734,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,5,0.9168165289256198,0.9168165289256198,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,6,0.9233619834710745,0.9233619834710745,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,7,0.9217256198347108,0.9217256198347108,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,8,0.9195752066115702,0.9195752066115702,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,9,0.9138561983471074,0.9138561983471074,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,10,0.9103057851239668,0.9103057851239668,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,11,0.913305785123967,0.913305785123967,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,12,0.9156429752066114,0.9156429752066114,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,13,0.9198148760330578,0.9198148760330578,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,14,0.9166545454545456,0.9166545454545456,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,15,0.9160247933884298,0.9160247933884298,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,16,0.9051586776859504,0.9051586776859504,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,17,0.9093355371900824,0.9093355371900824,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,18,0.9038677685950413,0.9038677685950413,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,19,0.9075669421487604,0.9075669421487604,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,20,0.9071818181818184,0.9071818181818184,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,21,0.8994528925619835,0.8994528925619835,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,22,0.8927057851239669,0.8927057851239669,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,23,0.8949206611570246,0.8949206611570246,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,24,0.9010347107438018,0.9010347107438018,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,25,0.9058925619834712,0.9058925619834712,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,26,0.8999785123966941,0.8999785123966941,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,27,0.8986280991735536,0.8986280991735536,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,28,0.8965768595041321,0.8965768595041321,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,29,0.890398347107438,0.890398347107438,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,30,0.8955173553719007,0.8955173553719007,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,encoder,31,0.8845619834710744,0.8845619834710744,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,0,0.8847785123966941,0.8847785123966941,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,1,0.8854396694214874,0.8854396694214874,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,2,0.8857371900826446,0.8857371900826446,0.0
fig1_gap_whole,Line2D arrays,PC-GITA,llm,3,0.8859768595041322,0.8859768595041322,0.0
