stream,layer_or_stage,plot_index,pdf_value_calA,pdf_value_calB,pod_auc_oof,abs_diff_calA
encoder,0,0,0.583514572,0.583514573,0.583514571552849,8.134e-10
encoder,1,1,0.559301143,0.559301144,0.5593011454255473,2.070e-09
encoder,2,2,0.605118169,0.605118170,0.6051181673191243,1.767e-09
encoder,3,3,0.599826011,0.599826011,0.5998260113092649,6.435e-10
encoder,4,4,0.607075539,0.607075539,0.6070755400898942,1.291e-09
encoder,5,5,0.596998697,0.596998697,0.5969986950848195,1.772e-09
encoder,6,6,0.604683194,0.604683195,0.6046831955922864,1.558e-09
encoder,7,7,0.586704361,0.586704362,0.586704364216326,2.836e-09
encoder,8,8,0.582427141,0.582427141,0.5824271422357546,1.492e-09
encoder,9,9,0.593228939,0.593228940,0.5932289401188923,1.015e-09
encoder,10,10,0.615122517,0.615122518,0.6151225170363926,1.528e-10
encoder,11,11,0.609250396,0.609250397,0.6092503987240829,2.687e-09
encoder,12,12,0.601348411,0.601348412,0.601348412353197,1.020e-09
encoder,13,13,0.608742933,0.608742934,0.6087429317094389,1.443e-09
encoder,14,14,0.609757865,0.609757865,0.609757865738727,8.098e-10
encoder,15,15,0.624039434,0.624039434,0.6240394374365666,3.767e-09
encoder,16,16,0.646802956,0.646802956,0.6468029578077426,1.956e-09
encoder,17,17,0.660432074,0.660432074,0.6604320719153255,2.113e-09
encoder,18,18,0.684717991,0.684717991,0.6847179933304335,2.459e-09
encoder,19,19,0.687472811,0.687472811,0.6874728142670726,3.426e-09
encoder,20,20,0.675221112,0.675221112,0.6752211106278092,1.032e-09
encoder,21,21,0.667391621,0.667391621,0.6673916195447296,1.251e-09
encoder,22,22,0.661302012,0.661302012,0.661302015369001,3.251e-09
encoder,23,23,0.651950121,0.651950121,0.6519501232419893,2.656e-09
encoder,24,24,0.661084531,0.661084531,0.6610845295055822,1.094e-09
encoder,25,25,0.665434245,0.665434245,0.6654342467739597,1.698e-09
encoder,26,26,0.639625922,0.639625922,0.6396259243149195,2.757e-09
encoder,27,27,0.623350730,0.623350731,0.6233507322024069,2.024e-09
encoder,28,28,0.629114105,0.629114105,0.6291141075830071,3.019e-09
encoder,29,29,0.617732349,0.617732350,0.6177323473974191,2.082e-09
encoder,30,30,0.598013629,0.598013629,0.5980136291141076,4.816e-10
encoder,31,31,0.636001157,0.636001158,0.6360011599246049,2.433e-09
llm,0,32,0.609395390,0.609395390,0.6093953892996955,4.240e-10
llm,1,33,0.631796431,0.631796431,0.63179643323184,2.538e-09
llm,2,34,0.644120630,0.644120630,0.6441206321589097,2.437e-09
llm,3,35,0.664129332,0.664129332,0.6641293315934464,3.410e-10
llm,4,36,0.664709295,0.664709295,0.6647092938958967,7.698e-10
llm,5,37,0.666304189,0.666304189,0.6663041902276352,1.055e-09
llm,6,38,0.634116282,0.634116282,0.6341162824416413,8.228e-10
llm,7,39,0.649195301,0.649195301,0.6491953023053502,1.689e-09
llm,8,40,0.687835292,0.687835292,0.687835290706104,1.347e-09
llm,9,41,0.705959112,0.705959113,0.7059591126576773,2.714e-10
llm,10,42,0.738871970,0.738871970,0.738871973321734,2.971e-09
llm,11,43,0.760693055,0.760693055,0.7606930549514281,3.544e-10
llm,12,44,0.743729160,0.743729160,0.7437291576047557,2.122e-09
llm,13,45,0.735174712,0.735174712,0.7351747136436132,1.199e-09
llm,14,46,0.744381616,0.744381616,0.7443816151950123,1.103e-09
llm,15,47,0.751921126,0.751921126,0.7519211251268667,6.694e-10
llm,16,48,0.730752498,0.730752498,0.7307525010874293,2.966e-09
llm,17,49,0.716253442,0.716253442,0.7162534435261708,1.671e-09
llm,18,50,0.736189650,0.736189650,0.7361896476729013,2.555e-09
llm,19,51,0.714368566,0.714368566,0.7143685660432072,6.134e-11
llm,20,52,0.718573293,0.718573293,0.7185732927359721,4.367e-11
llm,21,53,0.708641439,0.708641439,0.70864143830651,2.099e-10
llm,22,54,0.709293895,0.709293895,0.7092938958967667,8.095e-10
llm,23,55,0.732419892,0.732419893,0.732419892706974,2.319e-10
llm,24,56,0.728867622,0.728867622,0.7288676236044657,1.356e-09
llm,25,57,0.729230097,0.729230098,0.7292301000434972,2.590e-09
llm,26,58,0.747353924,0.747353924,0.7473539219950703,1.798e-09
llm,27,59,0.759605623,0.759605623,0.7596056256343338,2.660e-09
llm,28,60,0.775264605,0.775264605,0.775264607800493,3.098e-09
