status,order_group,line,paper_value,file_value,file_path,triage,triage_reason,triage_recomputed,method_constant,kind,section,item_id,reason,context,tex_line_text
UNMATCHED,added_23sep,26,five,,,,,,no,word,Abstract,L26_773,word number without a checkable pattern,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,"Audio LLMs answer clinical questions about a recording, but their output depends on paralinguistic and linguistic cues, so it is unclear how much is grounded in the voice rather than the words. We train linear probes on an Audio LLM's hidden states and compare them with its answers under three conditions of different language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions. On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap. On depression the answer beats every probe. Where the words contradict a depression diagnosis, four of six models fall below chance. Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets. Evaluations scored only where words and diagnosis agree cannot tell a model that listens from one that reads."
UNMATCHED,added_23sep,53,five,,,,,,no,word,Introduction,L53_177,word number without a checkable pattern,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance.","\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance."
MISMATCH,added_23sep,67,0.89,0.5635,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,UNTRIAGED (new since the 06:38 run),,,no,point,Method,L67_321,"bound claim (above 0.89): min over 96 compatible values is 0.5635 (Qwen2.5-Omni|pcgita|zero_shot|all, zero shot answer, rank AUC recomputed here from per-clip p_y)","We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \quad p(Y) = \frac\sum_t\in\mathcalY\pi_t\sum_t\in\mathcalY\cup\mathcalN\pi_t, \labeleq:answer \endequation where \pi is the softmax over the vocabulary at the first answer position and \mat","where $\pi$ is the softmax over the vocabulary at the first answer position and $\mathcal{Y}$, $\mathcal{N}$ are the single-token spellings of \emph{Yes} and \emph{No} listed in the release, so $p(\text{Y})$ is the probability of \emph{Yes} given that the answer is one of the two; the two sets hold a median of at least 0.89 of the probability mass in every cell. We also train a probe on the hidden state at this position, the vector from which the model reads its answer."
UNMATCHED,added_23sep,74,47,,,,,,no,integer,Method,L74_739,count 47 not found as n or n_spk in index rows for pitt,"On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one.","Such a comparison on its own cannot tell if a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction. Hence, we add two conditions, depression and Alzheimer's disease, in which the words and the diagnosis can point in opposite directions. A conflict segment is speech whose words point away from the speaker's diagnosis, such as a depressed participant speaking positively or a participant with dementia speaking fluently. An agreement segment is speech whose words point toward it. On E-DAIC each conflict segment is paired with an agreement segment of the same speaker, so the two arms differ mainly in what is said. On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one. Given that the speech signals are real, the contradictions occur naturally. We also run a transcript-only baseline where the model gets the words alone, with the same prompt and no audio, and establish how much of the decision can be attributed to language alone. Finally, we ask whether the gap closes when the projector alone is retrained (Section~\ref{sec:ft})."
MISMATCH,added_23sep,77,0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,PROBABLY MISPAIRING (sentence edited; was line 77),"Matcher paired the range with the Qwen2.5-Omni transcript ANSWER set. The sentence is about the word regression: range 0.43 to 0.62. Wording note: the model is TF-IDF weighted words, not raw word counts.","MDVR-KCL 0.4315 [0.2560, 0.6287] n=37 spk=37; NeuroVoz 0.5814 [0.5422, 0.6206] n=1270 spk=107; PC-GITA 0.6196 [0.5700, 0.6681] n=1100 spk=100",no,range,Implementation Details,L77_360,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634","As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets. "
MISMATCH,added_23sep,77,0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,PROBABLY MISPAIRING (sentence edited; was line 77),Matcher paired it with the Qwen2.5-Omni transcript answer (0.823). The word regression on the full interview gives 0.68.,"E-DAIC full 0.6778 [0.5973, 0.7549] n=275 spk=275 (first 30 s would be 0.4844 [0.4028, 0.5624] n=275 spk=275)",no,point,Implementation Details,L77_398,"context [model=Qwen2.5-Omni (default); data=pcgita/neurovoz/kcl/edaic_full/edaic/edaic_mid300/edaic_mid3; stream=transcript; arm=all; dataset group + named set]; best current candidate Qwen2.5-Omni|edaic_full|transcript|all = 0.823 (text only, one documented prompt) rounds to 0.82; same-tier values: 0.6613 (edaic text only, one documented prompt (30 s t, current), 0.6613 (edaic text only, one documented prompt, current), 0.7634 (kcl MDVR-KCL Qwen2.5-Omni transcript-only an, current), 0.823 (edaic_full text only, one documented prompt, current)","As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets. "
MISMATCH,added_23sep,77,0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,PROBABLY MISPAIRING (sentence edited; was line 77),Matcher reused the Parkinson's answer set. Word regression range 0.84 to 0.93.,"Pitt 0.8353 [0.7865, 0.8862] n=468 spk=228; ADReSSo 0.8471 [0.7961, 0.8922] n=237 spk=237; ADReSS 0.9254 [0.8866, 0.9587] n=156 spk=156",no,range,Implementation Details,L77_433,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634","As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets. "
UNMATCHED,added_23sep,81,10,,,,,,no,integer,Implementation Details,L81_400,"count 10 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis. We use E-DAIC \cite{daic}, the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) \cite{Kroenke2009}, stricter than PHQ-8 $\geq 10$ for 20 participants, rather than a clinical diagnosis.  The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole. The transcript condition uses the whole transcript."
UNMATCHED,added_23sep,81,20,,,,,,no,integer,Implementation Details,L81_408,"count 20 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis. We use E-DAIC \cite{daic}, the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) \cite{Kroenke2009}, stricter than PHQ-8 $\geq 10$ for 20 participants, rather than a clinical diagnosis.  The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole. The transcript condition uses the whole transcript."
UNMATCHED,added_23sep,81,15,,,,,,yes,integer,Implementation Details,L81_551,"method/design constant, not a result; no file value indexed","The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis. We use E-DAIC \cite{daic}, the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) \cite{Kroenke2009}, stricter than PHQ-8 $\geq 10$ for 20 participants, rather than a clinical diagnosis.  The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole. The transcript condition uses the whole transcript."
