layer,train_cv_auc,test_auc,test_acc
0,0.545,0.583,0.583
1,0.754,0.674,0.646
2,0.761,0.689,0.583
3,0.766,0.748,0.667
4,0.803,0.748,0.646
5,0.763,0.764,0.688
6,0.736,0.743,0.646
7,0.722,0.778,0.667
8,0.692,0.809,0.708
9,0.720,0.830,0.750
10,0.728,0.847,0.750
11,0.733,0.833,0.688
12,0.706,0.887,0.812
13,0.752,0.804,0.646
14,0.741,0.797,0.667
15,0.718,0.828,0.750
16,0.735,0.833,0.792
17,0.734,0.811,0.688
18,0.777,0.851,0.771
19,0.763,0.840,0.750
20,0.796,0.849,0.771
21,0.777,0.786,0.750
22,0.755,0.755,0.688
23,0.782,0.771,0.729
24,0.780,0.767,0.688
25,0.766,0.778,0.688
26,0.789,0.804,0.750
27,0.814,0.800,0.729
28,0.786,0.788,0.688
29,0.800,0.771,0.729
30,0.802,0.736,0.708
31,0.773,0.776,0.729
32,0.766,0.806,0.771
