dataset,attribute,n,n_observed,n_levels,mi_bits,null_mean,null_p95,p_perm,mi_frac_of_H,label_entropy_bits,significant,note
pcgita,age,117,100,5,0.02003721935148583,0.02513638035710729,0.05860045224327009,0.5314685314685315,0.02004672772907503,0.999525689293649,False,
pcgita,sex,117,100,3,0.002806861105795198,0.013091755449998804,0.04045457460708482,0.7842157842157842,0.0028081930618299245,0.999525689293649,False,
pcgita,updrs,117,50,5,0.6513721507944453,0.02678619887131749,0.06518285362145873,0.000999000999000999,0.651681250188538,0.999525689293649,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
pcgita,updrs_speech,117,50,5,0.6513721507944452,0.027826674021679952,0.06520322612917641,0.000999000999000999,0.6516812501885378,0.999525689293649,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
pcgita,hy,117,50,4,0.6513721507944453,0.021846622888031908,0.046971828379328104,0.000999000999000999,0.651681250188538,0.999525689293649,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
pcgita,time_disease,117,50,5,0.6513721507944453,0.025758982499661905,0.06065403312800268,0.000999000999000999,0.651681250188538,0.999525689293649,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
pcgita,n_clips,117,117,4,0.019900878199811983,0.023596648132112086,0.04123230292965649,0.6243756243756243,0.019910321878645918,0.999525689293649,False,"recording-protocol property, not a person attribute"
pcgita,mean_clip_duration_s,117,117,4,0.0061152487827964746,0.0187433984357221,0.04835617382753574,0.7962037962037962,0.006118150687170468,0.999525689293649,False,"recording-protocol property, not a person attribute"
neurovoz,age,108,106,5,0.1497717402251784,0.030643285557226754,0.06562219082843866,0.000999000999000999,0.1498088013996596,0.9997526101661922,True,
neurovoz,sex,108,107,3,0.016994376424514866,0.016606078538016128,0.039065831043404636,0.2987012987012987,0.0169985817008168,0.9997526101661922,False,
neurovoz,updrs,108,47,5,0.7378042921740363,0.027909744089118792,0.06439076521459114,0.000999000999000999,0.7379868626213325,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,hy,108,52,3,0.9327425046905483,0.013730282365738453,0.042239033343152585,0.000999000999000999,0.9329733128033498,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,time_disease,108,48,5,0.769854359997507,0.028260758342574348,0.06593609503629147,0.000999000999000999,0.7700448612677605,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,hypophonic,108,108,3,0.2805299476071787,0.01402490213009428,0.0374613789636427,0.000999000999000999,0.2805993650374619,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,vocal_tremor,108,108,3,0.11086372127730348,0.015443013311896365,0.04961023510425424,0.001998001998001998,0.11089115462161608,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,cephalic_tremor,108,108,3,0.1296664801248977,0.014885165715412936,0.03764978813875447,0.000999000999000999,0.12969856623164286,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,mandibular_tremor,108,108,3,0.12019328861086298,0.015293527636179716,0.04629432839638968,0.000999000999000999,0.12022303056641467,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,dysphagia,108,108,3,0.1490627147718534,0.013862088181031214,0.035642377759002655,0.000999000999000999,0.14909960049724122,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,sialorrhoea,108,108,3,0.24488995114669754,0.014620579246426376,0.039948294391000116,0.000999000999000999,0.24495054942241026,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,medication_status,108,54,4,0.9340036939457288,0.025408408984046917,0.050634663863011575,0.000999000999000999,0.9342348141411366,0.9997526101661922,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
neurovoz,labour_situation,108,92,17,0.2645740084329328,0.14366456866420924,0.18807882285966546,0.000999000999000999,0.26463947754930267,0.9997526101661922,True,
neurovoz,n_clips,108,108,4,0.2613578698028603,0.0207455519418478,0.05565622355035464,0.000999000999000999,0.261422543082347,0.9997526101661922,True,"recording-protocol property, not a person attribute"
neurovoz,mean_clip_duration_s,108,108,4,0.26572329795031663,0.020737933647289597,0.05553655277498008,0.000999000999000999,0.26578905145958515,0.9997526101661922,True,"recording-protocol property, not a person attribute"
dcaps,age,275,275,4,0.009675273331520608,0.008286950647144922,0.023340468423337934,0.3166833166833167,0.012169538553456295,0.7950402793845223,False,
dcaps,sex,275,274,3,0.008553325589317477,0.0054310878040275175,0.01362566783183269,0.1968031968031968,0.010758355030689773,0.7950402793845223,False,
dcaps,split,275,275,3,0.004031917728964742,0.005395126133679213,0.016069969238152855,0.4935064935064935,0.005071337683778786,0.7950402793845223,False,"dataset split assignment, not a person attribute"
dcaps,depression_severity,275,275,4,0.5633802636836746,0.007969242924869408,0.020518266300526257,0.000999000999000999,0.7086185169383034,0.7950402793845223,True,DEFINED BY THE LABEL - a control cannot score on this; MI is tautological
dcaps,ptsd_label,275,275,2,0.2928330236167993,0.0027574826068510116,0.011866237788030365,0.000999000999000999,0.36832476443016826,0.7950402793845223,True,
