layer,auc,balacc
0,0.7280477408354646,0.629156010230179
1,0.8371696504688833,0.7455242966751918
2,0.8414322250639387,0.7651321398124467
3,0.8329070758738277,0.6901108269394715
4,0.83461210571185,0.7749360613810742
5,0.8337595907928388,0.7770673486786019
6,0.8098891730605285,0.7476555839727195
7,0.83461210571185,0.7139812446717817
8,0.8499573742540495,0.7412617220801364
9,0.8439897698209718,0.7531969309462916
10,0.8218243819266837,0.7139812446717817
11,0.8448422847399829,0.7139812446717817
12,0.8192668371696504,0.7041773231031543
13,0.8158567774936061,0.6705029838022165
14,0.8115942028985507,0.6487638533674339
15,0.8115942028985508,0.6705029838022165
16,0.835464620630861,0.7020460358056266
17,0.8678601875532822,0.7791986359761296
18,0.8584825234441602,0.7672634271099744
19,0.8252344416027281,0.7139812446717817
20,0.8371696504688831,0.7455242966751918
21,0.8209718670076727,0.7553282182438192
22,0.8098891730605287,0.7335890878090366
23,0.8115942028985508,0.6922421142369992
24,0.8132992327365729,0.7335890878090366
25,0.8226768968456948,0.6943734015345269
26,0.8593350383631714,0.7237851662404091
27,0.8508098891730604,0.7553282182438192
28,0.7860187553282183,0.725916453537937
29,0.8405797101449275,0.7357203751065644
30,0.8465473145780051,0.7672634271099744
31,0.8482523444160273,0.7791986359761296
32,0.83461210571185,0.757459505541347
