layer,auc_mean,auc_std,auc_oof
0,0.6554096586070169,0.03528223461178712,0.649438202247191
1,0.676492332457921,0.05451559028296226,0.6741379310344827
2,0.6601641431381733,0.053506049268925146,0.6582913599380085
3,0.6610061509179179,0.0339138233818416,0.653525765207284
4,0.7005884060360587,0.02148840247440006,0.6937814800464935
5,0.7132158451527036,0.030585675384874136,0.7081170089112747
6,0.723805346396607,0.07113965388311805,0.7173576133281674
7,0.7456835617585693,0.052583671841485366,0.7379213483146068
8,0.7293926505978222,0.046145008505100116,0.7239151491669895
9,0.7361607995600312,0.06286461147249346,0.7309182487407981
10,0.7379843667244179,0.06446414960388518,0.7295234405269275
11,0.7220177787120722,0.05045250722160123,0.7099476946919798
12,0.772601219756497,0.05084886223385994,0.7684327779930259
13,0.7780801608308429,0.06308008276100795,0.7692754746222394
14,0.771606874142881,0.04422878079571134,0.7610809763657498
15,0.7925364488445347,0.04689662347767788,0.7851317318868656
16,0.8008948625578833,0.043634251449919954,0.7946822936846183
17,0.792443983021444,0.05587258334907176,0.7843180937621079
18,0.790987594346946,0.05930304485527516,0.7782642386671833
19,0.8020076980898402,0.051210880792101905,0.7898488957768308
20,0.8063148807110754,0.0670809791883344,0.7960286710577296
21,0.8080034478457045,0.053803724165017296,0.799602867105773
22,0.7935655469666001,0.039671671896297535,0.7845215032932971
23,0.8128163903889993,0.03960585382105081,0.7979465323518016
24,0.8242810552416231,0.05341666641033892,0.8156528477334366
25,0.814337418335281,0.04315025013822983,0.8069256102285935
26,0.8061971405336431,0.04710873075734016,0.7990313831848121
27,0.8037793897437991,0.02481182929088629,0.7962223944207671
28,0.7719799853186622,0.04240566704477415,0.7630182099961255
29,0.8071798780853143,0.04661688294298614,0.7910693529639675
30,0.7966456070319392,0.031156829108145934,0.7800949244478884
31,0.7745813312304313,0.020998248327302495,0.7605676094537002
32,0.7576783004804768,0.01672832584030895,0.7429678419217357
