tag,n,n_spk,auc,ci_lo,ci_hi,spk_auc,shuffle_mean,perm_p
SILENCE probe  BEFORE,195,33,0.9383,0.8035,1.0,0.9889,0.495,0.0099
SILENCE probe  AFTER  (floors equalised),195,33,0.8496,0.706,0.9543,0.9704,0.4812,0.0099
SPEECH-frame MFCC probe  BEFORE,195,33,0.7385,0.5529,0.8977,0.837,0.4764,0.0198
SPEECH-frame MFCC probe  AFTER,195,33,0.7352,0.5574,0.8887,0.8815,0.484,0.0297
SILENCE  matched container  BEFORE,159,29,1.0,1.0,1.0,1.0,0.468,0.0099
SILENCE  matched container  AFTER,159,29,0.9501,0.9106,0.9861,1.0,0.459,0.0099
SPEECH   matched container  BEFORE,159,29,0.7574,0.5989,0.9089,0.8429,0.4748,0.0099
SPEECH   matched container  AFTER,159,29,0.7649,0.617,0.9129,0.8667,0.4721,0.0099
SILENCE  read  BEFORE,89,31,1.0,1.0,1.0,1.0,0.4625,0.0099
SILENCE  read  AFTER,89,31,0.999,0.9944,1.0,1.0,0.4707,0.0099
SPEECH   read  BEFORE,89,31,0.997,0.9889,1.0,1.0,0.467,0.0099
SPEECH   read  AFTER,89,31,0.9777,0.9318,1.0,0.9833,0.4921,0.0099
