model,dataset,n,auc_no_text,ci_low,ci_high,text_shift,flip_rate,answer_mass
diva,daic,275,0.49,0.414,0.573,0.613,0.658,0.96
diva,italian,94,0.564,0.428,0.702,0.0,0.0,0.986
diva,kcl,37,0.607,0.421,0.794,0.004,0.0,0.986
diva,neurovoz,74,0.532,0.383,0.675,0.004,0.0,0.949
diva,pc-gita,100,0.483,0.363,0.6,0.09,0.06,0.985
granite,daic,275,0.492,0.416,0.567,0.001,0.0,0.0
granite,italian,94,0.393,0.254,0.554,0.0,0.0,0.0
granite,kcl,37,0.455,0.271,0.646,0.0,0.0,0.0
granite,neurovoz,74,0.465,0.315,0.627,0.004,0.0,0.0
granite,pc-gita,100,0.388,0.277,0.501,0.001,0.0,0.0
omni,daic,275,0.841,0.782,0.892,0.957,1.0,0.957
omni,italian,236,0.676,0.582,0.766,0.338,0.076,0.905
omni,kcl,37,0.768,0.599,0.911,0.129,0.0,0.933
omni,neurovoz,1270,0.688,0.635,0.739,0.286,0.002,0.899
omni,pc-gita,1117,0.636,0.575,0.692,0.243,0.004,0.912
qwen2-audio,daic,275,0.647,0.571,0.722,1.0,1.0,0.994
qwen2-audio,italian,236,0.72,0.633,0.798,1.0,1.0,0.999
qwen2-audio,kcl,37,0.658,0.467,0.83,1.0,1.0,1.0
qwen2-audio,neurovoz,1270,0.552,0.507,0.598,1.0,1.0,0.999
qwen2-audio,pc-gita,1117,0.539,0.497,0.581,1.0,1.0,0.999
voxtral,daic,275,0.584,0.507,0.665,0.95,0.993,0.962
voxtral,italian,94,0.339,0.222,0.465,0.252,0.053,0.944
voxtral,kcl,37,0.765,0.583,0.919,0.165,0.0,0.967
voxtral,neurovoz,74,0.604,0.455,0.744,0.056,0.0,0.973
voxtral,pc-gita,100,0.717,0.605,0.815,0.077,0.0,0.97
