dataset,task,probe,cond,n,auc,lo,hi,balacc,null
pcgita,read,encoder,A,1117,0.9294402410874584,0.8722956791597647,0.970909938894616,0.8603680430879712,0.483625835754077
pcgita,read,encoder,B,1061,0.9264645258504272,0.8811390531179067,0.9631287377787,0.8594183120815386,0.4881859657989514
pcgita,read,encoder,D,1061,0.8886803985955335,0.8285487079886311,0.9381595095359974,0.8133786799721381,0.4769868034503781
pcgita,read,encoder,C,1061,0.817540193611668,0.7499717800696623,0.8809527276474031,0.7473470794774475,0.4839622087515917
pcgita,read,interp,A,1117,0.8401962041549117,0.7695624447585742,0.9004636470569872,0.7734916004103616,0.4845898746658691
pcgita,read,interp,B,1061,0.8274091290317994,0.7564561180359832,0.8896823533679106,0.7501634753436536,0.4850419257999484
pcgita,read,interp,D,1061,0.810350832302728,0.7443970927212312,0.8692601786821422,0.7359659971285201,0.485630482092301
pcgita,read,interp,C,1061,0.7400528807198602,0.6681456383179039,0.8060790161898761,0.6979135570813254,0.4847410566219677
pcgita,read,recprop,A,1117,0.6655167991792768,0.583999201450735,0.7472761264395373,0.6141735060271865,0.49833207784902
pcgita,read,recprop,B,1061,0.6589122492785762,0.5736780855810372,0.7444380341200502,0.6194240692566848,0.5021773053406924
pcgita,read,recprop,D,1061,0.6741509943565468,0.594600472809816,0.7553438101543974,0.6409779379362304,0.5032635339492767
pcgita,read,recprop,C,1061,0.6848266450594908,0.6035122208841387,0.7600995227105436,0.6507278206604403,0.5006226552466724
neurovoz,read,encoder,A,1270,0.9494850246508316,0.9203049995421342,0.97261920682073,0.8681099871225147,0.4907062216806389
neurovoz,read,encoder,B,1206,0.948006932409012,0.920277769095722,0.9711962890770894,0.8764785786908327,0.4940058771611334
neurovoz,read,encoder,D,1206,0.934723488908421,0.9013457000325488,0.9618043783584236,0.8595773875618915,0.48696846648253
neurovoz,read,encoder,C,1206,0.934392849368892,0.9014037156665016,0.9610287322550918,0.856899207291704,0.4892037785042562
neurovoz,read,interp,A,1270,0.7654635274384722,0.7001400442946975,0.8241996654347412,0.694443824141687,0.4958342989173463
neurovoz,read,interp,B,1206,0.7429332686749346,0.6778706137777941,0.8035513028259552,0.6774611291891341,0.4897882963318223
neurovoz,read,interp,D,1206,0.673173836493237,0.5990636786911794,0.74145138814009,0.6321648899383633,0.4905925413264329
neurovoz,read,interp,C,1206,0.68560588317954,0.6138160474572831,0.7525263799451478,0.6457431536950347,0.4909713939521934
neurovoz,read,recprop,A,1270,0.8044507963446799,0.7390839139367257,0.862276166872845,0.7386230271270802,0.4943556582007919
neurovoz,read,recprop,B,1206,0.7864206341115302,0.7154927699893803,0.8480622283341493,0.7228868689262206,0.4990365140660422
neurovoz,read,recprop,D,1206,0.7274620935544577,0.6528912534139464,0.7919258753659674,0.6765808014151372,0.4965602536113732
neurovoz,read,recprop,C,1206,0.7387534338293845,0.6780147375831516,0.7966156240829131,0.677812433699884,0.4953089351651706
dcaps,interview,encoder,A,275,0.6977671451355661,0.6217574815675696,0.7698297440583883,0.6463317384370015,0.4998695084819487
dcaps,interview,encoder,B,261,0.7059483726150393,0.6282452529781936,0.7780246605815924,0.6417748917748918,0.4861103094436426
dcaps,interview,encoder,D,261,0.6743626743626744,0.592160771000152,0.7549809824313405,0.6367243867243867,0.491372454705788
dcaps,interview,encoder,C,261,0.6742023408690077,0.5985450634013023,0.7460926297631918,0.5844155844155844,0.4867949334616001
dcaps,interview,interp,A,275,0.511889227200232,0.4300031207825371,0.5904884564539142,0.4956140350877193,0.5075496592721472
dcaps,interview,interp,B,261,0.5387205387205387,0.4586841929642977,0.6145789764610547,0.4956709956709957,0.4879076479076478
dcaps,interview,interp,D,261,0.5350328683662017,0.4505601594802551,0.6182682672328482,0.5277777777777778,0.4860109026775693
dcaps,interview,interp,C,261,0.5506653839987173,0.4644992450413611,0.6316409014482784,0.5432900432900433,0.4861135161135161
dcaps,interview,recprop,A,275,0.4206176598521096,0.3398673458504753,0.4970629542796712,0.4501594896331738,0.5007046541974772
dcaps,interview,recprop,B,261,0.4862914862914863,0.4101984243731816,0.5686710677286025,0.4823232323232324,0.487017797017797
dcaps,interview,recprop,D,261,0.493025493025493,0.4095789622886023,0.5775423728813558,0.5238095238095237,0.4905916305916305
dcaps,interview,recprop,C,261,0.5121051787718455,0.4339955001766337,0.5955058561958528,0.538961038961039,0.4869456469456469
