layer,balacc,auc
0,0.6383928571428572,0.6577380952380952
1,0.5699404761904762,0.7321428571428572
2,0.53125,0.8035714285714286
3,0.625,0.7321428571428571
4,0.6636904761904762,0.7440476190476191
5,0.7023809523809523,0.75
6,0.6086309523809523,0.7202380952380952
7,0.6785714285714286,0.7797619047619049
8,0.53125,0.7827380952380952
9,0.5625,0.7678571428571429
10,0.53125,0.7678571428571429
11,0.5625,0.7619047619047619
12,0.6532738095238095,0.7797619047619048
13,0.75,0.8154761904761906
14,0.6324404761904762,0.7767857142857143
15,0.7023809523809523,0.8095238095238095
16,0.7410714285714286,0.8184523809523809
17,0.6830357142857143,0.8511904761904762
18,0.5476190476190477,0.8333333333333334
19,0.5714285714285714,0.7797619047619048
20,0.5476190476190477,0.7827380952380952
21,0.5,0.7113095238095238
22,0.5,0.6964285714285714
23,0.5,0.5952380952380952
24,0.5163690476190477,0.4642857142857143
25,0.5610119047619048,0.5922619047619048
26,0.5461309523809523,0.6815476190476191
27,0.5639880952380952,0.7321428571428572
28,0.5223214285714286,0.6220238095238095
29,0.6532738095238095,0.7321428571428572
30,0.7142857142857143,0.7202380952380952
31,0.5580357142857143,0.613095238095238
32,0.5744047619047619,0.6547619047619048
