layer,balacc_mean,balacc_std,auc_mean,auc_std
0,0.9885517241379311,0.015760393773335952,1.0,0.0
1,0.980103448275862,0.016939284456766585,1.0,0.0
2,0.992,0.016000000000000014,0.9978181818181818,0.0043636363636363916
3,0.992,0.016000000000000014,0.9905454545454546,0.0189090909090909
4,0.992,0.016000000000000014,1.0,0.0
5,0.992,0.016000000000000014,1.0,0.0
6,0.992,0.016000000000000014,1.0,0.0
7,0.992,0.016000000000000014,1.0,0.0
8,0.992,0.016000000000000014,1.0,0.0
9,0.992,0.016000000000000014,1.0,0.0
10,0.992,0.016000000000000014,0.9992727272727272,0.0014545454545454195
11,0.992,0.016000000000000014,0.9996363636363637,0.0007272727272727319
12,0.992,0.016000000000000014,0.9996363636363637,0.0007272727272727319
13,0.992,0.016000000000000014,1.0,0.0
14,0.992,0.016000000000000014,1.0,0.0
15,0.992,0.016000000000000014,1.0,0.0
16,0.992,0.016000000000000014,1.0,0.0
17,0.992,0.016000000000000014,1.0,0.0
18,0.992,0.016000000000000014,1.0,0.0
19,0.992,0.016000000000000014,0.9985454545454544,0.002909090909090928
20,0.992,0.016000000000000014,0.9960000000000001,0.008000000000000007
21,0.9829090909090908,0.02100295138646349,0.9992727272727272,0.001454545454545464
22,0.9829090909090908,0.02100295138646349,1.0,0.0
23,0.9829090909090908,0.02100295138646349,0.9978181818181817,0.002909090909090928
24,0.992,0.016000000000000014,0.9865454545454545,0.02690909090909086
25,0.992,0.016000000000000014,0.9883636363636363,0.02327272727272729
26,0.992,0.016000000000000014,0.993090909090909,0.013818181818181818
27,0.9843076923076923,0.01922522997146254,0.997090909090909,0.005818181818181812
28,0.992,0.016000000000000014,0.9992727272727272,0.001454545454545464
29,0.9874545454545455,0.01630697259983904,0.9974545454545455,0.0035628941713210026
30,0.992,0.016000000000000014,0.9992727272727272,0.001454545454545464
31,0.9796083916083915,0.01852756787025365,0.9941818181818182,0.01075036036297783
32,0.9881538461538462,0.01592586374720928,0.9941818181818182,0.011636363636363624
