stage,auc,bacc
projector,0.928,0.854
llm_00,0.893,0.809
llm_01,0.893,0.809
llm_02,0.893,0.809
llm_03,0.893,0.805
llm_04,0.892,0.809
llm_05,0.893,0.81
llm_06,0.895,0.817
llm_07,0.897,0.819
llm_08,0.901,0.822
llm_09,0.902,0.814
llm_10,0.898,0.818
llm_11,0.899,0.823
llm_12,0.895,0.822
llm_13,0.89,0.811
llm_14,0.89,0.81
llm_15,0.888,0.809
llm_16,0.887,0.808
llm_17,0.884,0.799
llm_18,0.882,0.804
llm_19,0.883,0.802
llm_20,0.881,0.805
llm_21,0.875,0.794
llm_22,0.873,0.79
llm_23,0.873,0.782
llm_24,0.876,0.786
llm_25,0.877,0.794
llm_26,0.873,0.788
llm_27,0.875,0.793
llm_28,0.871,0.778
llm_29,0.873,0.783
llm_30,0.865,0.775
llm_31,0.857,0.776
llm_32,0.861,0.783
