layer,balacc_mean,balacc_std,auc_mean,auc_std
0,0.7683333333333333,0.05359311730271175,0.8278888888888888,0.04075127809856604
1,0.7616666666666667,0.06510674994874872,0.854111111111111,0.0653944347690645
2,0.76,0.09104333522498444,0.8649444444444445,0.06068904756071855
3,0.7666666666666667,0.08349983366583563,0.8687777777777779,0.05893541139289167
4,0.78,0.08621678104251711,0.8706666666666667,0.06325521498044429
5,0.765,0.07019813229550897,0.874388888888889,0.05455498981376721
6,0.805,0.0615990620419211,0.8870555555555555,0.052441796072490145
7,0.8066666666666666,0.07516648189186452,0.8988888888888888,0.051143407670472554
8,0.7949999999999999,0.05416025603090642,0.8902222222222222,0.04001481207234617
9,0.8,0.06101001739241043,0.8896666666666666,0.03834275246597028
10,0.8016666666666665,0.05174724898753343,0.8931111111111111,0.038739952899007064
11,0.8049999999999999,0.059535236998305804,0.8943333333333335,0.02867796934801914
12,0.79,0.04983305462575351,0.8930555555555557,0.021288001605262948
13,0.805,0.04960958688712406,0.8975555555555556,0.028114294944865875
14,0.805,0.04136557881996953,0.8879999999999999,0.02708434471046077
15,0.7766666666666666,0.04390646624106497,0.8800555555555555,0.029760048619368214
16,0.7916666666666667,0.05477225575051663,0.8842777777777776,0.02960626393514608
17,0.79,0.04262237284181473,0.8817777777777778,0.03519373190544159
18,0.8100000000000002,0.044221663871405324,0.909,0.03445456840464874
19,0.8233333333333335,0.03223179934302286,0.9189999999999999,0.032205263736626626
20,0.8400000000000001,0.048989794855663585,0.9205,0.029103052319662093
21,0.8416666666666668,0.04116363011742822,0.9134444444444444,0.03363135294980813
22,0.8283333333333334,0.02211083193570265,0.9071666666666667,0.030911262880049212
23,0.8300000000000001,0.04203173404306165,0.9134444444444444,0.03287865831872559
24,0.8416666666666666,0.035746017649212,0.9137222222222222,0.04402110885349616
25,0.82,0.038224483137265744,0.9070555555555556,0.03468535820881884
26,0.8033333333333333,0.02915475947422648,0.8947222222222223,0.03466684472888747
27,0.805,0.037490739597339985,0.8843888888888889,0.0420682132720328
28,0.8283333333333334,0.04236088342379611,0.8949444444444445,0.03593091794259546
29,0.8233333333333333,0.05280993172584956,0.8848333333333332,0.0522726116233533
30,0.8183333333333334,0.04294699575575037,0.8844999999999998,0.044870320692105
31,0.8233333333333335,0.04784233364802441,0.8961111111111111,0.05117538229545939
32,0.82,0.053385391260156526,0.9008888888888889,0.043170420257222224
