layer,balacc_mean,balacc_std,auc_mean,auc_std
0,0.8300000000000001,0.06,0.8620000000000001,0.03919183588453086
1,0.8400000000000001,0.05830951894845301,0.9019999999999999,0.03867815921162746
2,0.85,0.031622776601683784,0.9179999999999999,0.025612496949731355
3,0.8400000000000001,0.04898979485566357,0.9259999999999999,0.04127953488110061
4,0.8400000000000001,0.03741657386773941,0.908,0.014696938456699065
5,0.8099999999999999,0.08000000000000006,0.922,0.050358713248056707
6,0.8400000000000001,0.10198039027185572,0.9360000000000002,0.05199999999999996
7,0.85,0.08366600265340757,0.938,0.04489988864128732
8,0.8800000000000001,0.05099019513592781,0.9640000000000001,0.025768197453450267
9,0.8800000000000001,0.06782329983125268,0.9540000000000001,0.03261901286060016
10,0.8800000000000001,0.06782329983125268,0.9440000000000002,0.04586937976471881
11,0.89,0.09695359714832658,0.9560000000000001,0.04758150901348125
12,0.8899999999999999,0.08602325267042626,0.9460000000000001,0.049234134500364624
13,0.9100000000000001,0.03741657386773936,0.952,0.054552726787943394
14,0.9,0.03162277660168375,0.95,0.04774934554525329
15,0.89,0.019999999999999976,0.954,0.043174066289845756
16,0.8799999999999999,0.03999999999999998,0.95,0.05440588203494173
17,0.8300000000000001,0.06782329983125267,0.916,0.05351635264103861
18,0.85,0.07745966692414832,0.952,0.028565713714171423
19,0.8300000000000001,0.024494897427831785,0.93,0.052915026221291794
20,0.8400000000000001,0.03741657386773941,0.93,0.032863353450309926
21,0.8200000000000001,0.06782329983125271,0.8939999999999999,0.04029888335921976
22,0.7999999999999999,0.08366600265340761,0.9,0.044721359549995836
23,0.8400000000000001,0.03741657386773941,0.9100000000000001,0.02756809750418045
24,0.8800000000000001,0.039999999999999945,0.9360000000000002,0.032619012860600205
25,0.89,0.03741657386773936,0.9260000000000002,0.03200000000000001
26,0.8600000000000001,0.04898979485566352,0.93,0.0268328157299975
27,0.82,0.060000000000000026,0.898,0.0649307323229917
28,0.8100000000000002,0.05830951894845302,0.8960000000000001,0.058514955353311165
29,0.8099999999999999,0.08000000000000003,0.8939999999999999,0.06406246951218786
30,0.79,0.05830951894845306,0.882,0.06337191807101947
31,0.8400000000000001,0.03741657386773941,0.8620000000000001,0.0597996655509042
32,0.8,0.044721359549995836,0.876,0.057827329179203815
