id	what	value	lo	hi	n	n_spk	file
4b_adress2020_A_orig_zs	adress2020 arm A_orig Omni zero-shot AUC	0.6272	0.5379	0.7165	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_A_orig_enc	adress2020 arm A_orig Omni encoder nested probe AUC	0.7959	0.7251	0.8602	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_B_paronly_zs	adress2020 arm B_paronly Omni zero-shot AUC	0.6524	0.5648	0.7380	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_B_paronly_enc	adress2020 arm B_paronly Omni encoder nested probe AUC	0.7641	0.6921	0.8350	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_C_durmatch_zs	adress2020 arm C_durmatch Omni zero-shot AUC	0.6313	0.5435	0.7141	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_C_durmatch_enc	adress2020 arm C_durmatch Omni encoder nested probe AUC	0.8075	0.7361	0.8705	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_published_zs	adress2020 arm published Omni zero-shot AUC	0.6241	0.5348	0.7148	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_published_enc	adress2020 arm published Omni encoder nested probe AUC	0.7878	0.7148	0.8517	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_paired_zs_A_to_B	adress2020 PAIRED zero-shot: original cut -> interviewer removed	0.0251	-0.0254	0.0769	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_paired_zs_A_to_C	adress2020 PAIRED zero-shot: original cut -> duration-matched, interviewer KEPT	0.0041	-0.0386	0.0473	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_paired_zs_C_to_B	adress2020 PAIRED zero-shot: duration-matched WITH interviewer -> interviewer removed	0.0210	-0.0325	0.0756	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_paired_enc_A_to_B	adress2020 PAIRED encoder probe: original cut -> interviewer removed	-0.0317	-0.0761	0.0102	156	156	out/adress2020_no_interviewer.csv
4b_adress2020_paired_enc_A_to_C	adress2020 PAIRED encoder probe: original cut -> duration-matched, interviewer KEPT	0.0117	-0.0229	0.0449	156	156	out/adress2020_no_interviewer.csv
