model,tag,set,arm,n,n_spk,n_pos,auc_ucount,auc_trapz,lo,hi,boot_usable,source_file
Qwen2.5-Omni,primary,A_edaic_part14,conflict,483,138,205,0.221776,0.221776,0.182865,0.263211,2000,scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,primary,A_edaic_part14,agreement,483,138,205,0.948166,0.948166,0.903882,0.982787,2000,scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.726391,,-0.778622,-0.665498,2000,scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,conflict,483,138,205,0.228022,0.228022,0.181628,0.278164,2000,scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,agreement,483,138,205,0.94778,0.94778,0.912791,0.976158,2000,scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.719758,,-0.768865,-0.667877,2000,scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,conflict,483,138,205,0.300755,0.300755,0.245418,0.364124,2000,scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,agreement,483,138,205,0.963766,0.963766,0.933572,0.986417,2000,scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.663011,,-0.719208,-0.602956,2000,scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
Audio Flamingo 2,primary,A_edaic_part14,conflict,483,138,205,0.528566,0.528566,0.451151,0.601477,2000,scores/edaic_conflict_v2/p14_af2.csv
Audio Flamingo 2,primary,A_edaic_part14,agreement,483,138,205,0.6083,0.6083,0.512642,0.699718,2000,scores/edaic_conflict_v2/p14_af2.csv
