id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
af3_diff_part10_minus_noinv_agreement	AF3 paired AUC difference, original (part10) minus interviewer-free, agreement	-0.0285	-0.0285	-0.0959	0.0404	322	175	scores/part20/POD4c/af3_diff_part10_minus_noinv_agreement.csv	-0.03	CI includes 0	yes
af3_diff_part10_minus_noinv_all	AF3 paired AUC difference, original (part10) minus interviewer-free, all	-0.0026	-0.0026	-0.0600	0.0548	468	228	scores/part20/POD4c/af3_diff_part10_minus_noinv_all.csv	-0.00	CI includes 0	yes
af3_diff_part10_minus_noinv_conflict	AF3 paired AUC difference, original (part10) minus interviewer-free, conflict	0.0658	0.0658	-0.0359	0.1653	146	100	scores/part20/POD4c/af3_diff_part10_minus_noinv_conflict.csv	0.07	CI includes 0	yes
af3_diff_part3_minus_noinv_agreement	AF3 paired AUC difference, original (part3) minus interviewer-free, agreement	-0.0318	-0.0318	-0.0984	0.0395	322	175	scores/part20/POD4c/af3_diff_part3_minus_noinv_agreement.csv	-0.03	CI includes 0	yes
af3_diff_part3_minus_noinv_all	AF3 paired AUC difference, original (part3) minus interviewer-free, all	-0.0034	-0.0034	-0.0611	0.0542	468	228	scores/part20/POD4c/af3_diff_part3_minus_noinv_all.csv	-0.00	CI includes 0	yes
af3_diff_part3_minus_noinv_conflict	AF3 paired AUC difference, original (part3) minus interviewer-free, conflict	0.0752	0.0752	-0.0240	0.1752	146	100	scores/part20/POD4c/af3_diff_part3_minus_noinv_conflict.csv	0.08	CI includes 0	yes
af3_noinv_agreement	AF3 zero-shot AUC, Pitt interviewer-free cut, agreement	0.6140	0.6140	0.5427	0.6798	322	175	scores/part20/POD4c/af3_noinv_agreement.csv	0.61	CI above 0.5	yes
af3_noinv_all	AF3 zero-shot AUC, Pitt interviewer-free cut, all	0.5920	0.5920	0.5293	0.6577	468	228	scores/part20/POD4c/af3_noinv_all.csv	0.59	CI above 0.5	yes
af3_noinv_conflict	AF3 zero-shot AUC, Pitt interviewer-free cut, conflict	0.5417	0.5417	0.4202	0.6621	146	100	scores/part20/POD4c/af3_noinv_conflict.csv	0.54	CI spans 0.5	yes
af3_orig_part10_agreement	AF3 zero-shot AUC, original 468 windows (part10 file), agreement (recomputed)	0.5855	0.5855	0.5144	0.6554	322	175	scores/part20/POD4c/af3_orig_part10_agreement.csv	0.59	CI above 0.5	yes
af3_orig_part10_all	AF3 zero-shot AUC, original 468 windows (part10 file), all (recomputed)	0.5894	0.5894	0.5302	0.6476	468	228	scores/part20/POD4c/af3_orig_part10_all.csv	0.59	CI above 0.5	yes
af3_orig_part10_conflict	AF3 zero-shot AUC, original 468 windows (part10 file), conflict (recomputed)	0.6075	0.6075	0.5063	0.7129	146	100	scores/part20/POD4c/af3_orig_part10_conflict.csv	0.61	CI above 0.5	yes
af3_orig_part3_agreement	AF3 zero-shot AUC, original 468 windows (part3 file), agreement (recomputed)	0.5822	0.5822	0.5080	0.6528	322	175	scores/part20/POD4c/af3_orig_part3_agreement.csv	0.58	CI above 0.5	yes
af3_orig_part3_all	AF3 zero-shot AUC, original 468 windows (part3 file), all (recomputed)	0.5885	0.5885	0.5285	0.6489	468	228	scores/part20/POD4c/af3_orig_part3_all.csv	0.59	CI above 0.5	yes
af3_orig_part3_conflict	AF3 zero-shot AUC, original 468 windows (part3 file), conflict (recomputed)	0.6169	0.6169	0.5188	0.7209	146	100	scores/part20/POD4c/af3_orig_part3_conflict.csv	0.62	CI above 0.5	yes
af2_diff_af2pitt468_minus_noinv_agreement	AF2 paired AUC difference, original (af2pitt468) minus interviewer-free, agreement	0.1579	0.1579	0.1052	0.2093	322	175	scores/part20/POD4c/af2_diff_af2pitt468_minus_noinv_agreement.csv	0.16	CI excludes 0	yes
af2_diff_af2pitt468_minus_noinv_all	AF2 paired AUC difference, original (af2pitt468) minus interviewer-free, all	0.1068	0.1068	0.0595	0.1529	468	228	scores/part20/POD4c/af2_diff_af2pitt468_minus_noinv_all.csv	0.11	CI excludes 0	yes
af2_diff_af2pitt468_minus_noinv_conflict	AF2 paired AUC difference, original (af2pitt468) minus interviewer-free, conflict	-0.0167	-0.0167	-0.1068	0.0759	146	100	scores/part20/POD4c/af2_diff_af2pitt468_minus_noinv_conflict.csv	-0.02	CI includes 0	yes
af2_noinv_agreement	AF2 zero-shot AUC, Pitt interviewer-free cut, agreement	0.3966	0.3966	0.3305	0.4657	322	175	scores/part20/POD4c/af2_noinv_agreement.csv	0.40	CI below 0.5	yes
af2_noinv_all	AF2 zero-shot AUC, Pitt interviewer-free cut, all	0.4655	0.4655	0.4038	0.5265	468	228	scores/part20/POD4c/af2_noinv_all.csv	0.47	CI spans 0.5	yes
af2_noinv_conflict	AF2 zero-shot AUC, Pitt interviewer-free cut, conflict	0.6477	0.6477	0.5357	0.7444	146	100	scores/part20/POD4c/af2_noinv_conflict.csv	0.65	CI above 0.5	yes
af2_orig_af2pitt468_agreement	AF2 zero-shot AUC, original 468 windows (af2pitt468 file), agreement (recomputed)	0.5544	0.5544	0.4760	0.6296	322	175	scores/part20/POD4c/af2_orig_af2pitt468_agreement.csv	0.55	CI spans 0.5	yes
af2_orig_af2pitt468_all	AF2 zero-shot AUC, original 468 windows (af2pitt468 file), all (recomputed)	0.5724	0.5724	0.5066	0.6424	468	228	scores/part20/POD4c/af2_orig_af2pitt468_all.csv	0.57	CI above 0.5	yes
af2_orig_af2pitt468_conflict	AF2 zero-shot AUC, original 468 windows (af2pitt468 file), conflict (recomputed)	0.6310	0.6310	0.5336	0.7260	146	100	scores/part20/POD4c/af2_orig_af2pitt468_conflict.csv	0.63	CI above 0.5	yes
af2_diff_orig30_minus_noinv_agreement	AF2 paired AUC difference, original first 30 s minus interviewer-free (same span), agreement	0.1371	0.1371	0.0781	0.1927	322	175	scores/part20/POD4c/af2_diff_orig30_minus_noinv_agreement.csv	0.14	CI excludes 0	yes
af2_diff_orig30_minus_noinv_all	AF2 paired AUC difference, original first 30 s minus interviewer-free (same span), all	0.0800	0.0800	0.0341	0.1301	468	228	scores/part20/POD4c/af2_diff_orig30_minus_noinv_all.csv	0.08	CI excludes 0	yes
af2_diff_orig30_minus_noinv_conflict	AF2 paired AUC difference, original first 30 s minus interviewer-free (same span), conflict	-0.0642	-0.0642	-0.1466	0.0201	146	100	scores/part20/POD4c/af2_diff_orig30_minus_noinv_conflict.csv	-0.06	CI includes 0	yes
