clip,noise_floor,snr,centroid,rolloff,tilt
HC_ABLANDADA_0034.wav,-62.080577,28.485073,1012.431035,1918.478261,-3.080911
HC_PIDIO_0034.wav,-67.963182,36.322465,902.373691,1512.648810,-2.973609
HC_BURRO_0034.wav,-65.830948,35.088370,781.976223,1311.079545,-2.212876
HC_GANGA_0034.wav,-67.163506,35.226371,1568.675517,3055.921053,-1.524552
HC_MANGA_0034.wav,-70.063931,42.414348,645.310144,893.750000,-3.083259
HC_PERRO_0034.wav,-66.040681,34.071388,1296.713843,2253.125000,-1.401964
HC_SOMBRA_0034.wav,-62.997174,32.573979,738.263789,1363.782051,-3.222824
HC_BARBAS_0034.wav,-69.016980,38.215422,1009.120086,2044.547872,-2.829450
HC_DIABLO_0034.wav,-66.685498,37.190919,1159.352043,2169.207317,-1.901805
HC_TOMAS_0034.wav,-70.573167,41.262520,1410.656389,2720.588235,-1.885678
HC_CARMEN_0034.wav,-61.165694,30.362848,487.542844,717.447917,-3.963664
HC_CALLE_0034.wav,-69.034867,38.753828,897.349353,1375.000000,-2.559810
HC_PIDIO_0036.wav,-60.470528,26.131984,838.408519,1291.015625,-2.621652
HC_DIABLO_0036.wav,-62.421646,30.714545,1418.375221,2280.405405,-1.845150
HC_ABLANDADA_0036.wav,-62.414026,29.280600,1067.702241,2113.541667,-2.218123
HC_MANGA_0036.wav,-62.630910,30.349788,880.346925,1390.000000,-2.579900
HC_TOMAS_0036.wav,-62.786330,31.996605,1461.329650,3055.555556,-1.338965
HC_CARMEN_0036.wav,-47.313587,13.131783,451.743686,694.444444,-5.581872
HC_BARBAS_0036.wav,-63.073057,30.736325,1129.002463,1998.046875,-2.507597
HC_CALLE_0036.wav,-63.357722,32.038397,793.052697,1171.875000,-3.170059
HC_BURRO_0036.wav,-65.019125,32.250352,826.987828,1350.446429,-1.967582
HC_SOMBRA_0036.wav,-62.716685,27.854892,705.761360,933.928571,-3.513439
HC_PERRO_0036.wav,-64.648659,28.685233,1109.182915,1978.365385,-2.313404
HC_GANGA_0036.wav,-63.139189,29.454328,1011.740314,1723.958333,-1.547722
HC_SOMBRA_0045.wav,-62.075134,19.194544,1454.845224,2512.668919,-2.598109
HC_DIABLO_0045.wav,-63.091806,23.163646,1731.169669,3121.093750,-2.325373
HC_CARMEN_0045.wav,-53.855038,14.229238,733.457186,1115.808824,-4.390039
HC_GANGA_0045.wav,-63.926394,21.056582,1807.232722,3366.666667,-2.276041
