stage,auc_mean,auc_std,auc_oof
0,0.5,0.0,0.5
1,0.6389457364341086,0.06039118119344536,0.6402783819051762
2,0.6883100775193798,0.05101116008500449,0.6746411483253589
3,0.6209689922480619,0.058846880556584366,0.6073655212411193
4,0.6385891472868217,0.04415340559648465,0.6302740321879078
5,0.6597286821705426,0.03400869816662382,0.6476004059736117
6,0.6296434108527131,0.016474927367880483,0.6198347107438016
7,0.6527364341085271,0.034836502064489454,0.6511526750761201
8,0.6114341085271319,0.04030481480255499,0.6096853704509207
9,0.6464108527131783,0.061080507821981274,0.6423082499637524
10,0.6326511627906977,0.06145730176234111,0.6187472814267072
11,0.6200232558139536,0.04959119944179202,0.6154849934754241
12,0.6397829457364341,0.019980830305889645,0.6342612730172539
13,0.6346899224806203,0.024529023143689006,0.6369435986660867
14,0.6362248062015503,0.02524985534612628,0.6344062635928664
15,0.7014573643410853,0.04412719186573525,0.702914310569813
16,0.7630852713178294,0.07555764524482356,0.7498912570682905
17,0.7470000000000001,0.08340889165153838,0.7331448455850369
18,0.7320697674418606,0.09351308889456965,0.7327823691460055
19,0.7330232558139536,0.08652965484154652,0.736117152385095
20,0.7316821705426356,0.06906002941645056,0.7418442801217922
21,0.7311860465116279,0.06513626308335034,0.7366246193997391
22,0.7174341085271319,0.061637854006865916,0.7168334058286211
23,0.7336201550387595,0.06261380768589228,0.7337248078874872
24,0.7190930232558139,0.05242873323842797,0.7167609105408149
25,0.7259612403100776,0.05301745514306368,0.7208931419457736
26,0.715922480620155,0.04563050010147653,0.7132811367261128
27,0.720937984496124,0.06777190204863091,0.7308249963752356
28,0.7086434108527132,0.10201251144264555,0.721038132521386
