stage,auc_mean,per_repeat
0,0.839538,0.855018|0.847679|0.821048|0.829985|0.843960
1,0.849276,0.867754|0.858955|0.828122|0.839172|0.852375
2,0.848109,0.866220|0.859286|0.827122|0.840846|0.847071
3,0.862030,0.873954|0.869388|0.844408|0.858345|0.864053
4,0.875272,0.885896|0.874402|0.865931|0.874636|0.875498
5,0.876416,0.886028|0.875800|0.861669|0.883276|0.875304
6,0.878161,0.882369|0.880431|0.860041|0.891360|0.876602
7,0.888790,0.892739|0.885673|0.873673|0.898393|0.893474
8,0.896203,0.900354|0.897631|0.882722|0.897974|0.902334
9,0.893340,0.897807|0.893493|0.878160|0.893970|0.903271
10,0.895514,0.898413|0.898569|0.876489|0.894947|0.909152
11,0.893065,0.902631|0.892255|0.872545|0.885283|0.912610
12,0.903213,0.914532|0.896777|0.880031|0.901387|0.923339
13,0.912172,0.925322|0.902180|0.885174|0.914914|0.933269
14,0.913317,0.925225|0.901516|0.889823|0.920374|0.929648
15,0.910014,0.926235|0.893554|0.891035|0.916149|0.923099
16,0.909314,0.924025|0.893583|0.889522|0.914747|0.924693
17,0.902170,0.914585|0.888631|0.880640|0.908970|0.918025
18,0.900659,0.910588|0.887383|0.881028|0.907440|0.916855
19,0.904728,0.909841|0.893203|0.888387|0.910154|0.922055
20,0.901301,0.899812|0.889326|0.887418|0.908089|0.921860
21,0.901953,0.897863|0.890412|0.892417|0.908350|0.920726
22,0.895460,0.889064|0.883379|0.891524|0.897410|0.915924
23,0.896384,0.889603|0.890203|0.889359|0.896453|0.916304
24,0.893199,0.886203|0.887719|0.885073|0.894134|0.912868
25,0.889001,0.880149|0.887755|0.877417|0.892051|0.907633
26,0.886213,0.877737|0.885635|0.875192|0.885838|0.906663
27,0.881675,0.872438|0.878818|0.869438|0.884387|0.903294
28,0.881494,0.874797|0.878421|0.868940|0.881469|0.903843
29,0.881601,0.874764|0.880355|0.871764|0.877694|0.903430
30,0.875204,0.872782|0.873296|0.867160|0.868980|0.893803
31,0.872140,0.873440|0.869835|0.860797|0.862202|0.894430
