stage,auc_mean,per_repeat
0,0.500000,0.500000|0.500000|0.500000|0.500000|0.500000
1,0.876312,0.878160|0.868382|0.859283|0.877223|0.898512
2,0.879563,0.890314|0.862479|0.876980|0.871106|0.896936
3,0.890091,0.897144|0.886084|0.882464|0.874643|0.910121
4,0.892454,0.900236|0.887871|0.886919|0.880002|0.907240
5,0.892032,0.898871|0.891927|0.883542|0.879279|0.906540
6,0.889431,0.896631|0.891210|0.882671|0.873256|0.903388
7,0.887234,0.897342|0.887621|0.877370|0.872187|0.901648
8,0.884433,0.894565|0.890863|0.872145|0.865737|0.898853
9,0.884093,0.895623|0.887483|0.871595|0.867347|0.898418
10,0.888327,0.898977|0.885210|0.878354|0.875648|0.903445
11,0.888909,0.900706|0.885921|0.878319|0.877507|0.902094
12,0.888891,0.900509|0.886397|0.878866|0.875929|0.902752
13,0.892422,0.904650|0.890881|0.883109|0.879139|0.904332
14,0.890170,0.901706|0.886615|0.881187|0.878397|0.902945
15,0.896200,0.907957|0.890210|0.888420|0.886889|0.907524
16,0.893903,0.907704|0.885909|0.886493|0.883860|0.905549
17,0.892537,0.908463|0.884357|0.884630|0.880073|0.905162
18,0.894898,0.909236|0.890322|0.886686|0.884874|0.903372
19,0.895985,0.910364|0.893836|0.885767|0.885478|0.904481
20,0.892691,0.909326|0.891704|0.883119|0.879276|0.900028
21,0.891587,0.907888|0.888916|0.881569|0.880360|0.899205
22,0.887849,0.903240|0.885440|0.877526|0.876965|0.896073
23,0.884188,0.902145|0.883139|0.873107|0.871068|0.891483
24,0.883105,0.900236|0.881296|0.872683|0.872608|0.888702
25,0.887229,0.903516|0.885527|0.877491|0.877764|0.891848
26,0.887202,0.902947|0.886977|0.877446|0.876899|0.891739
27,0.894199,0.906798|0.885731|0.891635|0.886598|0.900235
28,0.889229,0.897960|0.882380|0.887375|0.882607|0.895825
29,0.886724,0.891451|0.878479|0.885344|0.883458|0.894888
30,0.887247,0.891914|0.881575|0.885187|0.881388|0.896172
31,0.890081,0.895734|0.884339|0.890111|0.880575|0.899645
32,0.885700,0.891940|0.879902|0.884881|0.877648|0.894129
33,0.889115,0.895650|0.883217|0.888876|0.878516|0.899316
34,0.884793,0.889250|0.877926|0.884228|0.875597|0.896964
35,0.883823,0.886891|0.876635|0.886322|0.873091|0.896175
36,0.878047,0.881443|0.871448|0.879076|0.866792|0.891478
37,0.881311,0.883929|0.880007|0.878299|0.872289|0.892030
38,0.886939,0.887704|0.884170|0.882977|0.881098|0.898744
39,0.887227,0.882716|0.887631|0.891278|0.879276|0.895233
40,0.881312,0.876724|0.880965|0.885218|0.875008|0.888646
41,0.879207,0.878967|0.875707|0.880931|0.870412|0.890017
42,0.876800,0.874828|0.872585|0.880600|0.867293|0.888696
43,0.877095,0.872797|0.875959|0.878157|0.867466|0.891094
44,0.876921,0.873630|0.875152|0.878021|0.868122|0.889678
45,0.873248,0.869501|0.872306|0.874926|0.861111|0.888398
46,0.872702,0.868896|0.872590|0.869498|0.863506|0.889023
47,0.865543,0.864873|0.864610|0.864559|0.854337|0.879339
48,0.851805,0.851324|0.854607|0.855304|0.835435|0.862357
