layer,auc_mean,auc_std,auc_oof
0,0.6880940731505009,0.05281618206467402,0.6840275087175514
1,0.6749974732821591,0.03882749528245572,0.6719779155366137
2,0.6593326322322232,0.048511682930278945,0.6519469197985278
3,0.6705713217632607,0.04736276789216966,0.6646745447500968
4,0.6816243947227046,0.04745408862013185,0.6738860906625339
5,0.6983785516534089,0.058688992882250456,0.6853932584269663
6,0.6981630745385815,0.053428762914016395,0.6900135606354125
7,0.7197350942090008,0.033129176609805286,0.7176385122045719
8,0.7312994128253199,0.040183889078932084,0.7320805889190236
9,0.7145607669179529,0.046920559434387735,0.7131150716776442
10,0.7357692451055012,0.050090851883551356,0.7388802789616428
11,0.7279499952985529,0.048602640041858956,0.7255327392483533
12,0.7285579568575604,0.054986692306315026,0.7162727624951569
13,0.7468178239895729,0.050136569384871925,0.7399651297946532
14,0.7329182213543867,0.06194313543148807,0.7321968229368463
15,0.7636371606911382,0.05234603892190847,0.7577101898488957
16,0.7758270609432676,0.05740454397020181,0.7671832623014336
17,0.7718142410214168,0.056593818980544004,0.7625726462611391
18,0.7731203137160444,0.05031703819590561,0.761623401782255
19,0.7868653683047455,0.062457025030547786,0.7768209996125532
20,0.7771350556011531,0.04482732805830368,0.7678806664083688
21,0.805260597646081,0.04092889610422508,0.797036032545525
22,0.8070582884072339,0.042754620246184115,0.7967067028283611
23,0.813850796260154,0.048866769401998765,0.8031964354901201
24,0.8038617045306005,0.047466589357702774,0.7953506392870979
25,0.8062474366723988,0.03457870033940931,0.79567028283611
26,0.807578882074479,0.017574228737494087,0.7988764044943821
27,0.8195140595974364,0.024950345255250885,0.808175125920186
28,0.8062350655979629,0.02295631240866619,0.7928322355676094
29,0.8023626002922238,0.0336800832505676,0.7888124757845798
30,0.806374328248381,0.036696214818271296,0.7947307245253777
31,0.8066405465399562,0.027234503769460884,0.7907884540875629
