layer,auc_mean,auc_std,auc_oof
0,0.6880027566159577,0.053013182551948854,0.6842309182487407
1,0.6753107032373722,0.038963099709069325,0.6719972878729175
2,0.6593623035318065,0.048255191865595036,0.652169701666021
3,0.6707685086077183,0.047211870015625775,0.664500193723363
4,0.682121036544652,0.04783315330451518,0.6738667183262301
5,0.6985495720812771,0.05931024059985327,0.6853254552499032
6,0.6980040810769494,0.05321928869772471,0.6898101511042232
7,0.7192281596533033,0.032821340305028354,0.7174544750096863
8,0.731278096110855,0.04007943738704482,0.7320030995738086
9,0.714875638357047,0.04725406239514588,0.7131731886865555
10,0.7358635955082706,0.049767648880604226,0.7392483533514143
11,0.7281503451778638,0.048593056764084354,0.7255714839209609
12,0.728659812952748,0.05518597399656771,0.7165827198760171
13,0.7460494378112499,0.05072352593364316,0.739907012785742
14,0.7330108126130078,0.06172716118632929,0.7323905462998838
15,0.7645860900789196,0.05167994820452101,0.7579039132119334
16,0.7758508795552053,0.05785889765295222,0.7672994963192562
17,0.7717056219871354,0.05617049295977991,0.7624757845796204
18,0.7737479214565632,0.050665866271624206,0.7617202634637738
19,0.7862687586983859,0.0618977328227471,0.7764335528864781
20,0.7772265373466466,0.04452501916750792,0.7676675707090275
21,0.8051692811115381,0.041030185871054906,0.7966292134831461
22,0.8069506949974945,0.04279642812362446,0.7964548624564123
23,0.814163779388473,0.04911917018314546,0.8033126695079427
24,0.8038878958733839,0.04763255381391071,0.7951375435877566
25,0.8061513631698043,0.03491998049909357,0.7958155753583882
26,0.8066938507050626,0.01747562951459124,0.798324292909725
27,0.8196321109518762,0.025162579612367012,0.8082719876017048
28,0.8056760473086225,0.023221434051295814,0.7924835335141417
29,0.8020172086463143,0.03420264433892245,0.7889577683068579
30,0.8057737044272946,0.03683874601817464,0.794633862843859
31,0.8065495967652161,0.027309249332285738,0.7905269275474622
