layer,auc_mean,auc_std,auc_oof
0,0.6881872779958194,0.05267866782283154,0.6840759395583107
1,0.6751274090309053,0.038935219185114715,0.6720747772181325
2,0.6585442063361546,0.04866828471198668,0.6517241379310345
3,0.6712606425611504,0.0472379362050675,0.6644808213870592
4,0.6818316252013764,0.04790811489608354,0.6738086013173189
5,0.6987077729517286,0.05848193039728147,0.6854901201084851
6,0.6979399477380498,0.053683331374911006,0.689984502130957
7,0.719928798809485,0.03306837776240509,0.7176191398682681
8,0.7309710155080381,0.03961791064334103,0.7318868655559859
9,0.7148519374053768,0.0466928921974023,0.7132894227043781
10,0.7358311233738223,0.04904619996945332,0.7393645873692367
11,0.7279335532124065,0.048484857692352105,0.7253196435490119
12,0.7284648811788689,0.055004949373657956,0.716272762495157
13,0.7465852510753498,0.04975805138987416,0.7400426191398684
14,0.733197093137018,0.06178086261565094,0.7324874079814025
15,0.7640920678147125,0.051679996514993214,0.7578845408756296
16,0.775664352204301,0.057610552200372464,0.7669314219294847
17,0.7718931772352235,0.05599178170454879,0.7625726462611391
18,0.7732364767597089,0.05044775040208963,0.7615652847733436
19,0.786374343864441,0.0627388846025471,0.7763948082138705
20,0.777540134061663,0.04496672069889466,0.7680550174351026
21,0.8052580957486084,0.04081422237811801,0.7966485858194499
22,0.8071612900598722,0.04290139842390163,0.7965710964742347
23,0.8139700747879888,0.049186056770507657,0.803215807826424
24,0.8039891383818741,0.04785220036567286,0.7950406819062378
25,0.8062420661176501,0.03479351447249156,0.7957962030220845
26,0.8074628865144066,0.017486410502177675,0.7990023246803565
27,0.8196150552790323,0.024966835443112137,0.808330104610616
28,0.8055779678349856,0.023565124509497517,0.7924351026733825
29,0.8023276898771604,0.03419208856843969,0.7889771406431616
30,0.8059599849513047,0.03647611182997668,0.7945757458349477
31,0.8069298287166047,0.027332686477822176,0.7908368849283224
