layer,auc_mean,auc_std,auc_oof
0,0.6884048012082411,0.053176415636608125,0.684134056567222
1,0.6751138831527179,0.03903458254714065,0.6720263463773731
2,0.6593159433191825,0.048129522633657745,0.6521890740023246
3,0.6712091417348311,0.04716923434532738,0.6642967841921735
4,0.6817248944778703,0.047650632490821354,0.6739829523440526
5,0.698370023816987,0.058545198854919336,0.685586981790004
6,0.697449246976935,0.053831057093227275,0.6896745447500969
7,0.719366962799439,0.03288020948389343,0.7173576133281674
8,0.7307145699529994,0.040444440256983655,0.7318481208833787
9,0.7146685255386425,0.04706532896344699,0.7134250290585045
10,0.735445106557199,0.0492326006341784,0.7388996512979464
11,0.7275591038536111,0.04866009690634799,0.7253002712127082
12,0.7288510156557596,0.05490449999316984,0.7166020922123207
13,0.7462285886363629,0.05048201977347162,0.7400426191398682
14,0.7331995950344906,0.06189553538746978,0.7321193335916311
15,0.7641914220124273,0.051771868316319296,0.7578845408756295
16,0.7759319509066815,0.05734267985430012,0.7672994963192561
17,0.7716670334523064,0.05652432322789987,0.7625532739248354
18,0.7729325116410622,0.05035898965611432,0.7613134444013947
19,0.7870268828223328,0.06242506572103108,0.7764238667183263
20,0.7772252626225689,0.04468839543038141,0.7678806664083688
21,0.8050090742700439,0.041484679439600505,0.7966873304920572
22,0.8070541450258801,0.04295925768721427,0.7964354901201085
23,0.8141855920293681,0.049417043204717806,0.8034289035257652
24,0.8032906726803268,0.047342590316569996,0.7948082138705928
25,0.8063520798089183,0.034823430123125144,0.7957380860131732
26,0.807786656030264,0.0180510244263171,0.7990701278574197
27,0.8193172395127819,0.024970504498372917,0.8080588919023636
28,0.8056754337219252,0.02346484440861994,0.7924641611778381
29,0.8015158098563158,0.03428333045171969,0.7885896939170864
30,0.8060603670462031,0.03689665276450042,0.7945757458349476
31,0.8071519912368107,0.027208006723165194,0.7908368849283224
