layer,auc_mean,auc_std,auc_oof
0,0.6881872779958194,0.052678667822831565,0.6840759395583107
1,0.6751274090309053,0.038935219185114674,0.6720747772181325
2,0.6585442063361546,0.04866828471198667,0.6517241379310345
3,0.6712606425611503,0.04723793620506751,0.6644808213870593
4,0.6818316252013763,0.04790811489608353,0.6738086013173189
5,0.6987077729517286,0.058481930397281494,0.6854901201084851
6,0.6979399477380498,0.05368333137491103,0.689984502130957
7,0.719928798809485,0.03306837776240507,0.7176191398682681
8,0.7309710155080381,0.03961791064334103,0.731886865555986
9,0.7148519374053768,0.046692892197402316,0.7132894227043781
10,0.7358311233738224,0.04904619996945334,0.7393645873692367
11,0.7279335532124065,0.048484857692352105,0.725319643549012
12,0.728464881178869,0.055004949373657956,0.7162727624951569
13,0.7465852510753498,0.04975805138987416,0.7400426191398682
14,0.733197093137018,0.06178086261565097,0.7324874079814025
15,0.7640920678147125,0.05167999651499324,0.7578845408756296
16,0.775664352204301,0.057610552200372464,0.7669314219294847
17,0.7718931772352235,0.05599178170454879,0.7625726462611391
18,0.7732364767597089,0.05044775040208962,0.7615652847733436
19,0.786374343864441,0.0627388846025471,0.7763948082138706
20,0.777540134061663,0.04496672069889465,0.7680550174351026
21,0.8052580957486084,0.04081422237811804,0.7966485858194499
22,0.8071612900598722,0.042901398423901595,0.7965710964742347
23,0.8139700747879888,0.049186056770507615,0.8032158078264239
24,0.8039891383818741,0.04785220036567287,0.7950406819062379
25,0.8062420661176501,0.034793514472491564,0.7957962030220844
26,0.8074628865144066,0.017486410502177613,0.7990023246803565
27,0.8196150552790323,0.024966835443112137,0.808330104610616
28,0.8055779678349856,0.023565124509497447,0.7924351026733825
29,0.8023276898771604,0.0341920885684397,0.7889771406431616
30,0.8059599849513047,0.03647611182997665,0.7945757458349477
31,0.8069298287166047,0.027332686477822197,0.7908368849283224
