layer,auc_mean,auc_std,auc_oof
0,0.5,0.0,0.5
1,0.7742094389640528,0.02832827961088766,0.7684812088337853
2,0.7707746006142397,0.015219098950331916,0.7623886090662534
3,0.8000323374180096,0.03463850976979447,0.784938008523828
4,0.8057740428659965,0.033602617596205295,0.7918248740798141
5,0.7912321061493681,0.03256530909178244,0.7785548237117397
6,0.7742596300890658,0.034218235939315784,0.7606935296396745
7,0.7648537552988464,0.01935018007404047,0.75592793490895
8,0.7766927156556586,0.03186376660455758,0.7639771406431616
9,0.7578356035654306,0.026992272236859422,0.7462030220844634
10,0.768666863531819,0.034245586011551594,0.7547655947307246
11,0.7561001754446115,0.02930721177974371,0.7366718326230144
12,0.7615673901767985,0.02923853359697124,0.7449050755521116
13,0.7657076016031711,0.03468681602434021,0.7498062766369624
14,0.7583617106423107,0.04433186844144633,0.737417667570709
15,0.7634929465029974,0.050361239157755894,0.7449728787291747
16,0.7842045612993879,0.04107196552828018,0.7662630763270051
17,0.7809678505141553,0.046081364250436005,0.7683552886478109
18,0.795777939959905,0.04927170841626861,0.7824389771406431
19,0.7809521023677564,0.059257632361206146,0.7687717938783417
20,0.8021672993317684,0.05084404222592782,0.7880085238279737
21,0.8034142352265949,0.04781399879740612,0.7891999225106547
22,0.8045698242613764,0.05609733722323694,0.7882603641999225
23,0.7950000678402128,0.04663187024094683,0.7758426966292135
24,0.7798996163862894,0.041822290551154266,0.7613909337466098
25,0.7826739827625439,0.03754359504922954,0.767861294072065
26,0.7960589815787762,0.031408895461487736,0.7808213870592794
27,0.8110080802528217,0.024735051038807913,0.7959608678806664
28,0.7968057431432951,0.0324404122965956,0.7843471522665634
