layer,auc_mean,auc_std,auc_oof
0,0.5,0.0,0.5
1,0.7927173917428687,0.03520797997367183,0.7876210771018985
2,0.7814584431289051,0.02563581132902833,0.7785548237117397
3,0.7854724868951055,0.03516145487176722,0.7765401007361488
4,0.8087200861713629,0.04164768490755324,0.7973266175900814
5,0.8044437767105995,0.0394154979269398,0.7967648198372724
6,0.7864032101972741,0.036646725401593624,0.7763754358775669
7,0.7752547521886558,0.034196309642908984,0.7691398682681131
8,0.785744609685019,0.03880024829401222,0.7697404106935296
9,0.771860931398201,0.027869075029776043,0.7589015885315769
10,0.7968777177290527,0.034618762058381214,0.7795137543587758
11,0.7770503274155798,0.03185679682901443,0.7614684230918249
12,0.781660763270059,0.028537504042834044,0.770108485083301
13,0.7717814288757057,0.043001299275732194,0.7586400619914762
14,0.766620056399453,0.04016658515380403,0.7578748547074777
15,0.7694800935942397,0.033309629998165516,0.7586594343277799
16,0.7780271218363028,0.042257489408017386,0.7700503680743898
17,0.7742490314467882,0.03215335872424114,0.7666989538938396
18,0.7733799953371114,0.02903689415869118,0.764025571483921
19,0.7666209114168332,0.049727068752113676,0.7606257264626114
20,0.7859513966216807,0.05037410754629126,0.7746706702828362
21,0.7839533203438307,0.04944393330379103,0.7759879891514916
22,0.7995702723226261,0.047817768907883966,0.7840953118946143
23,0.794826896649661,0.04149397727701741,0.7797752808988764
24,0.7879612875759209,0.0423935596451738,0.7701278574196048
25,0.8003823837531323,0.04048622824191858,0.779010073614878
26,0.7954119535288314,0.03996532100283065,0.7799302595893065
27,0.7998172865369477,0.041382473186450164,0.7864490507555211
28,0.7920245213673888,0.032091317627266254,0.7714839209608679
