layer,auc_mean,auc_std,auc_oof
0,0.5,0.0,0.5
1,0.4866461685182749,0.08862801842942834,0.4695519791213571
2,0.48400490269187985,0.08093647365169683,0.48753081049731767
3,0.45455516943654173,0.0986070281938087,0.4622299550529215
4,0.4642552674455138,0.09858906830581926,0.46070755400898944
5,0.47214551742758915,0.10761258648755222,0.47368421052631576
6,0.4767116357842657,0.1375954480420265,0.47716398434101787
7,0.4624573367297321,0.060396231939302554,0.4678120922140061
8,0.4812815003918386,0.05820690281303765,0.48499347542409743
9,0.4748859665235388,0.08888015755212099,0.48753081049731767
10,0.46286865226968804,0.10512589183191225,0.47085689430187044
11,0.4475277649074065,0.11485411707940926,0.45215311004784686
12,0.4571414253106517,0.13088758865793407,0.46128751631143977
13,0.48596331853493024,0.14222496120678044,0.4902856314339568
14,0.4881857204497006,0.12600984822289715,0.4986225895316805
15,0.5104192120257919,0.13329833932584945,0.5256633318834275
16,0.52769511108568,0.11817160157660093,0.5329128606640569
17,0.521058921424099,0.12897029095580606,0.5422647527910686
18,0.5751651911947558,0.07064023855185984,0.5941713788603741
19,0.6000914270522526,0.07604473346394314,0.5998260113092649
20,0.6141354364393081,0.08242098016072229,0.6143975641583297
21,0.6126975180532443,0.07512912440990435,0.6167899086559373
22,0.611375736959564,0.09521759038585813,0.6172973756705814
23,0.6206870191728362,0.08362151096305134,0.6232419892706973
24,0.6201360856618071,0.06653366693083466,0.6163549369290996
25,0.6433110157903164,0.05533424803160973,0.6382485138466
26,0.6420828523085496,0.05175744918590557,0.6396984196027259
27,0.639852716415354,0.015092959242769145,0.6372335798173119
28,0.6508137082002269,0.045120860259568046,0.6537625054371466
