layer,auc_mean,auc_std,auc_oof
0,0.7146879926059493,0.062567550668178,0.7077580539119002
1,0.7013170369362319,0.048503002121481315,0.6970742932281394
2,0.7002789779879562,0.05950969166996927,0.6947731755424064
3,0.7076879415733905,0.09391733046772441,0.7062787639710716
4,0.6994158473105843,0.0776402237638412,0.6949375410913873
5,0.6936289252543123,0.05393842640555021,0.6854043392504932
6,0.7193495333356014,0.0489199587968118,0.7223865877712031
7,0.7442822554122864,0.06029771755277786,0.7463839579224195
8,0.757674219485365,0.05174757741026593,0.7638067061143984
9,0.7893872974290932,0.05280641930557892,0.7933925049309666
10,0.8225134385738102,0.04189056169642744,0.8226495726495727
11,0.8283031107179714,0.045599358805191954,0.8302103879026956
12,0.8142755361253812,0.05161519764740031,0.8223208415516108
13,0.8283687442588372,0.051280634644584405,0.8298816568047337
14,0.8225284081243833,0.04909912485603708,0.8247863247863247
15,0.8142921500584039,0.03620046234287299,0.8172255095332017
16,0.8200056135814651,0.03258521570517204,0.8198553583168967
17,0.8439895269848829,0.04467530720495818,0.8298816568047337
18,0.8106980687011648,0.04494252757338796,0.8132807363576594
19,0.801543621497182,0.05023694000508025,0.8075279421433268
20,0.8115007824992345,0.048388482584522066,0.8155818540433926
21,0.8306710214450153,0.04408021653239346,0.8331689677843526
22,0.819798279635741,0.04744994579104514,0.8241288625904012
23,0.8113214597579923,0.06215282900211267,0.8162393162393163
24,0.8289973519772282,0.04461493850060252,0.8293885601577909
25,0.8399733496637521,0.03805486956218368,0.8430309007232083
26,0.8349549495911726,0.038162764454744445,0.8410585141354372
27,0.8400021830594586,0.03119857479780241,0.8466469428007889
28,0.8159071887864459,0.029552980672167,0.82396449704142
29,0.8206902437088196,0.044125258006138826,0.8256081525312293
30,0.8231902437088197,0.04481532878834042,0.8298816568047337
31,0.8072028487508364,0.05952136703110024,0.8129520052596976
