layer,auc_mean,auc_std,auc_oof
0,0.8637704482309646,0.02460550397404206,0.8598202610730244
1,0.8801938028655509,0.02490747872228789,0.8737262082877411
2,0.8962147381094099,0.021843910292753257,0.8908577298407807
3,0.90200566404074,0.024909166642384406,0.8967406811916762
4,0.9170324293655414,0.02357137867723461,0.9069793985048221
5,0.9222958309054292,0.01850790874191407,0.9096020385629818
6,0.9317143104521015,0.020524888192339344,0.916744204511338
7,0.9395741173898718,0.019471885188123927,0.9232561428582063
8,0.9391251724473613,0.022456296407327644,0.9243156199677938
9,0.943068461734782,0.02045614943229294,0.928059767411278
10,0.9472694248988311,0.014505456107529947,0.9313771465576919
11,0.9444195274842663,0.013676800823944821,0.9289145446109337
12,0.9451563451545647,0.017601232486766774,0.9339824181386451
13,0.9458386387139528,0.01924171613010087,0.9349674589173482
14,0.9412050961357104,0.02335991376406625,0.930976430976431
15,0.949789790940977,0.019790077353713863,0.9385515682494312
16,0.9559604432151859,0.02609898837746928,0.9449071903014423
17,0.9574145925706163,0.024646154624259793,0.9476141915346042
18,0.9543354567092127,0.023651848171692327,0.9421331963704845
19,0.9574470374912757,0.020830184734854075,0.9416009766046612
20,0.955752929322341,0.018571848743747912,0.9407077406340487
21,0.9594464522684947,0.01753749029506127,0.9442273384793649
22,0.9574609530172946,0.016188073015609875,0.9454145979569708
23,0.9562572507447819,0.011723976775064544,0.9427795518436638
24,0.9587627951375749,0.010823567495750147,0.9455076433705764
25,0.955497317556931,0.01602732748620796,0.9437335774844987
26,0.9419810764719871,0.017287145153855918,0.9316872979363768
27,0.9476181361963221,0.025513164704529433,0.9398653694895407
28,0.9384965161349692,0.02606053569708931,0.9316078991834336
29,0.9408634318966211,0.024092019661570877,0.9344488858121872
30,0.9427447411655663,0.021248128335045736,0.9351547903500741
31,0.9342048318528768,0.030532764766918723,0.9285237538737908
