layer,auc_mean,auc_std,auc_oof
0,0.8504157960020333,0.07741890744797286,0.836113530291865
1,0.8627337879834741,0.07681443039550584,0.8506038027040239
2,0.8789632161747901,0.08074025789326725,0.8689411928173904
3,0.8776963802756603,0.07109013650081017,0.8649762175922826
4,0.8932878779573112,0.07005532512431409,0.8839128201692683
5,0.8930109347452356,0.07250367518279206,0.882731763719236
6,0.8999293649298995,0.07265173470513703,0.8891196415146303
7,0.9008244637784433,0.07128422224117402,0.8873753501609065
8,0.9091167551011174,0.06930893048436418,0.8967754181460887
9,0.9133801399826755,0.06658449315498594,0.903374198878989
10,0.9228430703872581,0.07043908078903079,0.9143163395189924
11,0.9194663805412459,0.05825433304848384,0.9118959181597354
12,0.9190246129423503,0.05426418799706939,0.9115249771108282
13,0.9238437156512719,0.053594375209751105,0.9170667619451702
14,0.9185618077678267,0.04785836221172028,0.9112681717692772
15,0.9288949794158492,0.047055719181891206,0.9247758846137624
16,0.9260559509441031,0.041737956801460384,0.9231705410776893
17,0.9308022595149602,0.04162106798450198,0.9271342756972824
18,0.9305319364833327,0.04206077360221214,0.9282917606425345
19,0.9325821833565403,0.03838211339819989,0.9313907932183538
20,0.9320869483156715,0.036656963292303085,0.9314962446871069
21,0.930993491769517,0.03133818525584159,0.9320048929481501
22,0.9312707071472024,0.033990826192338085,0.9331871900036971
23,0.9294625400242849,0.029808263096040347,0.930547181468331
24,0.9317245107123442,0.035109576677719405,0.9340680199191621
25,0.9310814705534092,0.03348364899024042,0.9343149004165954
26,0.923953263792406,0.03601101355263972,0.9271020199538991
27,0.9305916364169,0.03315495972868795,0.9308833855628255
28,0.9234550232074412,0.03577931010193544,0.9251753595895085
29,0.923152544555163,0.03594874784404465,0.9247882906689098
30,0.9252058784291292,0.038283721680573694,0.9269519066866156
31,0.9184658048654575,0.03508182242214687,0.9200764709239286
