layer,auc_mean,auc_std,auc_oof
0,0.659922480620155,0.06296016942256367,0.6642018268812527
1,0.6588527131782946,0.04921327216393869,0.6685515441496303
2,0.6438759689922481,0.05604941182842263,0.6551399159054662
3,0.6370232558139535,0.05298737622812524,0.6307090039147456
4,0.6342790697674419,0.04871028541832335,0.6367986080904742
5,0.6681782945736434,0.03845856672428016,0.6602870813397129
6,0.6373565891472868,0.05202940236456726,0.6426707264027838
7,0.602248062015504,0.05147245376689408,0.6071480353777005
8,0.6324573643410852,0.0530990301303254,0.6251993620414673
9,0.6356666666666666,0.07402005844594158,0.6242569232999856
10,0.6391162790697675,0.058017035806074556,0.6394084384515006
11,0.6027364341085271,0.04721724198456077,0.5960562563433377
12,0.6109224806201551,0.054548434981296356,0.6033782804117732
13,0.6118682170542635,0.07543315376847692,0.6032332898361606
14,0.6029612403100775,0.08215587700045324,0.5933739306945048
15,0.5846899224806201,0.05811963483719212,0.5852544584602002
16,0.5703178294573643,0.034906507630862664,0.5713353632013919
17,0.5743720930232559,0.03802502504793444,0.5730752501087429
18,0.5716511627906977,0.04784357461303341,0.571842830216036
19,0.5356821705426357,0.056595739235895386,0.5314629549079309
20,0.5422945736434108,0.09438701690273982,0.5359576627519212
21,0.5520077519379845,0.07044461372701855,0.539872408293461
22,0.5396434108527132,0.06750709399699763,0.5241409308394955
23,0.5353488372093023,0.07799722876006007,0.5390749601275917
24,0.5257364341085271,0.080133669350929,0.5210236334638249
25,0.5461937984496124,0.08337930010401977,0.5440046396984196
26,0.5034263565891474,0.1040625958581631,0.5105843120197188
27,0.5366511627906977,0.08320297212984468,0.541612295200812
28,0.5041627906976743,0.09410417087602146,0.5142815716978397
29,0.5203643410852713,0.08261624624722268,0.5280556763810353
30,0.5112790697674419,0.10297497716785858,0.517616354936929
31,0.4778217054263566,0.0768991404100562,0.4810787298825576
