pod,job,dataset,t5_key,stream,variant,states_class,refit_file,saved_file,maxabs_auc_oof,match4_auc_oof,maxabs_auc_mean,match4_auc_mean,maxabs_auc_std,match4_auc_std,n_layers,cpu,openblas_arch,avx512f,numpy,scipy,sklearn,answer_auc,layers_above_saved,layers_above_refit
lo-t5-1,pitt_encproj,pitt,pitt,enc,macfile,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__macfile_enc.csv,<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv,0.053816350251840284,0,0.04398534617745753,0,0.0345216944790359,0,32,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,0.6577683068578071,31.0,32.0
lo-t5-1,pitt_encproj,pitt,pitt,proj,macfile,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__macfile_proj.csv,<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv,0.019217357613328212,0,0.0244921445159213,0,0.0007189213028390012,0,1,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,,,
lo-t5-1,pitt_encproj,pitt,pitt,enc,podfile_ctHaswell,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctHaswell_enc.csv,<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv,0.0006780317706315264,8,0.0008180971956518457,3,0.000965474543768996,5,32,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,0.6577683068578071,31.0,31.0
lo-t5-1,pitt_encproj,pitt,pitt,proj,podfile_ctHaswell,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctHaswell_proj.csv,<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv,5.8117008911229284e-05,0,0.0001223940120047562,0,0.0007940724078391026,0,1,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,,,
lo-t5-1,pitt_encproj,pitt,pitt,enc,podfile_ctPrescott,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctPrescott_enc.csv,<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv,0.0005424254165052877,5,0.0009025013527464987,5,0.0008259579974468009,5,32,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,0.6577683068578071,31.0,31.0
lo-t5-1,pitt_encproj,pitt,pitt,proj,podfile_ctPrescott,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctPrescott_proj.csv,<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv,5.8117008911340307e-05,0,0.00020833999179936669,0,0.0005062706298125039,0,1,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,,,
lo-t5-1,pitt_encproj,pitt,pitt,enc,podfile_ctSandybridge,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctSandybridge_enc.csv,<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv,0.00048430840759394744,8,0.0007884258960685342,4,0.0010446519140979993,3,32,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,0.6577683068578071,31.0,31.0
lo-t5-1,pitt_encproj,pitt,pitt,proj,podfile_ctSandybridge,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctSandybridge_proj.csv,<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv,7.748934521512041e-05,0,0.0006859677205433012,0,0.0003557481068586013,0,1,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,,,
lo-t5-1,pitt_encproj,pitt,pitt,enc,podfile_ctSapphireRapids,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctSapphireRapids_enc.csv,<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv,0.0006780317706315264,8,0.0008180971956518457,3,0.000965474543768996,5,32,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,0.6577683068578071,31.0,31.0
lo-t5-1,pitt_encproj,pitt,pitt,proj,podfile_ctSapphireRapids,same_run,scores/leftovers_23sep/t5/lo-t5-1/pitt_encproj__podfile_ctSapphireRapids_proj.csv,<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv,5.8117008911229284e-05,0,0.0001223940120047562,0,0.0007940724078391026,0,1,AMD EPYC 7713 64-Core Processor,Haswell,False,2.1.2,1.18.1,1.9.1,,,
