layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6882110966077569),np.float64(0.05312939443832349),0.6842406044168927,0.6842406044168926
1,np.float64(0.6753020519875033),np.float64(0.03881069715591731),0.6721522665633476,0.6721522665633475
2,np.float64(0.659235779931981),np.float64(0.04852224122804645),0.6519759783029834,0.6519759783029833
3,np.float64(0.6712560147597262),np.float64(0.04738185247879289),0.6646939170864006,0.6646939170864007
4,np.float64(0.6818322863387567),np.float64(0.047926107924425664),0.6740023246803565,0.6740023246803565
5,np.float64(0.698640275029123),np.float64(0.059139099607767184),0.6853448275862069,0.685344827586207
6,np.float64(0.6977164403841819),np.float64(0.053161625161564516),0.6898488957768307,0.6898488957768307
7,np.float64(0.7196423852901124),np.float64(0.033297603559233134),0.717551336691205,0.717551336691205
8,np.float64(0.7309911866650521),np.float64(0.040230217754730686),0.7318481208833786,0.7318481208833787
9,np.float64(0.7140487086344012),np.float64(0.04633077032797758),0.713376598217745,0.7133765982177451
10,np.float64(0.7354389096541196),np.float64(0.04987215796690015),0.7391127469972879,0.7391127469972878
11,np.float64(0.7277520296564478),np.float64(0.048717716696148154),0.7253874467260751,0.7253874467260751
12,np.float64(0.7287622010186892),np.float64(0.05502257963942873),0.7165633475397133,0.7165633475397134
13,np.float64(0.7465370638961666),np.float64(0.05041338855240717),0.7399263851220457,0.7399263851220457
14,np.float64(0.7328464623901599),np.float64(0.06221371897215258),0.7320805889190236,0.7320805889190237
15,np.float64(0.7645800583867908),np.float64(0.0518361807126236),0.7583688492832236,0.7583688492832237
16,np.float64(0.7764097801842782),np.float64(0.05699550500422386),0.7674738473459899,0.76747384734599
17,np.float64(0.77200368458028),np.float64(0.05637509143965232),0.7626501356063541,0.7626501356063542
18,np.float64(0.7734981650806307),np.float64(0.05066000159948788),0.7616137156141031,0.7616137156141031
19,np.float64(0.7872768452171875),np.float64(0.06233362020167289),0.7764626113909338,0.7764626113909338
20,np.float64(0.777414706181432),np.float64(0.04444954707967371),0.7679097249128245,0.7679097249128246
21,np.float64(0.8052667469984776),np.float64(0.041075531595303624),0.7969779155366137,0.7969779155366137
22,np.float64(0.8065523794760784),np.float64(0.04278267781407071),0.7965710964742347,0.7965710964742349
23,np.float64(0.8138703538304707),np.float64(0.0492510114461001),0.8033901588531577,0.8033901588531577
24,np.float64(0.8036950992371743),np.float64(0.047989335577173095),0.794711352189074,0.794711352189074
25,np.float64(0.8057456711225971),np.float64(0.03476254628937995),0.795679969004262,0.7956799690042619
26,np.float64(0.8073905955794265),np.float64(0.017687641849055878),0.7987407981402557,0.7987407981402558
27,np.float64(0.8194728515048674),np.float64(0.024925644312855495),0.8083010461061604,0.8083010461061604
28,np.float64(0.8057655230830735),np.float64(0.023606956737359602),0.7927547462223944,0.7927547462223945
29,np.float64(0.8019324082239706),np.float64(0.03428790315642895),0.7887059279349089,0.7887059279349089
30,np.float64(0.8063547706780645),np.float64(0.03665617525932951),0.7945370011623402,0.7945370011623402
31,np.float64(0.8068432691501128),np.float64(0.027340626192601115),0.7908175125920186,0.7908175125920186
