layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6880940731505009),np.float64(0.05281618206467405),0.6840275087175514,0.6840275087175514
1,np.float64(0.6749974732821591),np.float64(0.0388274952824557),0.6719779155366137,0.6719779155366137
2,np.float64(0.6593326322322232),np.float64(0.04851168293027891),0.6519469197985277,0.6519469197985278
3,np.float64(0.6705713217632607),np.float64(0.04736276789216973),0.6646745447500969,0.6646745447500968
4,np.float64(0.6816243947227046),np.float64(0.047454088620131875),0.6738860906625339,0.6738860906625339
5,np.float64(0.6983785516534089),np.float64(0.058688992882250456),0.6853932584269663,0.6853932584269663
6,np.float64(0.6981630745385816),np.float64(0.05342876291401643),0.6900135606354126,0.6900135606354125
7,np.float64(0.7197350942090008),np.float64(0.03312917660980526),0.7176385122045719,0.7176385122045719
8,np.float64(0.7312994128253199),np.float64(0.04018388907893206),0.7320805889190236,0.7320805889190236
9,np.float64(0.7145607669179529),np.float64(0.046920559434387735),0.7131150716776443,0.7131150716776442
10,np.float64(0.7357692451055012),np.float64(0.050090851883551384),0.7388802789616428,0.7388802789616428
11,np.float64(0.727949995298553),np.float64(0.04860264004185898),0.7255327392483534,0.7255327392483533
12,np.float64(0.7285579568575605),np.float64(0.054986692306315026),0.7162727624951569,0.7162727624951569
13,np.float64(0.746817823989573),np.float64(0.05013656938487194),0.7399651297946532,0.7399651297946532
14,np.float64(0.7329182213543867),np.float64(0.0619431354314881),0.7321968229368462,0.7321968229368463
15,np.float64(0.7636371606911384),np.float64(0.052346038921908485),0.7577101898488958,0.7577101898488957
16,np.float64(0.7758270609432676),np.float64(0.05740454397020186),0.7671832623014335,0.7671832623014336
17,np.float64(0.7718142410214168),np.float64(0.056593818980544004),0.7625726462611391,0.7625726462611391
18,np.float64(0.7731203137160444),np.float64(0.050317038195905606),0.761623401782255,0.761623401782255
19,np.float64(0.7868653683047455),np.float64(0.06245702503054782),0.7768209996125532,0.7768209996125532
20,np.float64(0.7771350556011531),np.float64(0.04482732805830371),0.7678806664083688,0.7678806664083688
21,np.float64(0.805260597646081),np.float64(0.0409288961042251),0.797036032545525,0.797036032545525
22,np.float64(0.8070582884072339),np.float64(0.04275462024618414),0.7967067028283611,0.7967067028283611
23,np.float64(0.8138507962601542),np.float64(0.04886676940199872),0.8031964354901201,0.8031964354901201
24,np.float64(0.8038617045306005),np.float64(0.04746658935770282),0.795350639287098,0.7953506392870979
25,np.float64(0.8062474366723988),np.float64(0.03457870033940929),0.7956702828361101,0.79567028283611
26,np.float64(0.807578882074479),np.float64(0.017574228737494046),0.798876404494382,0.7988764044943821
27,np.float64(0.8195140595974364),np.float64(0.02495034525525087),0.8081751259201859,0.808175125920186
28,np.float64(0.8062350655979627),np.float64(0.022956312408666118),0.7928322355676094,0.7928322355676094
29,np.float64(0.8023626002922238),np.float64(0.0336800832505676),0.7888124757845796,0.7888124757845798
30,np.float64(0.806374328248381),np.float64(0.036696214818271275),0.7947307245253777,0.7947307245253777
31,np.float64(0.8066405465399562),np.float64(0.027234503769460905),0.7907884540875629,0.7907884540875629
