layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6895673000270806),np.float64(0.02583030024769714),0.6899457574583495,0.6899457574583494
1,np.float64(0.6624399552441844),np.float64(0.03772616553317089),0.6779736536226268,0.6779736536226268
2,np.float64(0.6646055597229074),np.float64(0.03245589965894651),0.6789616427741185,0.6789616427741185
3,np.float64(0.6801598951783324),np.float64(0.03858735869643225),0.6807438977140643,0.6807438977140643
4,np.float64(0.6999896898975063),np.float64(0.026766230644427104),0.6937621077101899,0.6937621077101899
5,np.float64(0.7063008138624625),np.float64(0.04625490380879604),0.7077295621851996,0.7077295621851996
6,np.float64(0.709272992496061),np.float64(0.03925793442937007),0.7119527314994188,0.7119527314994188
7,np.float64(0.7185216364564322),np.float64(0.042123620198972186),0.7214354901201084,0.7214354901201085
8,np.float64(0.7548580130610154),np.float64(0.045198760141027465),0.7649748159628051,0.7649748159628051
9,np.float64(0.7422012930959753),np.float64(0.03610142253495573),0.755211158465711,0.755211158465711
10,np.float64(0.764882949924813),np.float64(0.04659839612332594),0.7789422704378148,0.7789422704378148
11,np.float64(0.7686744939562317),np.float64(0.05355909773488082),0.7751259201859745,0.7751259201859744
12,np.float64(0.7682195482429874),np.float64(0.054066358730591915),0.7699922510654785,0.7699922510654784
13,np.float64(0.7851951762559264),np.float64(0.0526159308102425),0.7872239442076715,0.7872239442076714
14,np.float64(0.777298381343461),np.float64(0.04546416423799634),0.7831073227431228,0.7831073227431228
15,np.float64(0.797313248159836),np.float64(0.04753546247359346),0.7944401394808214,0.7944401394808213
16,np.float64(0.797521387566918),np.float64(0.04638680176303156),0.7966485858194499,0.7966485858194498
17,np.float64(0.7988996370010615),np.float64(0.03917376930996081),0.7930453312669508,0.7930453312669508
18,np.float64(0.8080473256680566),np.float64(0.04251896339266787),0.7974815962805114,0.7974815962805115
19,np.float64(0.8043235296277089),np.float64(0.028417281548812696),0.7953893839597055,0.7953893839597055
20,np.float64(0.80084552232109),np.float64(0.023368902397786436),0.7898682681131345,0.7898682681131344
21,np.float64(0.808808055100517),np.float64(0.020568027215074162),0.8062572646261139,0.8062572646261139
22,np.float64(0.8050509918212528),np.float64(0.023465409505436758),0.7990895001937234,0.7990895001937234
23,np.float64(0.8191569397644839),np.float64(0.030980956724666255),0.8076617590081364,0.8076617590081365
24,np.float64(0.8133235885596617),np.float64(0.03223854936690365),0.8033514141805502,0.8033514141805502
25,np.float64(0.8118460978725162),np.float64(0.03050160788418527),0.8085819449825649,0.8085819449825649
26,np.float64(0.8234465461694613),np.float64(0.033244557251531304),0.8125920185974429,0.8125920185974429
27,np.float64(0.8376219256610223),np.float64(0.023350017735188654),0.8271987601704766,0.8271987601704764
28,np.float64(0.8226963398723042),np.float64(0.02619387647823947),0.8109066253390159,0.810906625339016
29,np.float64(0.8061853623448437),np.float64(0.037180176795732885),0.7943626501356064,0.7943626501356064
30,np.float64(0.8152951253959912),np.float64(0.044306740581690034),0.7978690430065866,0.7978690430065865
31,np.float64(0.8132282476278301),np.float64(0.03811956997547002),0.8001937233630376,0.8001937233630375
