layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6881872779958194),np.float64(0.052678667822831565),0.6840759395583107,0.6840759395583107
1,np.float64(0.6751274090309053),np.float64(0.038935219185114674),0.6720747772181325,0.6720747772181325
2,np.float64(0.6585442063361546),np.float64(0.04866828471198667),0.6517241379310345,0.6517241379310345
3,np.float64(0.6712606425611503),np.float64(0.04723793620506751),0.6644808213870593,0.6644808213870592
4,np.float64(0.6818316252013763),np.float64(0.04790811489608353),0.6738086013173189,0.6738086013173189
5,np.float64(0.6987077729517286),np.float64(0.058481930397281494),0.6854901201084851,0.6854901201084851
6,np.float64(0.6979399477380498),np.float64(0.05368333137491103),0.689984502130957,0.689984502130957
7,np.float64(0.719928798809485),np.float64(0.03306837776240507),0.7176191398682681,0.7176191398682681
8,np.float64(0.7309710155080381),np.float64(0.03961791064334103),0.731886865555986,0.7318868655559859
9,np.float64(0.7148519374053768),np.float64(0.046692892197402316),0.7132894227043781,0.7132894227043781
10,np.float64(0.7358311233738224),np.float64(0.04904619996945334),0.7393645873692367,0.7393645873692367
11,np.float64(0.7279335532124065),np.float64(0.048484857692352105),0.725319643549012,0.7253196435490119
12,np.float64(0.728464881178869),np.float64(0.055004949373657956),0.7162727624951569,0.716272762495157
13,np.float64(0.7465852510753498),np.float64(0.04975805138987416),0.7400426191398682,0.7400426191398684
14,np.float64(0.733197093137018),np.float64(0.06178086261565097),0.7324874079814025,0.7324874079814025
15,np.float64(0.7640920678147125),np.float64(0.05167999651499324),0.7578845408756296,0.7578845408756296
16,np.float64(0.775664352204301),np.float64(0.057610552200372464),0.7669314219294847,0.7669314219294847
17,np.float64(0.7718931772352235),np.float64(0.05599178170454879),0.7625726462611391,0.7625726462611391
18,np.float64(0.7732364767597089),np.float64(0.05044775040208962),0.7615652847733436,0.7615652847733436
19,np.float64(0.786374343864441),np.float64(0.0627388846025471),0.7763948082138706,0.7763948082138705
20,np.float64(0.777540134061663),np.float64(0.04496672069889465),0.7680550174351026,0.7680550174351026
21,np.float64(0.8052580957486084),np.float64(0.04081422237811804),0.7966485858194499,0.7966485858194499
22,np.float64(0.8071612900598722),np.float64(0.042901398423901595),0.7965710964742347,0.7965710964742347
23,np.float64(0.8139700747879888),np.float64(0.049186056770507615),0.8032158078264239,0.803215807826424
24,np.float64(0.8039891383818741),np.float64(0.04785220036567287),0.7950406819062379,0.7950406819062378
25,np.float64(0.8062420661176501),np.float64(0.034793514472491564),0.7957962030220844,0.7957962030220845
26,np.float64(0.8074628865144066),np.float64(0.017486410502177613),0.7990023246803565,0.7990023246803565
27,np.float64(0.8196150552790323),np.float64(0.024966835443112137),0.808330104610616,0.808330104610616
28,np.float64(0.8055779678349856),np.float64(0.023565124509497447),0.7924351026733825,0.7924351026733825
29,np.float64(0.8023276898771604),np.float64(0.0341920885684397),0.7889771406431616,0.7889771406431616
30,np.float64(0.8059599849513047),np.float64(0.03647611182997665),0.7945757458349477,0.7945757458349477
31,np.float64(0.8069298287166047),np.float64(0.027332686477822197),0.7908368849283224,0.7908368849283224
