layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6881828877875713),np.float64(0.05259168413415246),0.6842599767531964,0.6842599767531965
1,np.float64(0.6754944818639096),np.float64(0.03858591578621964),0.6721522665633476,0.6721522665633475
2,np.float64(0.6592262682685203),np.float64(0.048411186727773364),0.6519759783029834,0.6519759783029834
3,np.float64(0.6711603080169349),np.float64(0.047389379534558476),0.6644808213870593,0.6644808213870592
4,np.float64(0.6817247768176029),np.float64(0.047347959145851694),0.6739829523440527,0.6739829523440528
5,np.float64(0.6987371273293651),np.float64(0.05916741187927795),0.6855191786129408,0.6855191786129408
6,np.float64(0.697802999950674),np.float64(0.053032646612517075),0.6898876404494382,0.6898876404494382
7,np.float64(0.7192784503388582),np.float64(0.03283331133980112),0.7175125920185974,0.7175125920185974
8,np.float64(0.7306889105809695),np.float64(0.03952733596738767),0.7317706315381635,0.7317706315381636
9,np.float64(0.7149512916030916),np.float64(0.04673663641155329),0.7134250290585045,0.7134250290585045
10,np.float64(0.735660506138311),np.float64(0.04964384412981141),0.7388027896164278,0.7388027896164278
11,np.float64(0.7280512378070432),np.float64(0.048683404246215346),0.7254165052305308,0.7254165052305307
12,np.float64(0.7281723068007403),np.float64(0.05524652911324705),0.7163502518403719,0.7163502518403719
13,np.float64(0.746439598009227),np.float64(0.050301423006153104),0.739907012785742,0.739907012785742
14,np.float64(0.7327443211511133),np.float64(0.0625734818039252),0.7320612165827198,0.7320612165827198
15,np.float64(0.7641116253850291),np.float64(0.052012364214910456),0.7581557535838822,0.7581557535838822
16,np.float64(0.7763422822616726),np.float64(0.057397937244324876),0.7672994963192561,0.7672994963192561
17,np.float64(0.7717050084004382),np.float64(0.05604706375458016),0.7624564122433165,0.7624564122433165
18,np.float64(0.7738338674363578),np.float64(0.05044978223167307),0.761778380472685,0.761778380472685
19,np.float64(0.7866985184570666),np.float64(0.062316209515211274),0.7765497869043007,0.7765497869043007
20,np.float64(0.7780943478322689),np.float64(0.044707387702980314),0.7683262301433553,0.7683262301433553
21,np.float64(0.8050765721926496),np.float64(0.04093190543419351),0.7968229368461837,0.7968229368461837
22,np.float64(0.8071522720502001),np.float64(0.042839187861677425),0.7967067028283611,0.7967067028283612
23,np.float64(0.8140669270882309),np.float64(0.04915224316940124),0.8033707865168539,0.803370786516854
24,np.float64(0.80368455967653),np.float64(0.04764274293522528),0.7951375435877567,0.7951375435877567
25,np.float64(0.8066628078666586),np.float64(0.03509799344434203),0.7959414955443627,0.7959414955443627
26,np.float64(0.8073888249289183),np.float64(0.017687529260884145),0.7992251065478496,0.7992251065478497
27,np.float64(0.8193281458332295),np.float64(0.02492467514602699),0.8081944982564897,0.8081944982564897
28,np.float64(0.8056840849717941),np.float64(0.023575417981925396),0.7924447888415342,0.7924447888415342
29,np.float64(0.8018271515007536),np.float64(0.03420585459419395),0.7888802789616428,0.7888802789616428
30,np.float64(0.8060671299852968),np.float64(0.0368269497813652),0.7946726075164665,0.7946726075164665
31,np.float64(0.8069384799664737),np.float64(0.0273999672939426),0.7908368849283224,0.7908368849283224
