layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6606434108527132),np.float64(0.0628835164285775),0.6646367986080904,0.6646367986080906
1,np.float64(0.6589069767441861),np.float64(0.04928897971578423),0.668479048861824,0.668479048861824
2,np.float64(0.6438759689922481),np.float64(0.05604941182842261),0.6550674206176599,0.6550674206176599
3,np.float64(0.6359147286821705),np.float64(0.05233111426389613),0.6304190227635204,0.6304190227635205
4,np.float64(0.6354418604651163),np.float64(0.047059030702414635),0.6374510656807307,0.6374510656807306
5,np.float64(0.6685658914728683),np.float64(0.03864600381618879),0.6603595766275192,0.6603595766275191
6,np.float64(0.6384651162790698),np.float64(0.05192905511578693),0.642960707554009,0.642960707554009
7,np.float64(0.6029147286821706),np.float64(0.050143723487870835),0.6072205306655067,0.6072205306655067
8,np.float64(0.6309612403100775),np.float64(0.05206248181848589),0.6253443526170799,0.6253443526170799
9,np.float64(0.6360542635658915),np.float64(0.07450956327566334),0.6248368856024359,0.6248368856024359
10,np.float64(0.6383953488372093),np.float64(0.05869775222458672),0.6388284761490504,0.6388284761490504
11,np.float64(0.603015503875969),np.float64(0.04625236786978245),0.5960562563433377,0.5960562563433377
12,np.float64(0.6109224806201551),np.float64(0.054548434981296356),0.6033782804117732,0.6033782804117732
13,np.float64(0.6119767441860465),np.float64(0.07680498726871061),0.6032332898361606,0.6032332898361608
14,np.float64(0.6032945736434108),np.float64(0.08203275708387207),0.593156444831086,0.593156444831086
15,np.float64(0.5843565891472868),np.float64(0.05827441511919726),0.5853269537480064,0.5853269537480064
16,np.float64(0.5695426356589147),np.float64(0.03403856814183825),0.5710453820501667,0.5710453820501669
17,np.float64(0.5743720930232559),np.float64(0.03824355104540774),0.5730752501087429,0.5730752501087429
18,np.float64(0.5716511627906977),np.float64(0.04829673617416212),0.5722053066550674,0.5722053066550674
19,np.float64(0.5349069767441861),np.float64(0.05609480158819031),0.530955487893287,0.530955487893287
20,np.float64(0.5426279069767441),np.float64(0.09400969997016405),0.5365376250543714,0.5365376250543715
21,np.float64(0.5515658914728683),np.float64(0.06878004819965404),0.5397999130056547,0.5397999130056547
22,np.float64(0.5395891472868217),np.float64(0.06674373407368417),0.5242134261273017,0.5242134261273017
23,np.float64(0.535015503875969),np.float64(0.07790179164356598),0.5390024648397854,0.5390024648397854
24,np.float64(0.5257364341085271),np.float64(0.08048646861622566),0.5213861099028563,0.5213861099028563
25,np.float64(0.5465271317829458),np.float64(0.08214975823139904),0.5445121067130636,0.5445121067130637
26,np.float64(0.5034806201550388),np.float64(0.10441604481131056),0.5105843120197188,0.5105843120197187
27,np.float64(0.536984496124031),np.float64(0.08321238166710876),0.541394809337393,0.5413948093373931
28,np.float64(0.5045503875968993),np.float64(0.09373829065749224),0.514136581122227,0.514136581122227
29,np.float64(0.5206434108527132),np.float64(0.08272061604274035),0.527983181093229,0.527983181093229
30,np.float64(0.5112248062015504),np.float64(0.10286181026063827),0.5179063360881543,0.5179063360881543
31,np.float64(0.4774883720930233),np.float64(0.0766755287594042),0.48158619689720167,0.48158619689720167
