layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6602558139534883),np.float64(0.06250361013550464),0.6642018268812527,0.6642018268812527
1,np.float64(0.6592403100775194),np.float64(0.04909762364960218),0.6686240394374365,0.6686240394374365
2,np.float64(0.6435426356589147),np.float64(0.05584809248782964),0.654849934754241,0.6548499347542409
3,np.float64(0.6366356589147287),np.float64(0.05301232604156318),0.6302740321879078,0.6302740321879077
4,np.float64(0.6353333333333333),np.float64(0.045948886409246804),0.637523560968537,0.637523560968537
5,np.float64(0.6685658914728683),np.float64(0.03864600381618879),0.6602870813397129,0.6602870813397129
6,np.float64(0.6374108527131782),np.float64(0.0520833058950712),0.6423807452515586,0.6423807452515587
7,np.float64(0.6025813953488371),np.float64(0.05037749212930697),0.6070755400898942,0.6070755400898941
8,np.float64(0.632015503875969),np.float64(0.051984076505056126),0.6259243149195303,0.6259243149195302
9,np.float64(0.6356666666666667),np.float64(0.07380960602272238),0.6244744091634044,0.6244744091634044
10,np.float64(0.6394496124031008),np.float64(0.05776685931790475),0.6394084384515006,0.6394084384515005
11,np.float64(0.603015503875969),np.float64(0.04625236786978245),0.5960562563433377,0.5960562563433377
12,np.float64(0.6102558139534884),np.float64(0.055243758418304915),0.6028708133971292,0.6028708133971292
13,np.float64(0.6119224806201551),np.float64(0.07597478857811463),0.6034507756995795,0.6034507756995796
14,np.float64(0.6026279069767442),np.float64(0.08213802340285731),0.59366391184573,0.5936639118457301
15,np.float64(0.5850232558139534),np.float64(0.058020004258678155),0.5857619254748442,0.5857619254748441
16,np.float64(0.5710387596899225),np.float64(0.03475834834800148),0.5716978396404234,0.5716978396404233
17,np.float64(0.5750387596899225),np.float64(0.037795734110824535),0.5732927359721618,0.5732927359721618
18,np.float64(0.571984496124031),np.float64(0.04737585594433886),0.5722778019428737,0.5722778019428737
19,np.float64(0.5356821705426358),np.float64(0.056609010000355606),0.5313179643323184,0.5313179643323184
20,np.float64(0.5426279069767441),np.float64(0.09400969997016405),0.5366101203421778,0.5366101203421777
21,np.float64(0.5512325581395349),np.float64(0.06914529840364163),0.5393649412788168,0.5393649412788168
22,np.float64(0.5395891472868217),np.float64(0.06674373407368417),0.5242134261273017,0.5242134261273017
23,np.float64(0.5353488372093023),np.float64(0.07799722876006009),0.5387849789763666,0.5387849789763666
24,np.float64(0.5249612403100775),np.float64(0.07975934297183371),0.5209511381760186,0.5209511381760186
25,np.float64(0.5461937984496124),np.float64(0.08337930010401977),0.5440046396984196,0.5440046396984197
26,np.float64(0.5038139534883721),np.float64(0.10398050565445659),0.5109467884587502,0.5109467884587502
27,np.float64(0.5363178294573643),np.float64(0.08514435932793823),0.5412498187617805,0.5412498187617805
28,np.float64(0.5038837209302326),np.float64(0.09382750655067892),0.5147165434246774,0.5147165434246774
29,np.float64(0.521031007751938),np.float64(0.08238164925300907),0.5282731622444541,0.5282731622444541
30,np.float64(0.5116124031007752),np.float64(0.10277858558078692),0.517833840800348,0.517833840800348
31,np.float64(0.4767674418604651),np.float64(0.07581194651835385),0.48129621574597653,0.4812962157459765
