layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.8504157960020331),np.float64(0.07741890744797285),0.8361135302918649,0.836113530291865
1,np.float64(0.8627337879834741),np.float64(0.0768144303955059),0.8506038027040238,0.8506038027040239
2,np.float64(0.8789632161747901),np.float64(0.08074025789326723),0.8689411928173904,0.8689411928173904
3,np.float64(0.8776963802756603),np.float64(0.07109013650081017),0.8649762175922825,0.8649762175922826
4,np.float64(0.8932878779573112),np.float64(0.07005532512431409),0.8839128201692682,0.8839128201692683
5,np.float64(0.8930109347452356),np.float64(0.07250367518279202),0.8827317637192361,0.882731763719236
6,np.float64(0.8999293649298995),np.float64(0.07265173470513697),0.8891196415146304,0.8891196415146303
7,np.float64(0.9008244637784433),np.float64(0.07128422224117402),0.8873753501609065,0.8873753501609065
8,np.float64(0.9091167551011174),np.float64(0.06930893048436416),0.8967754181460887,0.8967754181460887
9,np.float64(0.9133801399826753),np.float64(0.06658449315498598),0.9033741988789888,0.903374198878989
10,np.float64(0.9228430703872581),np.float64(0.07043908078903079),0.9143163395189924,0.9143163395189924
11,np.float64(0.9194663805412461),np.float64(0.05825433304848385),0.9118959181597354,0.9118959181597354
12,np.float64(0.9190246129423502),np.float64(0.05426418799706937),0.9115249771108282,0.9115249771108282
13,np.float64(0.923843715651272),np.float64(0.05359437520975112),0.9170667619451702,0.9170667619451702
14,np.float64(0.9185618077678267),np.float64(0.04785836221172028),0.9112681717692771,0.9112681717692772
15,np.float64(0.9288949794158491),np.float64(0.047055719181891206),0.9247758846137623,0.9247758846137624
16,np.float64(0.9260559509441031),np.float64(0.04173795680146041),0.9231705410776891,0.9231705410776893
17,np.float64(0.9308022595149602),np.float64(0.04162106798450198),0.9271342756972824,0.9271342756972824
18,np.float64(0.9305319364833327),np.float64(0.04206077360221213),0.9282917606425344,0.9282917606425345
19,np.float64(0.9325821833565403),np.float64(0.038382113398199885),0.931390793218354,0.9313907932183538
20,np.float64(0.9320869483156715),np.float64(0.03665696329230308),0.9314962446871069,0.9314962446871069
21,np.float64(0.930993491769517),np.float64(0.03133818525584159),0.9320048929481501,0.9320048929481501
22,np.float64(0.9312707071472024),np.float64(0.03399082619233801),0.933187190003697,0.9331871900036971
23,np.float64(0.9294625400242849),np.float64(0.029808263096040347),0.930547181468331,0.930547181468331
24,np.float64(0.9317245107123442),np.float64(0.03510957667771935),0.9340680199191621,0.9340680199191621
25,np.float64(0.9310814705534092),np.float64(0.033483648990240394),0.9343149004165954,0.9343149004165954
26,np.float64(0.923953263792406),np.float64(0.03601101355263971),0.9271020199538991,0.9271020199538991
27,np.float64(0.9305916364169002),np.float64(0.03315495972868792),0.9308833855628255,0.9308833855628255
28,np.float64(0.9234550232074412),np.float64(0.03577931010193549),0.9251753595895085,0.9251753595895085
29,np.float64(0.923152544555163),np.float64(0.03594874784404463),0.9247882906689097,0.9247882906689098
30,np.float64(0.9252058784291292),np.float64(0.038283721680573694),0.9269519066866156,0.9269519066866156
31,np.float64(0.9184658048654575),np.float64(0.03508182242214685),0.9200764709239285,0.9200764709239286
