layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.5),np.float64(0.0),0.5,0.5
1,np.float64(0.7747334314652357),np.float64(0.028791738796939616),0.7692754746222394,0.7692754746222394
2,np.float64(0.7704800678157515),np.float64(0.01573507813769364),0.7623789228981015,0.7623789228981014
3,np.float64(0.8001207852952769),np.float64(0.03476009298717312),0.7848411468423092,0.7848411468423092
4,np.float64(0.8051828015417438),np.float64(0.03361651066294387),0.7918926772568772,0.7918926772568771
5,np.float64(0.7913956753019267),np.float64(0.03207561695350863),0.778283611003487,0.7782836110034871
6,np.float64(0.7738946471156899),np.float64(0.03320349806592499),0.7604416892677257,0.7604416892677257
7,np.float64(0.7655223335387581),np.float64(0.01911393650104759),0.7560538550949244,0.7560538550949244
8,np.float64(0.776313957704559),np.float64(0.031579919231801985),0.7638802789616428,0.7638802789616428
9,np.float64(0.7587258970630464),np.float64(0.02573302659291502),0.7464161177838047,0.7464161177838047
10,np.float64(0.7694705552772094),np.float64(0.03353088192051703),0.7553273924835335,0.7553273924835335
11,np.float64(0.7563610441599137),np.float64(0.029255608992305667),0.7372142580395196,0.7372142580395195
12,np.float64(0.7613233948907594),np.float64(0.02909772160099251),0.7448760170476559,0.7448760170476559
13,np.float64(0.7651407924775535),np.float64(0.0349501104849732),0.7490313831848121,0.7490313831848121
14,np.float64(0.7590279916259104),np.float64(0.04454193238136833),0.737659821774506,0.737659821774506
15,np.float64(0.7635559365570876),np.float64(0.049327061493247955),0.7456799690042619,0.7456799690042619
16,np.float64(0.7842169416201245),np.float64(0.04087242329367996),0.7666117783804727,0.7666117783804727
17,np.float64(0.7812434393290244),np.float64(0.046193181950311184),0.7686361875242155,0.7686361875242154
18,np.float64(0.7953116305894532),np.float64(0.05024702416865334),0.7822452537776056,0.7822452537776057
19,np.float64(0.7813215954822894),np.float64(0.059189570245743284),0.7687330492057343,0.7687330492057343
20,np.float64(0.8026527880063741),np.float64(0.05126012912016648),0.7880278961642774,0.7880278961642775
21,np.float64(0.8030902971139),np.float64(0.048327520286306845),0.7889674544750097,0.7889674544750096
22,np.float64(0.8047523757145185),np.float64(0.05629652864695735),0.7877082526152654,0.7877082526152653
23,np.float64(0.7949975659427402),np.float64(0.04676440545252105),0.7759976753196436,0.7759976753196435
24,np.float64(0.7802964897000357),np.float64(0.04253571827194555),0.7614684230918248,0.7614684230918248
25,np.float64(0.7831661167159759),np.float64(0.03755193127767174),0.7676675707090275,0.7676675707090276
26,np.float64(0.7948988742212932),np.float64(0.0326207997598642),0.7806373498643936,0.7806373498643937
27,np.float64(0.8106487177533962),np.float64(0.024870513122530292),0.7954087562960093,0.7954087562960094
28,np.float64(0.7974919484570147),np.float64(0.032528774329935624),0.784938008523828,0.784938008523828
