layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6594146131848367),np.float64(0.03659473324892061),0.6386834855734377,0.6386834855734377
1,np.float64(0.646514663846937),np.float64(0.02572801535215894),0.6309264897781645,0.6309264897781645
2,np.float64(0.6163401868667492),np.float64(0.05795491964240059),0.5974336668116572,0.5974336668116572
3,np.float64(0.5985383127387943),np.float64(0.027499003810174668),0.5854719443236189,0.585471944323619
4,np.float64(0.5932256604967916),np.float64(0.025704230621953785),0.5845295055821371,0.5845295055821371
5,np.float64(0.6428294076449994),np.float64(0.03270562281733704),0.6357836740611861,0.6357836740611861
6,np.float64(0.5951821141073956),np.float64(0.016774096044205714),0.5950413223140496,0.5950413223140496
7,np.float64(0.5940282611961192),np.float64(0.025580997237019922),0.592431491953023,0.592431491953023
8,np.float64(0.6126017482391879),np.float64(0.032835395738670364),0.6023633463824851,0.6023633463824852
9,np.float64(0.5774640086169722),np.float64(0.04617085497754314),0.5725677830940988,0.572567783094099
10,np.float64(0.6051383451983436),np.float64(0.047126346310763435),0.5955487893286936,0.5955487893286936
11,np.float64(0.5567337564011198),np.float64(0.045819547969641945),0.5375525590836595,0.5375525590836596
12,np.float64(0.5632091300185217),np.float64(0.05498045567082325),0.5447295925764826,0.5447295925764827
13,np.float64(0.5859398718508176),np.float64(0.04541764361351517),0.5680005799623025,0.5680005799623025
14,np.float64(0.5767246396493302),np.float64(0.05530441286948278),0.5601710888792228,0.560171088879223
15,np.float64(0.5671122637684556),np.float64(0.04757040368884861),0.5585761925474844,0.5585761925474845
16,np.float64(0.5557865946404348),np.float64(0.08315094121769553),0.5379875308104973,0.5379875308104973
17,np.float64(0.5725672279154413),np.float64(0.06734293262888037),0.5513991590546614,0.5513991590546615
18,np.float64(0.5379117287619192),np.float64(0.07101160337020453),0.5192837465564738,0.5192837465564738
19,np.float64(0.5043995772257424),np.float64(0.06607454239313768),0.5008699434536755,0.5008699434536755
20,np.float64(0.5008942992234278),np.float64(0.081146410254467),0.5004349717268377,0.5004349717268377
21,np.float64(0.5236293200095241),np.float64(0.06836642321543582),0.5147890387124837,0.5147890387124837
22,np.float64(0.4921267181597133),np.float64(0.07248016449805986),0.4989125706829056,0.4989125706829056
23,np.float64(0.501389237121219),np.float64(0.05502791997116256),0.4939828911120777,0.4939828911120777
24,np.float64(0.4867953688395944),np.float64(0.07169879622595365),0.4773814702044367,0.4773814702044367
25,np.float64(0.5176383072498517),np.float64(0.06402792635226891),0.5115992460490069,0.5115992460490069
26,np.float64(0.4983176941128934),np.float64(0.08031062247565478),0.48426852254603453,0.48426852254603453
27,np.float64(0.49824600924477264),np.float64(0.06645526903045947),0.48687835290706105,0.48687835290706105
28,np.float64(0.4635558514380544),np.float64(0.07604774384759294),0.46839205451645644,0.46839205451645644
29,np.float64(0.4603637404501734),np.float64(0.08046584546784882),0.4562128461649993,0.4562128461649992
30,np.float64(0.4574383019539692),np.float64(0.09081690041327363),0.45367551109177906,0.453675511091779
31,np.float64(0.4005286473690638),np.float64(0.08228952627121436),0.39372190807597507,0.39372190807597507
