layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6599224806201549),np.float64(0.06360105380281869),0.6639118457300276,0.6639118457300276
1,np.float64(0.6592403100775194),np.float64(0.04909762364960218),0.6686965347252428,0.6686965347252429
2,np.float64(0.6435426356589147),np.float64(0.05584809248782964),0.654849934754241,0.6548499347542409
3,np.float64(0.6363023255813953),np.float64(0.05313146626217874),0.6304190227635204,0.6304190227635205
4,np.float64(0.6345581395348837),np.float64(0.04821851614224976),0.637523560968537,0.6375235609685371
5,np.float64(0.6685658914728683),np.float64(0.03864600381618879),0.6601420907641004,0.6601420907641004
6,np.float64(0.6374108527131782),np.float64(0.0520833058950712),0.6425257358271712,0.6425257358271712
7,np.float64(0.6026356589147286),np.float64(0.05107161831883207),0.6074380165289256,0.6074380165289257
8,np.float64(0.6316821705426356),np.float64(0.052331412824641606),0.6257068290561113,0.6257068290561113
9,np.float64(0.6356666666666666),np.float64(0.07402005844594158),0.6246918950268232,0.6246918950268232
10,np.float64(0.639062015503876),np.float64(0.058198979429696644),0.6395534290271132,0.6395534290271132
11,np.float64(0.6022945736434109),np.float64(0.046042585900046916),0.5960562563433377,0.5960562563433377
12,np.float64(0.6105891472868217),np.float64(0.05489314945509987),0.6027983181093229,0.6027983181093228
13,np.float64(0.6115348837209302),np.float64(0.07554002286459645),0.6032332898361606,0.6032332898361606
14,np.float64(0.6029612403100775),np.float64(0.08208269986550458),0.5937364071335364,0.5937364071335364
15,np.float64(0.5850232558139534),np.float64(0.058020004258678155),0.5857619254748442,0.5857619254748441
16,np.float64(0.5706511627906975),np.float64(0.03417110538514365),0.5714803537770045,0.5714803537770046
17,np.float64(0.5750387596899225),np.float64(0.037795734110824535),0.5732927359721618,0.5732927359721618
18,np.float64(0.571984496124031),np.float64(0.04737585594433886),0.5722778019428737,0.5722778019428738
19,np.float64(0.5356821705426358),np.float64(0.056609010000355606),0.5313904596201247,0.5313904596201247
20,np.float64(0.5426279069767441),np.float64(0.09400969997016405),0.5365376250543714,0.5365376250543715
21,np.float64(0.5512325581395349),np.float64(0.06914529840364163),0.5392924459910106,0.5392924459910106
22,np.float64(0.5395891472868217),np.float64(0.06674373407368417),0.5242134261273017,0.5242134261273017
23,np.float64(0.5353488372093023),np.float64(0.07799722876006009),0.5387849789763666,0.5387849789763666
24,np.float64(0.5257364341085271),np.float64(0.08117674594788421),0.52131361461505,0.52131361461505
25,np.float64(0.5465271317829458),np.float64(0.08343048096191491),0.5441496302740322,0.5441496302740323
26,np.float64(0.5034263565891473),np.float64(0.10406259585816306),0.5108017978831376,0.5108017978831376
27,np.float64(0.53515503875969),np.float64(0.0829440918477837),0.5411048281861679,0.5411048281861679
28,np.float64(0.5042170542635659),np.float64(0.09359671560244091),0.5139915905466145,0.5139915905466145
29,np.float64(0.521031007751938),np.float64(0.08238164925300907),0.5283456575322604,0.5283456575322605
30,np.float64(0.5105581395348837),np.float64(0.10301330322141168),0.5175438596491229,0.5175438596491229
31,np.float64(0.4767674418604651),np.float64(0.07581194651835385),0.48129621574597653,0.4812962157459765
