layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6884942294320092),np.float64(0.05292545198353032),0.684056567222007,0.6840565672220069
1,np.float64(0.6754963701746849),np.float64(0.03878767188329504),0.6721425803951957,0.6721425803951957
2,np.float64(0.6588269724006036),np.float64(0.048437010636156144),0.651840371948857,0.651840371948857
3,np.float64(0.6714072365435634),np.float64(0.04734563866279285),0.6646067415730337,0.6646067415730337
4,np.float64(0.6817200198495518),np.float64(0.047472327473866864),0.6737892289810151,0.6737892289810151
5,np.float64(0.69887671154579),np.float64(0.05884224911281306),0.6855676094537001,0.6855676094537
6,np.float64(0.6973285760647553),np.float64(0.05337515975481382),0.6897326617590082,0.6897326617590083
7,np.float64(0.7195818664541209),np.float64(0.0332238598715701),0.7175707090275087,0.7175707090275089
8,np.float64(0.7311830029547611),np.float64(0.039919676992493984),0.731886865555986,0.731886865555986
9,np.float64(0.714853825716152),np.float64(0.04668831736473563),0.713463773731112,0.713463773731112
10,np.float64(0.7357507131597265),np.float64(0.049205621806438046),0.7391127469972879,0.739112746997288
11,np.float64(0.7280493494962679),np.float64(0.048670668576799546),0.7252615265401008,0.7252615265401008
12,np.float64(0.7287625677784922),np.float64(0.054998615614967286),0.7166020922123209,0.7166020922123207
13,np.float64(0.7463199051709062),np.float64(0.05048521231189836),0.7400038744672608,0.7400038744672608
14,np.float64(0.7327220148564297),np.float64(0.06196386932748712),0.73221619527315,0.7322161952731499
15,np.float64(0.7644928852336014),np.float64(0.05164857528148657),0.7580201472297559,0.7580201472297559
16,np.float64(0.776143820693137),np.float64(0.05748876468194213),0.7674932196822937,0.7674932196822936
17,np.float64(0.7716670334523064),np.float64(0.05652432322789987),0.7626113909337466,0.7626113909337466
18,np.float64(0.7731178118185718),np.float64(0.05020113820742853),0.7614490507555212,0.7614490507555212
19,np.float64(0.7867248060144615),np.float64(0.062379902724268854),0.7763463773731112,0.7763463773731112
20,np.float64(0.7776071360578383),np.float64(0.04448782751403729),0.7681325067803177,0.7681325067803176
21,np.float64(0.8048842599765104),np.float64(0.04117371906534871),0.7965129794653235,0.7965129794653234
22,np.float64(0.8069611870074558),np.float64(0.04332332116077226),0.7966292134831461,0.7966292134831461
23,np.float64(0.8141740721222233),np.float64(0.04921021100389611),0.8034095311894615,0.8034095311894615
24,np.float64(0.8034790883420065),np.float64(0.04735774138324646),0.7950794265788454,0.7950794265788454
25,np.float64(0.8064489321091604),np.float64(0.03486688322117108),0.7958736923672995,0.7958736923672995
26,np.float64(0.8077847677194887),np.float64(0.017955970464137584),0.7990895001937234,0.7990895001937233
27,np.float64(0.8193281458332295),np.float64(0.02492467514602699),0.8081557535838823,0.8081557535838821
28,np.float64(0.8056754337219252),np.float64(0.023464844408619893),0.7924447888415342,0.7924447888415344
29,np.float64(0.8015499212020035),np.float64(0.034546824418870976),0.7886478109259977,0.7886478109259977
30,np.float64(0.806449617007264),np.float64(0.03660524596567865),0.7947307245253777,0.7947307245253779
31,np.float64(0.8068281017880441),np.float64(0.02731607172362661),0.790546299883766,0.790546299883766
