part,task,id,value,lo,hi,role,twin_value,twin_file,twin_loc,ci_twinned,ci_how,keyed,twin_key,ctx_overlap,score,twin_text,twin_lo,twin_hi,dis_value,dis_file,dis_loc,dis_pair,dis_overlap,dis_text
16,EDAICFULL,edaic_full_zeroshot_answer,0.8278,0.7703,0.8822,PAPER VALUE,0.8277511961722488,<local data dir>/release/edaic_rerun/part17/verify/T7_verify.json,/cells/answer_p_yes,yes,,False,point_mw,1,21,"{""point_mw"": 0.8277511961722488, ""point_trap"": 0.8277511961722489, ""lo"": 0.7702680190413039, ""hi"": 0.882162099811676, ""lo_trap"": 0.7702680190413039, ""hi_trap"": 0.8821620998116761, ""usable"": 2000, ""per_vec_mw"": [0.8277511961722488]}",0.7703,0.8822,,,,,,
16,EDAICFULL,edaic_full_probe_enc,0.5916,0.511,0.6706,SUPERSEDED / NOT USED,0.5916340437871538,<local data dir>/release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_enc_aucofmean,yes,,False,point_mw,2,22,"{""point_mw"": 0.5916340437871538, ""point_trap"": 0.5916340437871538, ""lo"": 0.5109791833293627, ""hi"": 0.6706340171833783, ""lo_trap"": 0.5109791833293627, ""hi_trap"": 0.6706340171833782, ""usable"": 2000, ""per_vec_mw"": [0.5916340437871538], ""diff_point"": -0.236117152385095, ""dlo"": -0.3272297641882839, ""dhi"": -0.1394064326205433, ""dlo_trap"": -0.3272297641882839, ""dhi_trap"": -0.1394064326205433, ""excl0"": ""y",0.511,0.6706,,,,,,
16,EDAICFULL,edaic_full_probe_proj,0.5631,0.479,0.6478,SUPERSEDED / NOT USED,0.5631433956792808,<local data dir>/release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_proj_aucofmean,yes,,False,point_mw,2,22,"{""point_mw"": 0.5631433956792808, ""point_trap"": 0.5631433956792808, ""lo"": 0.47900542159180204, ""hi"": 0.6477522437021072, ""lo_trap"": 0.47900542159180204, ""hi_trap"": 0.647752243702107, ""usable"": 2000, ""per_vec_mw"": [0.5631433956792808], ""diff_point"": -0.26460780049296795, ""dlo"": -0.3574951914916294, ""dhi"": -0.16665702479338845, ""dlo_trap"": -0.3574951914916295, ""dhi_trap"": -0.16665702479338856, ""excl0",0.479,0.6478,,,,,,
16,EDAICFULL,edaic_full_probe_llm,0.7088,0.6232,0.7874,SUPERSEDED / NOT USED,0.7087864288821226,<local data dir>/release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_llm_aucofmean,yes,,False,point_mw,2,22,"{""point_mw"": 0.7087864288821226, ""point_trap"": 0.7087864288821226, ""lo"": 0.6231553623188406, ""hi"": 0.7874003305509396, ""lo_trap"": 0.6231553623188407, ""hi_trap"": 0.7874003305509395, ""usable"": 2000, ""per_vec_mw"": [0.7087864288821226], ""diff_point"": -0.11896476729012617, ""dlo"": -0.19953252006799707, ""dhi"": -0.04783753344227048, ""dlo_trap"": -0.19953252006799707, ""dhi_trap"": -0.04783753344227037, ""excl",0.6232,0.7874,,,,,,
16,EDAICFULL,edaic_full_probe_ans,0.7748,0.7041,0.8387,SUPERSEDED / NOT USED,0.7747571407858489,<local data dir>/release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_ans_aucofmean,yes,,False,point_mw,2,22,"{""point_mw"": 0.7747571407858489, ""point_trap"": 0.7747571407858489, ""lo"": 0.7040940169374482, ""hi"": 0.8387201797002031, ""lo_trap"": 0.7040940169374482, ""hi_trap"": 0.838720179700203, ""usable"": 2000, ""per_vec_mw"": [0.7747571407858489], ""diff_point"": -0.052994055386399896, ""dlo"": -0.10456156339924325, ""dhi"": -0.00486164088729681, ""dlo_trap"": -0.10456156339924313, ""dhi_trap"": -0.004861640887296916, ""exc",0.7041,0.8387,,,,,,
16,EDAICFULL,edaic_full_gap_llm_minus_answer,-0.119,-0.1995,-0.0478,SUPERSEDED / NOT USED,-0.119,<local data dir>/release/edaic_rerun/part17/verify/T4_verify.log,line 16,yes,,False,log,3,23,"E-DAIC LM minus answer -0.1190 CI (np.float64(-0.1995), np.float64(-0.0478)) (claimed -0.1190 [-0.1995, -0.0478]) B=2000",-0.1995,-0.0478,,,,,,
16,EDAICFULL,edaic_full_gap_enc_minus_answer,-0.2361,-0.3272,-0.1394,SUPERSEDED / NOT USED,-0.2361,<local data dir>/release/edaic_rerun/part17/verify/T4_verify.log,line 17,yes,,False,log,3,23,"E-DAIC enc minus answer -0.2361 CI (np.float64(-0.3272), np.float64(-0.1394)) (claimed -0.2361 [-0.3272, -0.1394]) B=2000",-0.3272,-0.1394,,,,,,
16,EDAICFULL,edaic_full_gap_ans_minus_answer,-0.053,-0.1046,-0.0049,SUPERSEDED / NOT USED,-0.052994055386399896,<local data dir>/release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_ans_avgprob_vs_answer_NOTUSED,yes,,False,diff_point_mw,2,22,"{""point_mw"": 0.7747571407858489, ""point_trap"": 0.7747571407858489, ""usable_mw"": 2000, ""skipped_mw"": 0, ""lo_mw"": 0.7040940169374482, ""hi_mw"": 0.8387201797002031, ""dlo_mw"": -0.10456156339924325, ""dhi_mw"": -0.00486164088729681, ""usable_trap"": 2000, ""skipped_trap"": 0, ""lo_trap"": 0.7040940169374482, ""hi_trap"": 0.838720179700203, ""dlo_trap"": -0.10456156339924313, ""dhi_trap"": -0.004861640887296916, ""diff",-0.1046,-0.0049,,,,,,
16,EDAICFULL,edaic_full_gap_proj_minus_answer,-0.2646,-0.3575,-0.1667,SUPERSEDED / NOT USED,-0.26460780049296795,<local data dir>/release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_proj_avgprob_vs_answer_NOTUSED,yes,,False,diff_point_mw,2,22,"{""point_mw"": 0.5631433956792808, ""point_trap"": 0.5631433956792808, ""usable_mw"": 2000, ""skipped_mw"": 0, ""lo_mw"": 0.47900542159180204, ""hi_mw"": 0.6477522437021072, ""dlo_mw"": -0.3574951914916294, ""dhi_mw"": -0.16665702479338845, ""usable_trap"": 2000, ""skipped_trap"": 0, ""lo_trap"": 0.47900542159180204, ""hi_trap"": 0.647752243702107, ""dlo_trap"": -0.3574951914916295, ""dhi_trap"": -0.16665702479338856, ""diff_",-0.3575,-0.1667,,,,,,
16,EDAICFULL,edaic_first30_zeroshot_answer,0.662,0.5831,0.7315,RELEASED ONLY,0.662026968247064,<local data dir>/release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_answer,yes,,False,value,1,21,"{""value"": 0.662026968247064, ""lo"": 0.5831034055337068, ""hi"": 0.7314586558773856, ""usable"": 2000, ""total"": 2000, ""n"": 275}",0.5831,0.7315,,,,,,
