stage,auc_mean,auc_std,auc_oof,ref_auc_mean,ref_auc_oof
0,0.5,0.0,0.5,0.5,0.5
1,0.6075891472868218,0.05022246285771199,0.6056256343337683,0.6144031007751938,0.6088154269972451
2,0.6064418604651163,0.08170688406095623,0.6030882992605481,0.6109922480620155,0.6046107003044803
3,0.617077519379845,0.1073106842665489,0.6033057851239669,0.6153100775193799,0.5986660867043642
4,0.6001782945736434,0.10394796648705862,0.5884442511236769,0.5944651162790697,0.5792373495722779
5,0.5553953488372093,0.07545600172698522,0.5570537915035523,0.550674418604651,0.5583587066840655
6,0.5995193798449612,0.08272562840847562,0.5946063505872118,0.6048992248062015,0.5984486008409454
7,0.6085503875968993,0.05679694036080552,0.6046107003044802,0.6033410852713178,0.6051906626069306
8,0.6053100775193798,0.08725740619914374,0.6045382050166739,0.6176744186046512,0.6099028563143396
9,0.6607054263565892,0.08425864644076622,0.6525300855444396,0.664860465116279,0.6558648687835291
10,0.6129457364341085,0.07251305496554586,0.6178048426852255,0.6146821705426356,0.620414673046252
11,0.6093023255813954,0.07834574657407783,0.6107727997680151,0.6170852713178295,0.6152675076120052
12,0.6142093023255815,0.08976765473726617,0.6178773379730318,0.6169922480620156,0.6169348992315499
13,0.6618682170542636,0.08527637899004055,0.6477453965492243,0.6557829457364341,0.6436131651442656
14,0.6711317829457364,0.08236883854569997,0.6674641148325359,0.6677674418604651,0.665506742061766
15,0.7235968992248062,0.07990909744413133,0.7178483398579092,0.7247596899224805,0.7174858634188778
16,0.7634496124031008,0.07026580830730052,0.7555458895171814,0.7571317829457365,0.7530810497317674
17,0.7765193798449612,0.0749844380225401,0.7709148905321154,0.7711472868217053,0.7657677250978687
18,0.7974341085271318,0.06931158740115555,0.7870813397129187,0.7894496124031007,0.7807017543859649
19,0.7817131782945737,0.08556660781130335,0.7755545889517181,0.7762713178294574,0.7731622444541105
20,0.7661472868217054,0.08057054824435768,0.7650427722198058,0.770968992248062,0.7677250978686385
21,0.7541162790697674,0.06990626326654567,0.7547484413513121,0.7493488372093022,0.7530085544439613
22,0.7499689922480619,0.07904493606140817,0.7559083659562128,0.7516899224806202,0.7572132811367261
23,0.7672790697674419,0.0755771352407038,0.7676526025808322,0.7701627906976745,0.7696824706394084
24,0.7560155038759689,0.07331850973635334,0.7551109177903437,0.7565736434108528,0.7552559083659562
25,0.7649069767441861,0.07580068208692756,0.7649702769319994,0.7658992248062015,0.7617079889807163
26,0.7837441860465115,0.07913521990786399,0.7828766130201537,0.7826899224806201,0.7814629549079309
27,0.791984496124031,0.04338480253822267,0.7903436276642019,0.7906511627906976,0.7890387124836886
28,0.7926201550387597,0.04703134443041957,0.7901986370885893,0.7911860465116278,0.792880962737422
