seg_uid,set,pair_id,speaker_id,start,end,span,speech_s,nw,n_turns,db_p_pos,db_p_neg,db_clearly_positive,db_clearly_negative
c000001,conflict,0,300,104.2,151.1,46.89999999999999,16.900000000000034,43,7,0.08121683448553085,0.9187831655144691,0,1
c000004,conflict,1,300,316.7,359.7,43.0,17.099999999999966,45,7,0.03102540597319603,0.968974594026804,0,1
c000006,conflict,2,300,418.5,511.5,93.0,11.099999999999966,26,13,0.024210257455706596,0.9757897425442934,0,1
c000007,conflict,3,300,525.1,581.7,56.60000000000002,12.300000000000068,28,8,0.14164410531520844,0.8583558946847916,0,1
c000010,conflict,4,301,95.3,122.5,27.200000000000003,18.700000000000017,40,4,0.07972539216279984,0.9202746078372002,0,1
c000011,conflict,5,301,126.5,154.5,28.0,19.90000000000001,55,3,0.027621246874332428,0.9723787531256676,0,1
c000012,conflict,6,301,161.3,181.0,19.69999999999999,17.099999999999994,46,2,0.013318602927029133,0.9866813970729709,0,1
c000013,conflict,7,301,188.8,206.1,17.299999999999983,17.299999999999983,60,1,0.13709890842437744,0.8629010915756226,0,1
c000015,conflict,8,301,241.8,278.5,36.69999999999999,20.09999999999997,42,4,0.0002974084054585546,0.9997025915945414,0,1
c000016,conflict,9,301,287.0,312.1,25.100000000000023,25.100000000000023,79,1,0.001015692250803113,0.9989843077491969,0,1
c000017,conflict,10,301,322.5,334.2,11.699999999999989,11.699999999999989,36,1,0.16126659512519836,0.8387334048748016,0,1
c000020,conflict,11,301,410.8,443.0,32.19999999999999,30.299999999999955,90,2,0.0006796148954890668,0.9993203851045109,0,1
c000021,conflict,12,301,451.8,495.1,43.30000000000001,37.099999999999966,104,3,0.001937743742018938,0.9980622562579811,0,1
c000022,conflict,13,301,503.1,540.1,37.0,22.200000000000045,56,4,0.0070825256407260895,0.9929174743592739,0,1
c000023,conflict,14,301,541.1,559.8,18.699999999999932,18.699999999999932,58,1,0.03764866292476654,0.9623513370752335,0,1
c000024,conflict,15,301,563.8,595.3,31.5,27.200000000000045,83,3,0.004239891655743122,0.9957601083442569,0,1
c000025,conflict,16,301,596.3,631.7,35.40000000000009,32.100000000000136,103,2,0.0038330170791596174,0.9961669829208404,0,1
c000028,conflict,17,301,689.3,705.0,15.700000000000045,10.300000000000068,36,3,0.006803824566304684,0.9931961754336953,0,1
c000035,conflict,18,302,192.8,219.0,26.19999999999999,8.400000000000006,28,4,0.012188528664410114,0.9878114713355899,0,1
c000039,conflict,19,302,345.5,394.7,49.19999999999999,13.299999999999956,42,6,0.0021114833652973175,0.9978885166347027,0,1
c000040,conflict,20,302,396.1,429.7,33.599999999999966,11.999999999999886,33,6,0.003349004779011011,0.996650995220989,0,1
c000056,conflict,21,303,368.9,410.3,41.400000000000034,34.00000000000006,89,3,0.04164176806807518,0.9583582319319248,0,1
c000058,conflict,22,303,512.0,544.9,32.89999999999998,19.500000000000114,56,5,0.1739557981491089,0.8260442018508911,0,1
c000061,conflict,23,303,609.0,648.2,39.200000000000045,25.0,68,4,0.007402569521218538,0.9925974304787815,0,1
c000062,conflict,24,303,649.3,665.5,16.200000000000045,11.5,41,3,0.0074846395291388035,0.9925153604708612,0,1
c000063,conflict,25,303,666.5,719.1,52.60000000000002,44.89999999999998,152,4,0.004833569284528494,0.9951664307154715,0,1
c000064,conflict,26,303,723.6,740.3,16.699999999999932,16.699999999999932,65,1,0.0015661490615457296,0.9984338509384543,0,1
c000067,conflict,27,303,800.4,811.8,11.399999999999977,11.399999999999975,42,1,0.0209987573325634,0.9790012426674366,0,1
c000068,conflict,28,303,822.6,845.3,22.699999999999932,9.099999999999907,35,5,0.006559798028320074,0.9934402019716799,0,1
c000143,conflict,29,306,78.0,134.9,56.900000000000006,21.799999999999997,55,3,0.04210648685693741,0.9578935131430626,0,1
c000144,conflict,30,306,155.5,232.6,77.1,15.5,40,4,0.010693364776670933,0.9893066352233291,0,1
c000146,conflict,31,306,487.7,551.9,64.19999999999999,19.100000000000023,57,2,0.012948465533554554,0.9870515344664454,0,1
c000148,conflict,32,306,578.4,597.3,18.899999999999977,15.799999999999956,56,2,0.04945285618305206,0.9505471438169479,0,1
c000149,conflict,33,306,598.8,620.8,22.0,22.0,64,1,0.002134797628968954,0.997865202371031,0,1
c000157,conflict,34,307,125.9,150.4,24.5,15.200000000000015,46,2,0.002280079061165452,0.9977199209388345,0,1
c000158,conflict,35,307,152.0,167.0,15.0,15.0,43,1,0.0012875961838290095,0.998712403816171,0,1
c000159,conflict,36,307,168.5,203.6,35.099999999999994,24.59999999999999,68,3,0.16045214235782623,0.8395478576421738,0,1
c000161,conflict,37,307,284.0,341.2,57.19999999999999,26.09999999999997,43,4,0.008319126442074776,0.9916808735579252,0,1
c000162,conflict,38,307,345.3,363.3,18.0,18.0,29,1,0.0239651370793581,0.9760348629206419,0,1
c000163,conflict,39,307,402.0,454.1,52.10000000000002,31.200000000000045,97,6,0.0018337378278374672,0.9981662621721625,0,1
c000165,conflict,40,307,469.2,500.2,31.0,31.0,91,1,0.11789527535438538,0.8821047246456146,0,1
c000170,conflict,41,307,709.5,730.1,20.600000000000023,18.799999999999955,49,2,0.003977864049375057,0.9960221359506249,0,1
c000171,conflict,42,307,731.6,790.3,58.69999999999993,58.69999999999993,174,1,0.0039159320294857025,0.9960840679705143,0,1
c000172,conflict,43,307,791.5,851.6,60.10000000000002,53.10000000000002,142,3,0.004847424570471048,0.995152575429529,0,1
c000173,conflict,44,307,854.4,914.8,60.39999999999998,30.899999999999977,89,3,0.06843404471874237,0.9315659552812576,0,1
c000174,conflict,45,307,915.9,965.2,49.30000000000007,49.30000000000007,145,1,0.0018845211016014218,0.9981154788983986,0,1
c000175,conflict,46,307,966.1,996.2,30.100000000000023,24.200000000000045,70,2,0.004782502539455891,0.9952174974605441,0,1
c000176,conflict,47,307,1008.2,1040.6,32.399999999999864,30.399999999999864,71,2,0.0008957769023254514,0.9991042230976745,0,1
c000181,conflict,48,308,0.0,21.0,21.0,13.1,43,4,0.9997590184211731,0.0002409815788269043,1,0
c000182,conflict,49,308,33.5,52.4,18.9,18.9,60,1,0.9995337724685669,0.00046622753143310547,1,0
c000186,conflict,50,308,204.6,223.6,19.0,13.899999999999975,40,3,0.9964879751205444,0.0035120248794555664,1,0
c000187,conflict,51,308,232.7,253.5,20.80000000000001,17.00000000000003,43,4,0.9992569088935852,0.0007430911064147949,1,0
c000197,conflict,52,308,715.6,735.9,20.299999999999955,14.300000000000068,47,5,0.9849417209625244,0.015058279037475586,1,0
c000198,conflict,53,308,737.3,780.6,43.30000000000007,11.500000000000114,26,7,0.9947949051856995,0.005205094814300537,1,0
c000201,conflict,54,309,74.5,126.4,51.900000000000006,20.90000000000002,45,8,0.9975889921188354,0.0024110078811645508,1,0
c000207,conflict,55,309,303.3,321.9,18.599999999999966,10.699999999999989,47,2,0.9749552011489868,0.025044798851013184,1,0
c000208,conflict,56,309,328.7,342.4,13.699999999999989,6.300000000000011,27,2,0.9920827150344849,0.007917284965515137,1,0
c000212,conflict,57,309,470.7,498.3,27.600000000000023,13.699999999999989,64,2,0.9980054497718811,0.0019945502281188965,1,0
c000213,conflict,58,309,499.2,551.9,52.69999999999999,19.0,44,7,0.9994801878929138,0.0005198121070861816,1,0
