seg_uid,set,pair_id,speaker_id,start,end,span,speech_s,nw,n_turns,p_pos,p_neg,p_neu,val,npos,nneg,oof
c000010,conflict,0,301,95.3,122.5,27.200000000000003,18.700000000000017,40,4,0.12625249,0.7065296,0.16721787,-9.0,1,4,0.3904738339179168
c000015,conflict,1,301,241.8,278.5,36.69999999999999,20.09999999999997,42,4,0.011159804,0.92074144,0.06809877,-8.5,1,3,0.5505510867779234
c000036,conflict,2,302,229.8,264.9,35.099999999999966,11.899999999999975,35,4,0.020679394,0.7368703,0.24245037,-1.0,1,1,0.4222902047195614
c000039,conflict,3,302,345.5,394.7,49.19999999999999,13.299999999999956,42,6,0.054007452,0.66403097,0.28196165,2.0,2,2,0.4197173472889549
c000040,conflict,4,302,396.1,429.7,33.599999999999966,11.999999999999886,33,6,0.013793661,0.7042564,0.28194994,0.0,1,1,0.471559017792906
c000064,conflict,5,303,723.6,740.3,16.699999999999932,16.699999999999932,65,1,0.008574827,0.86081094,0.13061424,1.0,3,2,0.4120366669647394
c000146,conflict,6,306,487.7,551.9,64.19999999999999,19.100000000000023,57,2,0.010592219,0.8317073,0.15770054,0.0,1,1,0.2646183462199367
c000148,conflict,7,306,578.4,597.3,18.899999999999977,15.799999999999956,56,2,0.03953976,0.7282695,0.23219071,0.7000000000000002,5,4,0.5910620609492058
c000149,conflict,8,306,598.8,620.8,22.0,22.0,64,1,0.017280301,0.72180045,0.26091927,-4.0,1,4,0.4977459435298712
c000157,conflict,9,307,125.9,150.4,24.5,15.200000000000015,46,2,0.0073978445,0.81849706,0.17410511,9.0,5,0,0.3373012736507315
c000159,conflict,10,307,168.5,203.6,35.099999999999994,24.59999999999999,68,3,0.010875287,0.86672527,0.1223994,-13.7,1,4,0.2785775071846451
c000162,conflict,11,307,345.3,363.3,18.0,18.0,29,1,0.006787121,0.8541652,0.13904768,-3.0,0,1,0.6606069777377372
c000176,conflict,12,307,1008.2,1040.6,32.399999999999864,30.399999999999864,71,2,0.013153461,0.84905815,0.13778839,-1.0,3,3,0.4776368583370239
c000181,conflict,13,308,0.0,21.0,21.0,13.1,43,4,0.8881024,0.005230358,0.106667206,10.0,4,0,0.3397105919026973
c000182,conflict,14,308,33.5,52.4,18.9,18.9,60,1,0.89960396,0.006831169,0.09356484,9.0,5,0,0.3266775091127462
c000185,conflict,15,308,164.8,199.1,34.29999999999998,18.799999999999983,42,5,0.84204096,0.015188721,0.1427703,5.0,2,0,0.3242695580011939
c000186,conflict,16,308,204.6,223.6,19.0,13.899999999999975,40,3,0.7170639,0.015541551,0.2673945,8.0,3,1,0.4235770904723081
c000187,conflict,17,308,232.7,253.5,20.80000000000001,17.00000000000003,43,4,0.80986536,0.016887685,0.173247,18.0,8,0,0.4542866864372439
c000201,conflict,18,309,74.5,126.4,51.900000000000006,20.90000000000002,45,8,0.60285467,0.018124433,0.37902096,5.0,2,0,0.4621887985301773
c000213,conflict,19,309,499.2,551.9,52.69999999999999,19.0,44,7,0.67491376,0.029034767,0.29605144,8.0,3,0,0.5535244610512837
c000218,conflict,20,310,167.4,203.9,36.5,21.59999999999999,67,4,0.023411913,0.75296783,0.22362031,-2.0,0,1,0.317561463130069
c000219,conflict,21,310,204.7,224.7,20.0,12.599999999999994,45,3,0.021775223,0.6487182,0.32950655,0.0,0,0,0.421132041228269
c000225,conflict,22,310,388.9,419.0,30.100000000000023,13.700000000000044,43,4,0.012756421,0.8297675,0.15747604,-4.0,1,3,0.4894688971137638
c000229,conflict,23,310,560.4,587.2,26.800000000000068,12.200000000000044,46,3,0.013256137,0.6976676,0.28907627,1.0,1,1,0.5893807444401777
c000235,conflict,24,310,736.2,788.1,51.89999999999998,22.0,71,7,0.022071455,0.69260067,0.2853279,10.9,5,2,0.5004978678125602
c000236,conflict,25,310,791.4,803.3,11.899999999999977,11.899999999999975,41,1,0.021665944,0.69714344,0.2811906,0.0,0,0,0.5138322401070322
c000238,conflict,26,311,56.7,130.5,73.8,29.099999999999973,60,9,0.6738147,0.05983051,0.2663548,1.0,1,0,0.4708461502709152
c000250,conflict,27,311,639.0,692.3,53.299999999999955,15.400000000000205,43,9,0.6816754,0.027012557,0.29131207,8.0,5,0,0.5087510869968371
c000251,conflict,28,311,700.4,721.4,21.0,15.100000000000025,42,3,0.82963204,0.0134900035,0.15687793,2.0,1,0,0.3673459157011012
c000260,conflict,29,312,327.6,338.7,11.099999999999966,11.099999999999966,25,1,0.008227694,0.8677896,0.12398269,-3.0,0,1,0.3330244595866002
c000291,conflict,30,314,245.8,287.8,42.0,31.0,69,4,0.013295957,0.84865427,0.13804983,-0.5,4,3,0.3421138522254147
c000293,conflict,31,314,358.7,388.4,29.69999999999999,26.399999999999977,83,2,0.024917882,0.71553594,0.2595461,-2.0,1,1,0.4558105307744442
c000296,conflict,32,314,452.7,474.6,21.900000000000034,21.90000000000003,54,1,0.015603686,0.70364237,0.280754,-5.0,1,3,0.396979489280062
c000312,conflict,33,314,939.0,948.6,9.600000000000023,9.600000000000025,29,1,0.01494295,0.8807316,0.10432554,-5.0,0,2,0.5102658127147307
c000316,conflict,34,314,1042.8,1064.2,21.40000000000009,19.800000000000185,73,2,0.030859854,0.62780565,0.34133452,4.0,2,0,0.3557191245771697
c000325,conflict,35,314,1318.5,1334.8,16.299999999999955,15.200000000000044,51,2,0.033303566,0.71540785,0.2512886,-2.0,2,2,0.3949982015774463
c000333,conflict,36,315,197.9,231.8,33.900000000000006,27.5,72,3,0.009718586,0.864901,0.1253804,1.0,2,1,0.665712730320693
c000335,conflict,37,315,289.5,320.5,31.0,21.200000000000045,43,3,0.012685598,0.854168,0.13314633,-7.0,0,3,0.4267282772469257
c000337,conflict,38,315,379.5,429.3,49.80000000000001,48.400000000000034,114,2,0.015022131,0.81246406,0.17251381,2.0,2,1,0.3972528304390719
c000344,conflict,39,315,646.2,698.1,51.89999999999998,38.0,97,5,0.009443217,0.85926634,0.13129039,-13.5,0,5,0.6172833269246162
c000345,conflict,40,315,700.9,728.8,27.899999999999977,22.100000000000023,61,3,0.007865168,0.8488288,0.14330606,-9.6,0,5,0.3898702707842261
c000386,conflict,41,318,134.9,181.3,46.400000000000006,19.200000000000045,45,6,0.03702353,0.6667923,0.29618424,0.0,0,0,0.5013607392971935
c000389,conflict,42,318,259.6,297.9,38.299999999999955,17.199999999999932,48,7,0.022892484,0.79785377,0.17925373,0.6000000000000001,2,1,0.3571463013408985
c000428,conflict,43,321,110.2,134.3,24.10000000000001,16.200000000000003,59,3,0.86702895,0.016140087,0.11683102,10.0,4,0,0.1698547408123622
c000434,conflict,44,321,324.3,378.1,53.80000000000001,15.800000000000011,45,6,0.9799249,0.0076126247,0.01246247,20.5,6,0,0.4500816581133381
c000438,conflict,45,321,497.8,530.4,32.599999999999966,15.899999999999864,43,5,0.60135925,0.07128637,0.32735437,2.0,2,2,0.455706322304179
c000441,conflict,46,321,672.7,705.9,33.19999999999993,14.399999999999864,44,3,0.9059524,0.008444782,0.08560286,9.0,4,0,0.5290719245600528
c000475,conflict,47,323,284.9,311.5,26.600000000000023,14.600000000000025,49,4,0.015070265,0.7412424,0.24368721,-1.0,2,3,0.475089825835575
c000480,conflict,48,323,472.7,489.6,16.900000000000034,13.300000000000011,43,2,0.037276007,0.71525604,0.24746798,-2.0,0,1,0.4006413848110147
c000538,conflict,49,326,419.0,444.8,25.80000000000001,9.800000000000011,32,5,0.015298704,0.69407284,0.29062852,0.0,0,0,0.3564324362561958
c000547,conflict,50,327,238.9,274.0,35.099999999999994,15.600000000000025,40,5,0.03833095,0.6304184,0.33125064,-1.5,2,3,0.6156896074297715
c000548,conflict,51,327,278.8,302.9,24.099999999999966,16.30000000000001,63,2,0.019795693,0.74601007,0.23419425,-4.0,2,2,0.5291233612250671
c000559,conflict,52,328,83.5,115.1,31.599999999999994,13.600000000000025,44,4,0.12680647,0.64025545,0.23293805,-1.0,3,2,0.4210452207862313
c000562,conflict,53,328,166.5,196.3,29.80000000000001,20.5,56,3,0.0077513284,0.93052596,0.06172267,-16.5,1,5,0.5073690857984112
c000563,conflict,54,328,198.9,232.4,33.5,28.0,72,2,0.019105034,0.85504586,0.12584908,-6.5,1,5,0.3828377125963483
c000564,conflict,55,328,242.1,282.8,40.70000000000002,40.70000000000002,122,1,0.01589819,0.80760646,0.1764954,-1.0,3,3,0.5349974469221699
c000589,conflict,56,329,210.8,239.2,28.399999999999977,19.89999999999995,40,3,0.017426709,0.835982,0.1465913,-5.0,2,4,0.4457961194478123
c000591,conflict,57,329,291.4,330.6,39.200000000000045,19.90000000000009,42,4,0.015501674,0.6483118,0.33618647,4.0,2,0,0.4750127676665125
c000642,conflict,58,332,295.2,346.7,51.5,30.299999999999955,84,8,0.8429451,0.023504756,0.1335501,14.5,10,0,0.262386041501637
c000644,conflict,59,332,378.1,410.4,32.299999999999955,9.900000000000034,26,7,0.8199098,0.051503174,0.12858702,7.5,2,0,0.3399733427701288
c000649,conflict,60,332,599.0,621.9,22.899999999999977,18.499999999999886,45,4,0.9269342,0.013104044,0.0599618,15.5,9,2,0.5246563773591552
c000654,conflict,61,332,782.7,800.9,18.199999999999932,16.399999999999977,43,2,0.8817172,0.011672191,0.10661057,6.0,3,0,0.3301670265135505
c000655,conflict,62,332,802.3,822.6,20.300000000000068,19.100000000000136,62,2,0.64127815,0.028492484,0.33022943,8.0,4,1,0.4335695897565595
c000656,conflict,63,332,831.0,861.9,30.899999999999977,17.899999999999977,45,4,0.8122446,0.031823535,0.15593186,11.0,5,1,0.2758483016090605
c000810,conflict,64,338,0.0,92.6,92.6,20.60000000000001,40,12,0.95687246,0.004172527,0.03895498,12.0,4,0,0.4524098521614539
c000820,conflict,65,338,371.0,399.3,28.30000000000001,16.69999999999999,45,3,0.9578989,0.008507295,0.03359381,13.0,4,0,0.4873867645885978
c000821,conflict,66,338,401.3,411.1,9.800000000000011,9.800000000000011,33,1,0.74957454,0.039147586,0.21127784,4.0,2,1,0.4744658801625885
c000822,conflict,67,338,427.3,450.4,23.099999999999966,19.899999999999977,53,2,0.8459323,0.02730389,0.12676388,12.0,4,0,0.3299577010998201
c000824,conflict,68,338,481.7,514.1,32.400000000000034,21.5,66,3,0.98042023,0.0029514546,0.016628308,26.0,10,0,0.5109073349817679
c000825,conflict,69,338,522.6,542.0,19.399999999999977,19.399999999999977,61,1,0.9756659,0.0058372123,0.018496891,14.0,4,0,0.3547458703488966
c000847,conflict,70,340,104.8,164.3,59.500000000000014,18.00000000000007,48,8,0.011035858,0.8717711,0.11719308,-2.5,1,2,0.6341825200379185
c000931,conflict,71,345,1.9,26.8,24.900000000000002,12.999999999999996,36,6,0.96278644,0.0045189294,0.03269461,10.3,6,0,0.3252408385384585
c000932,conflict,72,345,50.6,86.0,35.4,22.40000000000001,64,5,0.8716425,0.02486545,0.103492044,3.0,4,3,0.2913152762707945
c000935,conflict,73,345,147.3,168.8,21.5,21.5,54,1,0.8647097,0.016447298,0.118843056,11.0,8,2,0.3692062636472405
c000939,conflict,74,345,266.2,291.2,25.0,18.300000000000068,47,3,0.95891505,0.007817795,0.03326711,4.25,2,0,0.579610854175947
c000940,conflict,75,345,293.8,317.2,23.399999999999977,21.399999999999977,52,2,0.9889425,0.0031846808,0.007872758,21.0,7,0,0.3385842905663052
c000941,conflict,76,345,323.8,340.5,16.69999999999999,16.69999999999999,40,1,0.87752616,0.03241187,0.09006193,4.5,3,2,0.4375591960408373
c000942,conflict,77,345,344.7,363.2,18.5,16.400000000000034,51,2,0.9838976,0.0032487218,0.012853663,19.5,7,0,0.354227294188203
c000947,conflict,78,345,534.8,557.7,22.90000000000009,17.200000000000045,41,3,0.93972087,0.009008303,0.051270906,3.0,2,1,0.7107632706640657
c000948,conflict,79,345,563.2,574.9,11.699999999999932,11.699999999999932,42,1,0.91318375,0.015682321,0.071134,6.0,3,0,0.38365882506165
c000949,conflict,80,345,580.9,614.8,33.89999999999998,23.299999999999955,49,4,0.94536006,0.010892022,0.04374788,6.5,3,1,0.4924558381616052
c000950,conflict,81,345,622.1,666.7,44.60000000000002,40.500000000000114,123,3,0.6932019,0.10901528,0.19778284,19.0,14,4,0.4955624758767397
c000952,conflict,82,345,702.8,738.1,35.30000000000007,26.800000000000068,83,4,0.82843685,0.020892128,0.15067104,26.1,14,1,0.5587711656254599
c000953,conflict,83,345,740.0,763.2,23.200000000000045,19.5,58,2,0.9764814,0.0027127727,0.02080577,31.0,12,0,0.4354386375841239
c000954,conflict,84,346,17.2,83.9,66.7,13.500000000000014,42,8,0.974035,0.0060491525,0.019915763,11.0,4,0,0.4628140054244167
c000956,conflict,85,346,124.3,163.1,38.8,28.59999999999998,88,4,0.94129276,0.009830745,0.048876453,10.5,4,1,0.3924552920835881
c000957,conflict,86,346,167.9,228.5,60.599999999999994,35.499999999999915,73,7,0.822717,0.015737131,0.16154584,14.5,5,0,0.4416053899371142
c000958,conflict,87,346,232.1,243.3,11.200000000000017,9.200000000000015,27,2,0.6590754,0.03619243,0.30473217,4.0,2,0,0.3461930057726397
c000971,conflict,88,346,643.7,665.8,22.09999999999991,17.09999999999991,54,4,0.96774286,0.006609129,0.025647962,12.0,3,0,0.6192522773846256
c000972,conflict,89,346,668.6,708.6,40.0,25.199999999999932,69,6,0.9167184,0.028890554,0.054391026,5.5,4,2,0.4696346276274691
c000974,conflict,90,346,725.1,741.5,16.399999999999977,13.799999999999956,46,3,0.7349457,0.055697244,0.20935702,0.0,3,3,0.404345091464365
c000982,conflict,91,346,1003.0,1079.6,76.59999999999991,30.09999999999968,68,9,0.80141836,0.05747954,0.14110208,10.85,6,1,0.4709956229291118
c000983,conflict,92,346,1081.1,1093.1,12.0,12.0,43,1,0.93525416,0.014908271,0.049837578,-1.0,1,1,0.561524242918479
c000984,conflict,93,346,1094.8,1138.2,43.40000000000009,19.100000000000136,47,6,0.97003144,0.008564139,0.021404376,15.0,6,1,0.3918752996586235
c000985,conflict,94,346,1142.1,1150.8,8.700000000000045,7.0,26,2,0.7954763,0.019398883,0.1851248,6.0,2,0,0.4210639203125953
c000986,conflict,95,346,1163.9,1198.1,34.19999999999982,9.100000000000136,27,6,0.8651932,0.011126789,0.123680025,7.0,3,0,0.3228434538654069
c000988,conflict,96,347,29.5,122.7,93.2,19.300000000000004,54,11,0.95110184,0.0068625016,0.042035636,15.6,7,1,0.3595436846098129
c000990,conflict,97,347,183.9,206.8,22.900000000000006,8.199999999999989,32,4,0.7736945,0.10305985,0.123245664,3.5999999999999996,3,1,0.4831534685416812
c000993,conflict,98,347,332.3,366.1,33.80000000000001,12.900000000000034,41,5,0.90588987,0.012754369,0.08135574,6.0,3,2,0.3713773826890169
c000995,conflict,99,347,410.5,451.6,41.10000000000002,17.900000000000034,49,4,0.7995597,0.015311987,0.18512824,6.2,3,0,0.5109207661929112
c001000,conflict,100,348,19.9,78.7,58.800000000000004,14.100000000000012,47,5,0.9855342,0.0042627403,0.010203007,18.0,6,0,0.4265210506393748
c001001,conflict,101,348,84.6,118.2,33.60000000000001,22.800000000000026,56,6,0.92528784,0.0028479474,0.07186421,3.0,1,0,0.4008255552169656
c001004,conflict,102,348,197.4,225.3,27.900000000000006,18.299999999999983,48,4,0.6886418,0.036347512,0.2750107,7.0,3,0,0.4283343758700864
c001005,conflict,103,348,227.6,251.2,23.599999999999994,18.59999999999999,52,2,0.97925764,0.006954775,0.013787611,18.0,6,0,0.4662704750087552
c001006,conflict,104,348,258.5,288.9,30.399999999999977,13.699999999999989,44,6,0.77746373,0.016547902,0.20598842,5.0,3,1,0.4154863140539235
c001007,conflict,105,348,290.5,309.9,19.399999999999977,14.800000000000011,42,2,0.71918297,0.12235597,0.15846097,14.0,5,0,0.464968701560695
c001008,conflict,106,348,320.1,348.3,28.19999999999999,16.999999999999943,41,3,0.6697803,0.09888191,0.23133779,5.5,2,2,0.5506953582386984
c001013,conflict,107,348,500.4,513.6,13.200000000000045,13.200000000000044,45,1,0.9745768,0.0018787169,0.023544498,7.0,2,0,0.4664403072803271
c001014,conflict,108,348,514.5,565.4,50.89999999999998,18.999999999999886,53,7,0.9207088,0.012833215,0.06645803,14.8,7,0,0.3974086014721023
c001129,conflict,109,354,92.1,112.1,20.0,11.100000000000009,38,3,0.70941603,0.0066296556,0.28395432,4.0,2,0,0.4707320276688673
c001131,conflict,110,354,193.1,252.4,59.30000000000001,19.200000000000045,42,8,0.7473154,0.016582904,0.23610167,1.0,2,1,0.6183003012067846
c001137,conflict,111,354,507.6,549.5,41.89999999999998,15.799999999999956,35,5,0.9786695,0.004020874,0.017309645,2.0,1,0,0.4618690683566456
c001234,conflict,112,360,153.5,191.5,38.0,25.59999999999999,60,4,0.048759185,0.6255499,0.32569093,3.0,5,3,0.4924216580444108
c001237,conflict,113,360,249.6,268.9,19.299999999999983,16.299999999999983,57,2,0.050127424,0.6593526,0.29051992,2.0,4,3,0.3262227839595844
c001260,conflict,114,362,0.6000000000000001,79.6,79.0,20.399999999999995,54,6,0.9755515,0.003819706,0.020628814,16.0,7,0,0.2288494479548472
c001263,conflict,115,362,177.9,209.9,32.0,13.600000000000025,45,3,0.9528139,0.0044454057,0.042740677,7.5,2,0,0.4194609156064406
c001265,conflict,116,362,240.9,261.5,20.599999999999994,15.499999999999943,41,4,0.9806192,0.006164196,0.013216541,11.0,5,0,0.4723722265509368
c001266,conflict,117,362,267.1,291.4,24.299999999999955,18.09999999999997,48,2,0.7749094,0.033982266,0.19110839,0.5,1,2,0.5032438621556223
c001268,conflict,118,362,328.7,363.9,35.19999999999999,24.09999999999997,59,4,0.89284754,0.028369762,0.07878274,1.4,3,2,0.5308786507390791
c001271,conflict,119,362,421.7,464.8,43.10000000000002,19.40000000000009,61,5,0.707497,0.07172207,0.22078097,13.5,4,1,0.4175717432746507
c001278,conflict,120,363,185.1,199.9,14.800000000000011,14.800000000000011,33,1,0.011276062,0.7930917,0.19563223,-2.0,1,1,0.1980941268255257
c001284,conflict,121,363,457.9,521.0,63.10000000000002,51.700000000000045,145,3,0.01402795,0.8175622,0.16840984,-4.0,3,4,0.3786094957457289
c001285,conflict,122,363,526.4,582.6,56.200000000000045,47.80000000000007,133,3,0.018786214,0.7510982,0.23011564,-4.0,5,5,0.3833303438440537
c001288,conflict,123,363,652.7,675.5,22.799999999999955,19.399999999999977,52,3,0.00908345,0.8579125,0.13300411,-8.0,0,3,0.3627794750726444
c001290,conflict,124,363,719.5,748.1,28.600000000000023,15.600000000000025,45,4,0.006884804,0.9355336,0.057581525,-7.5,0,3,0.6024290665038001
c001295,conflict,125,363,913.9,932.4,18.5,18.5,44,1,0.009763025,0.87923056,0.11100636,2.5,1,1,0.2734563005645274
c001296,conflict,126,363,934.7,947.1,12.399999999999977,12.399999999999975,45,1,0.023727119,0.7234419,0.252831,0.0,0,0,0.3159634039009152
