clip,speaker,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,0.42338422,0.99457008,0.24203470,0.39836451,0.06507566
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,0.99999988,0.93693662,1.00000000,0.99999952,0.99999893
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,0.68877745,0.11631998,0.00051050,0.10399305,0.11418223
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,0.01551462,0.00016450,0.05079589,0.00071292,0.53256899
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,0.97909778,0.68282121,0.01402668,0.87913108,0.12865560
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,0.24799499,0.00000145,0.00021471,0.00035418,0.02805072
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,0.01589959,0.00695627,0.00032525,0.00628480,0.00245410
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,0.00022837,0.00110817,0.07572515,0.00000265,0.00509683
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,0.30016661,0.99574262,0.99742007,0.72630543,0.99881721
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,0.00015644,0.20118816,0.33671278,0.00000053,0.00050175
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,0.81712925,0.87227333,0.73838025,0.99822825,0.98873389
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,0.00962526,0.05458964,0.89151001,0.04256603,0.02077865
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,0.00187513,0.00015114,0.00093290,0.00283101,0.00322710
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,0.02667152,0.00075603,0.00008850,0.76424259,0.03423177
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,0.42854339,0.70185047,0.00064957,0.00982901,0.14015836
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,0.00022295,0.02097302,0.00111819,0.00137193,0.00000008
AVPEPUDEAC0019_readtext.wav,AVPEPUDEAC0019,0.00005578,0.01260941,0.00007438,0.00001659,0.00037385
AVPEPUDEAC0020_readtext.wav,AVPEPUDEAC0020,0.00026850,0.00014467,0.00006518,0.00002494,0.00006976
AVPEPUDEAC0021_readtext.wav,AVPEPUDEAC0021,0.00072540,0.00000165,0.00052281,0.00005010,0.00032964
