clip,speaker,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,0.55543417,0.93602067,0.96658784,0.78687263,0.51706517
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,0.13041392,0.39883026,0.97317976,0.19305639,0.73270202
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,0.46321389,0.54549432,0.71336764,0.66286170,0.07009268
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,0.00006396,0.00150651,0.00152064,0.00080707,0.00723130
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,0.95119774,0.05986723,0.99732178,0.81270647,0.76869071
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,0.68097275,0.01444567,0.48508590,0.14330016,0.01561626
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,0.37466112,0.01068892,0.15854737,0.00912821,0.13174559
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,0.00003807,0.00032034,0.00201021,0.00302684,0.00004455
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,0.98620737,0.98769182,0.99481577,0.98578680,0.79734397
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,0.16005257,0.97763026,0.77530444,0.03370886,0.92119217
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,0.04563797,0.99901223,0.00097112,0.22193560,0.02261564
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,0.35641417,0.05007402,0.24940722,0.55123413,0.01151719
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,0.00007507,0.00003015,0.00011555,0.00000274,0.00001797
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,0.03378264,0.01309994,0.00482684,0.01476863,0.00928102
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,0.92456442,0.95336378,0.13277052,0.48015696,0.93761635
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,0.00003548,0.00030753,0.00058759,0.00011605,0.00000435
AVPEPUDEAC0019_readtext.wav,AVPEPUDEAC0019,0.00287732,0.00000520,0.00001794,0.00000134,0.00003064
AVPEPUDEAC0020_readtext.wav,AVPEPUDEAC0020,0.46546301,0.00401178,0.45472920,0.01576345,0.06823145
AVPEPUDEAC0021_readtext.wav,AVPEPUDEAC0021,0.00116091,0.00001756,0.00052410,0.00098008,0.00170333
AVPEPUDEAC0022_readtext.wav,AVPEPUDEAC0022,0.00006468,0.00008316,0.00093921,0.00123334,0.00227705
