stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,audio_encoder_layer_0,0.839538,0.012318,0.769736,0.90033,2000,0.855018|0.847679|0.821048|0.829985|0.843960,1100,100
1,audio_encoder_layer_1,0.849276,0.014102,0.781605,0.907591,2000,0.867754|0.858955|0.828122|0.839172|0.852375,1100,100
2,audio_encoder_layer_2,0.848109,0.013764,0.779276,0.907069,2000,0.866220|0.859286|0.827122|0.840846|0.847071,1100,100
3,audio_encoder_layer_3,0.86203,0.010242,0.793421,0.919823,2000,0.873954|0.869388|0.844408|0.858345|0.864053,1100,100
4,audio_encoder_layer_4,0.875272,0.006346,0.808171,0.929875,2000,0.885896|0.874402|0.865931|0.874636|0.875498,1100,100
5,audio_encoder_layer_5,0.876416,0.008468,0.809264,0.930208,2000,0.886028|0.875800|0.861669|0.883276|0.875304,1100,100
6,audio_encoder_layer_6,0.878161,0.010275,0.809805,0.932395,2000,0.882369|0.880431|0.860041|0.891360|0.876602,1100,100
7,audio_encoder_layer_7,0.88879,0.008579,0.822995,0.941632,2000,0.892739|0.885673|0.873673|0.898393|0.893474,1100,100
8,audio_encoder_layer_8,0.896203,0.006953,0.830428,0.947723,2000,0.900354|0.897631|0.882722|0.897974|0.902334,1100,100
9,audio_encoder_layer_9,0.89334,0.00836,0.825031,0.947108,2000,0.897807|0.893493|0.878160|0.893970|0.903271,1100,100
10,audio_encoder_layer_10,0.895514,0.01064,0.828252,0.94882,2000,0.898413|0.898569|0.876489|0.894947|0.909152,1100,100
11,audio_encoder_layer_11,0.893065,0.013826,0.827398,0.946055,2000,0.902631|0.892255|0.872545|0.885283|0.912610,1100,100
12,audio_encoder_layer_12,0.903213,0.014935,0.839458,0.954497,2000,0.914532|0.896777|0.880031|0.901387|0.923339,1100,100
13,audio_encoder_layer_13,0.912172,0.017055,0.851802,0.958655,2000,0.925322|0.902180|0.885174|0.914914|0.933269,1100,100
14,audio_encoder_layer_14,0.913317,0.015163,0.85189,0.960395,2000,0.925225|0.901516|0.889823|0.920374|0.929648,1100,100
15,audio_encoder_layer_15,0.910014,0.014853,0.848197,0.955748,2000,0.926235|0.893554|0.891035|0.916149|0.923099,1100,100
16,audio_encoder_layer_16,0.909314,0.014977,0.847401,0.955652,2000,0.924025|0.893583|0.889522|0.914747|0.924693,1100,100
17,audio_encoder_layer_17,0.90217,0.014823,0.839767,0.950531,2000,0.914585|0.888631|0.880640|0.908970|0.918025,1100,100
18,audio_encoder_layer_18,0.900659,0.013917,0.839067,0.949257,2000,0.910588|0.887383|0.881028|0.907440|0.916855,1100,100
19,audio_encoder_layer_19,0.904728,0.012293,0.842275,0.9518,2000,0.909841|0.893203|0.888387|0.910154|0.922055,1100,100
20,audio_encoder_layer_20,0.901301,0.012705,0.836585,0.949986,2000,0.899812|0.889326|0.887418|0.908089|0.921860,1100,100
21,audio_encoder_layer_21,0.901953,0.011262,0.837459,0.951606,2000,0.897863|0.890412|0.892417|0.908350|0.920726,1100,100
22,audio_encoder_layer_22,0.89546,0.01118,0.829555,0.946633,2000,0.889064|0.883379|0.891524|0.897410|0.915924,1100,100
23,audio_encoder_layer_23,0.896384,0.010299,0.829394,0.947423,2000,0.889603|0.890203|0.889359|0.896453|0.916304,1100,100
24,audio_encoder_layer_24,0.893199,0.010322,0.827345,0.942831,2000,0.886203|0.887719|0.885073|0.894134|0.912868,1100,100
25,audio_encoder_layer_25,0.889001,0.010682,0.822108,0.939567,2000,0.880149|0.887755|0.877417|0.892051|0.907633,1100,100
26,audio_encoder_layer_26,0.886213,0.011063,0.818979,0.937984,2000,0.877737|0.885635|0.875192|0.885838|0.906663,1100,100
27,audio_encoder_layer_27,0.881675,0.011983,0.813243,0.935167,2000,0.872438|0.878818|0.869438|0.884387|0.903294,1100,100
28,audio_encoder_layer_28,0.881494,0.011928,0.814298,0.935286,2000,0.874797|0.878421|0.868940|0.881469|0.903843,1100,100
29,audio_encoder_layer_29,0.881601,0.011286,0.81578,0.934692,2000,0.874764|0.880355|0.871764|0.877694|0.903430,1100,100
30,audio_encoder_layer_30,0.875204,0.00958,0.807407,0.930817,2000,0.872782|0.873296|0.867160|0.868980|0.893803,1100,100
31,audio_encoder_layer_31,0.87214,0.012094,0.801704,0.928437,2000,0.873440|0.869835|0.860797|0.862202|0.894430,1100,100
