stage,stage_name,auc_mean,auc_std,ci_lo,ci_hi,boot_draws,per_repeat,n,n_speakers
0,thinker_embeddings,0.5,0.0,0.5,0.5,2000,0.500000|0.500000|0.500000|0.500000|0.500000,468,228
1,thinker_layer_1,0.741403,0.012887,0.681858,0.798568,2000,0.759066|0.718907|0.744266|0.743442|0.741331,468,228
2,thinker_layer_2,0.779738,0.015461,0.723626,0.833135,2000,0.787670|0.754039|0.787766|0.798024|0.771193,468,228
3,thinker_layer_3,0.784684,0.011462,0.729505,0.835186,2000,0.783795|0.769634|0.775097|0.799884|0.795012,468,228
4,thinker_layer_4,0.789157,0.011031,0.73491,0.839298,2000,0.799700|0.770961|0.783785|0.800794|0.790546,468,228
5,thinker_layer_5,0.784624,0.005936,0.731681,0.836103,2000,0.787495|0.774361|0.784173|0.792522|0.784570,468,228
6,thinker_layer_6,0.782344,0.007868,0.729716,0.834428,2000,0.784144|0.770050|0.782507|0.794644|0.780376,468,228
7,thinker_layer_7,0.785108,0.004294,0.735345,0.835754,2000,0.779640|0.782003|0.790924|0.783747|0.789229,468,228
8,thinker_layer_8,0.780296,0.007681,0.729968,0.832613,2000,0.788202|0.770467|0.786691|0.771542|0.784580,468,228
9,thinker_layer_9,0.780595,0.009147,0.729167,0.831569,2000,0.792571|0.771406|0.788977|0.769634|0.780386,468,228
10,thinker_layer_10,0.78888,0.00898,0.740039,0.837165,2000,0.799022|0.777683|0.799312|0.780860|0.787524,468,228
11,thinker_layer_11,0.778094,0.010195,0.727744,0.826463,2000,0.792009|0.763231|0.786769|0.774409|0.774051,468,228
12,thinker_layer_12,0.794773,0.011576,0.746806,0.8419,2000,0.803109|0.773683|0.806432|0.792222|0.798421,468,228
13,thinker_layer_13,0.791279,0.012743,0.74196,0.839255,2000,0.792435|0.770767|0.810267|0.787640|0.795283,468,228
14,thinker_layer_14,0.792334,0.009667,0.742898,0.838932,2000,0.794576|0.776269|0.803952|0.787660|0.799215,468,228
15,thinker_layer_15,0.791364,0.013955,0.738955,0.839377,2000,0.791728|0.773499|0.815808|0.783843|0.791941,468,228
16,thinker_layer_16,0.785544,0.009918,0.735118,0.832836,2000,0.779620|0.770060|0.798121|0.786817|0.793103,468,228
17,thinker_layer_17,0.788247,0.009628,0.7375,0.835465,2000,0.790759|0.773131|0.802693|0.784299|0.790353,468,228
18,thinker_layer_18,0.806397,0.006807,0.757118,0.852655,2000,0.808059|0.797637|0.817493|0.801153|0.807642,468,228
19,thinker_layer_19,0.809442,0.005446,0.76105,0.857494,2000,0.804969|0.801453|0.816234|0.811217|0.813338,468,228
20,thinker_layer_20,0.804024,0.003811,0.754996,0.850302,2000,0.805076|0.804669|0.802693|0.797956|0.809725,468,228
21,thinker_layer_21,0.823749,0.004066,0.776511,0.871322,2000,0.822114|0.822007|0.824642|0.818946|0.831034,468,228
22,thinker_layer_22,0.831081,0.007267,0.784806,0.874318,2000,0.827422|0.834008|0.831945|0.820031|0.841999,468,228
23,thinker_layer_23,0.830591,0.005077,0.784697,0.873757,2000,0.828468|0.837737|0.825843|0.825417|0.835490,468,228
24,thinker_layer_24,0.839711,0.005852,0.798068,0.879365,2000,0.838067|0.847191|0.844663|0.830453|0.838183,468,228
25,thinker_layer_25,0.835107,0.004148,0.79157,0.877104,2000,0.839481|0.837379|0.837708|0.832952|0.828012,468,228
26,thinker_layer_26,0.848473,0.003845,0.806865,0.888176,2000,0.850852|0.849613|0.850000|0.851046|0.840856,468,228
27,thinker_layer_27,0.828162,0.007714,0.784077,0.87059,2000,0.835364|0.822259|0.838648|0.826230|0.818307,468,228
28,thinker_layer_28,0.828218,0.007656,0.786204,0.868913,2000,0.832216|0.824506|0.841147|0.819508|0.823712,468,228
