clip,speaker,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4
conflict_Con_015-0_67805.wav,Control15,0.00180458,0.00044741,0.02501212,0.04610640,0.02127144
conflict_Con_015-1_4987.wav,Control15,0.17234185,0.16938455,0.12982674,0.02684552,0.60926729
conflict_Con_015-1_60159.wav,Control15,0.58312023,0.32590622,0.39217576,0.43225992,0.94839001
conflict_Con_017-4_6597.wav,Control17,0.52715117,0.58886552,0.00125512,0.07071215,0.72248387
conflict_Con_021-1_38448.wav,Control21,0.95477271,0.63238126,0.59153718,0.06774065,0.25359261
conflict_Con_034-1_7639.wav,Control34,0.77280897,0.09026913,0.14027186,0.90185034,0.99049628
conflict_Con_034-4_46285.wav,Control34,0.95214576,0.90915978,0.95293158,0.80267072,0.42209190
conflict_Con_042-2_2251.wav,Control42,0.04550473,0.00493153,0.00133914,0.00111841,0.01673929
conflict_Con_045-0_35325.wav,Control45,0.06606877,0.01251828,0.83028567,0.15954816,0.43772155
conflict_Con_045-2_39349.wav,Control45,0.99705803,0.85054493,0.44347751,0.91060412,0.96459329
conflict_Con_052-0_3822.wav,Control52,0.22289726,0.00114357,0.00292062,0.01510723,0.03677670
conflict_Con_068-0_1810.wav,Control68,0.12033565,0.38109189,0.03067562,0.02936755,0.28710401
conflict_Con_068-2_6578.wav,Control68,0.95570141,0.18055278,0.23011400,0.80001199,0.50340247
conflict_Con_068-3_1311.wav,Control68,0.00383636,0.00003457,0.00028269,0.00022759,0.00000604
conflict_Con_071-1_2091.wav,Control71,0.00048276,0.96622366,0.17430384,0.00057808,0.04641917
conflict_Con_073-3_37636.wav,Control73,0.94355875,0.99972421,0.96573532,0.94766039,0.65747076
conflict_Con_086-0_5140.wav,Control86,0.56681156,0.07657695,0.96731269,0.82014018,0.96215546
conflict_Con_086-0_37577.wav,Control86,0.62095100,0.73187113,0.98633492,0.98190135,0.01696911
conflict_Con_105-2_38053.wav,Control105,0.99941039,0.99996662,0.99921846,0.99990261,0.99967575
conflict_Con_121-0_64117.wav,Control121,0.98320192,0.86670744,0.99926096,0.00490046,0.93808800
conflict_Con_121-1_32497.wav,Control121,0.69454354,0.26919454,0.04938720,0.08249910,0.00794128
conflict_Con_124-1_36933.wav,Control124,0.72240806,0.88914442,0.81942207,0.99981922,0.96905881
conflict_Con_128-3_800.wav,Control128,0.99366295,0.96109343,0.96760577,0.99811304,0.99990070
conflict_Con_139-0_36206.wav,Control139,0.99952745,0.99865520,0.98597997,0.97791082,0.99995208
conflict_Con_140-0_35581.wav,Control140,0.52449018,0.11761354,0.78954738,0.00868580,0.94540650
conflict_Con_141-1_1470.wav,Control141,0.09262598,0.95341939,0.94442314,0.13298158,0.17413948
conflict_Con_158-3_2170.wav,Control158,0.69443327,0.09223145,0.37829667,0.00284120,0.57059371
conflict_Con_192-0_820.wav,Control192,0.95614868,0.99583226,0.99779391,0.99408579,0.93545473
conflict_Con_209-2_2013.wav,Control209,0.88389981,0.35589552,0.01779966,0.00080721,0.03187738
conflict_Con_210-1_35543.wav,Control210,0.99955684,0.97746927,0.98618454,0.99564493,0.99530220
conflict_Con_225-0_4203.wav,Control225,0.30500844,0.69655937,0.97455752,0.08480551,0.01337665
conflict_Con_227-0_460.wav,Control227,0.39504513,0.48513180,0.37428999,0.98143232,0.92766076
conflict_Con_229-1_1420.wav,Control229,0.89579916,0.02562041,0.00974137,0.53038299,0.00475952
conflict_Con_229-2_390.wav,Control229,0.67701375,0.04272892,0.01401838,0.94024605,0.13669936
conflict_Con_242-2_64112.wav,Control242,0.06941267,0.93770087,0.17152391,0.27244601,0.02550366
conflict_Con_243-0_73861.wav,Control243,0.91247606,0.12448419,0.90476418,0.99692720,0.83362240
conflict_Con_245-2_25300.wav,Control245,0.01143800,0.04019715,0.11053586,0.01749277,0.01264940
conflict_Con_256-1_5587.wav,Control256,0.99761766,0.93879539,0.94312042,0.99598002,0.97356987
conflict_Con_280-2_9925.wav,Control280,0.00043637,0.02870836,0.00027663,0.00713627,0.00022017
conflict_Con_297-2_1520.wav,Control297,0.06115295,0.40731585,0.05442811,0.23174566,0.12037547
conflict_Con_302-0_7124.wav,Control302,0.00011903,0.01988720,0.00062888,0.09391581,0.01112577
conflict_Con_323-0_39906.wav,Control323,0.96684587,0.97886980,0.74289757,0.23560727,0.83226353
conflict_Con_332-0_120.wav,Control332,0.99783832,0.96098149,0.98365939,0.98520482,0.99472803
conflict_Con_691-0_2463.wav,Control691,0.02069973,0.06814947,0.04168082,0.00840732,0.09235743
conflict_Con_709-2_760.wav,Control709,0.05073563,0.02998259,0.00915352,0.04269831,0.01275184
conflict_Dem_003-0_6255.wav,Dementia3,0.99889213,0.99685872,0.99997687,0.99999142,0.99982148
conflict_Dem_003-0_76644.wav,Dementia3,0.94058043,0.99540603,0.86592209,0.99978191,0.99964774
conflict_Dem_003-0_145294.wav,Dementia3,0.99987674,0.41327626,0.99767083,0.98799872,0.99226391
conflict_Dem_007-1_15997.wav,Dementia7,0.00106722,0.00071152,0.02767656,0.00030997,0.01153100
