clip,split,start_ms,clip_ms,span_ms,par_ms_win,inv_ms_win,gap_ms_win,inv_share_win,par_share_win,n_par_utt,n_inv_utt,untimed_par,untimed_inv
S001,train,4080,30000,30000,29601,186,213,0.0062,0.9867,2,1,0,0
S002,train,7000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S003,train,0,30000,30000,27069,4573,-1642,0.15243,0.9023,3,2,0,0
S004,train,0,30000,30000,29190,810,0,0.027,0.973,2,1,0,0
S005,train,0,30000,30000,26800,3200,0,0.10667,0.89333,2,2,0,0
S006,train,2000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S007,train,0,30000,30000,25377,4623,0,0.1541,0.8459,1,1,0,0
S009,train,0,30000,30000,27540,2460,0,0.082,0.918,1,1,0,0
S011,train,18400,30000,30000,29422,578,0,0.01927,0.98073,1,1,0,0
S012,train,0,30000,30000,28396,1604,0,0.05347,0.94653,1,1,0,0
S013,train,0,30000,30000,28743,3229,-1972,0.10763,0.9581,2,2,0,0
S015,train,4000,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S016,train,2000,30000,30000,28962,1038,0,0.0346,0.9654,1,1,0,0
S017,train,0,30000,30000,26442,2804,754,0.09347,0.8814,1,1,0,0
S018,train,4000,30000,30000,29267,733,0,0.02443,0.97557,2,2,0,0
S019,train,6800,30000,30000,29337,663,0,0.0221,0.9779,1,2,0,0
S020,train,23000,30000,30000,28730,2231,-961,0.07437,0.95767,1,2,0,0
S021,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S024,train,6200,30000,30000,29895,105,0,0.0035,0.9965,1,1,0,0
S025,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S027,train,34000,30000,30000,24861,5139,0,0.1713,0.8287,2,2,0,0
S028,train,11240,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S029,train,6680,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S030,train,45000,14655,14655,14458,1304,-1107,0.08898,0.98656,2,2,0,0
S032,train,4000,30000,30000,28453,1547,0,0.05157,0.94843,1,1,0,0
S033,train,0,30000,30000,21319,8984,-303,0.29947,0.71063,2,2,0,0
S034,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S035,train,0,30000,30000,28011,3344,-1355,0.11147,0.9337,2,2,0,0
S036,train,6380,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S038,train,0,30000,30000,30000,0,0,0.0,1.0,1,0,0,0
S039,train,7000,30000,30000,29169,831,0,0.0277,0.9723,2,1,0,0
S040,train,0,30000,30000,26286,3714,0,0.1238,0.8762,1,2,0,0
