dataset,display,condition,plotted,n_clips,n_speakers,n_pos,answer_auc,answer_lo,answer_hi,boot_usable,master_lookup_value,master_lookup_n,master_match,figure_answer,probe_min,probe_min_layer,probe_median,probe_max,probe_max_layer,layers_above,layers_total,layers_above_with_figure_value,layers_mean_minus_std_above,layers_above_answer_ci_hi,first_layer_above,closest_layer,closest_margin,curve_file,curve_column,stat_file,zeroshot_file
pitt,Pitt,AD,plotted,468,228,290,0.6578,0.6033,0.7125,2000,0.6578,468,True,0.6578,0.6517,2,0.7597,0.8083,27,31,32,31,25,25,0,2,-0.006,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv,auc,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_pitt_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_pitt_zeroshot_scores.csv
adresso,ADReSSo,AD,omitted,237,237,122,0.615,0.5432,0.689,2000,0.615,237,True,,0.7413,0,0.8604,0.903,27,32,32,,32,32,0,0,0.1263,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_zeroshot_scores.csv
adress2020,ADReSS-2020,AD,omitted,156,156,78,0.6241,0.5348,0.7148,2000,0.6241,156,True,,0.6502,2,0.7855,0.8248,25,32,32,,26,24,0,2,0.0261,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adress2020_zeroshot_scores.csv
pcgita,PC-GITA,PD,plotted,1100,100,550,0.5635,0.4931,0.6331,2000,0.5635,1100,True,0.5635,0.872,0,0.9065,0.9234,6,32,32,32,32,32,0,0,0.3085,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pcgita_encoder.csv,auc,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_pcgita_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_pcgita_zeroshot_scores.csv
neurovoz,NeuroVoz,PD,omitted,1270,107,621,0.6951,0.6356,0.7519,2000,0.6951,1270,True,,0.8365,0,0.9218,0.9335,25,32,32,,32,32,0,0,0.1414,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_neurovoz_zeroshot_scores.csv
kcl,MDVR-KCL,PD,omitted,37,37,16,0.7143,0.521,0.881,2000,0.7143,37,True,,0.747,0,0.8021,0.8482,19,32,32,,15,0,0,0,0.0327,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_kcl_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_kcl_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_kcl_zeroshot_scores.csv
edaic_full,"E-DAIC (full, 900 s cap)",MDD,plotted (fig1_gap.pdf),275,275,66,0.8285,0.7708,0.8827,2000,0.8285,275,True,0.8285,0.5684,30,0.6224,0.6896,19,0,32,0,0,0,,19,-0.1389,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv
edaic_mid300,E-DAIC (middle 300 s),MDD,plotted variant (fig1_gap_300.pdf),275,275,66,0.8122,0.7479,0.8707,2000,0.8122,275,True,0.8122,0.5663,1,0.6096,0.6839,22,0,32,0,0,0,,22,-0.1282,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid300_zeroshot_scores.csv
edaic_mid30,E-DAIC (middle 30 s),MDD,plotted variant (fig1_gap_mid.pdf),275,275,66,0.7205,0.6531,0.7917,2000,0.7205,275,True,0.7205,0.5196,30,0.5659,0.6705,2,0,32,0,0,0,,2,-0.05,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/variants/o25_mid30_zeroshot_scores.csv
edaic_first30,"E-DAIC (first 30 s, omni_final)",MDD,"not plotted, reference",275,275,66,0.662,0.5831,0.7315,2000,0.662,275,True,,0.4814,31,0.5795,0.6686,1,2,32,,0,0,0,5,-0.0017,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_edaic_encoder_perlayer.csv,auc_oof,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_edaic_encoder_perlayer.csv,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_edaic_zeroshot_scores.csv
