id	what	value	lo	hi	n	n_spk	file
T2_pitt_single_mac_q2a_probe2_pitt	pitt pitt_groupkfold5_mac.csv vs q2a_probe2_pitt (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			468	228	folds/pitt_groupkfold5_mac.csv
T2_pitt_single_mac_q2a_probe2_podruns_pitt	pitt pitt_groupkfold5_mac.csv vs q2a_probe2_podruns_pitt (enc), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			468	228	folds/pitt_groupkfold5_mac.csv
T2_pitt_single_mac_egemaps_pitt	pitt pitt_groupkfold5_mac.csv vs egemaps_pitt (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			468	228	folds/pitt_groupkfold5_mac.csv
T2_adresso_single_mac_q2a_probe2_adresso	adresso adresso_groupkfold5_mac.csv vs q2a_probe2_adresso (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			237	237	folds/adresso_groupkfold5_mac.csv
T2_adresso_single_mac_egemaps_adresso	adresso adresso_groupkfold5_mac.csv vs egemaps_adresso (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			237	237	folds/adresso_groupkfold5_mac.csv
T2_adress2020_single_mac_q2a_probe2_adress2020	adress2020 adress2020_groupkfold5_mac.csv vs q2a_probe2_adress2020 (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			156	156	folds/adress2020_groupkfold5_mac.csv
T2_adress2020_single_mac_egemaps_adress2020	adress2020 adress2020_groupkfold5_mac.csv vs egemaps_adress2020 (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			156	156	folds/adress2020_groupkfold5_mac.csv
T2_pcgita_single_mac_q2a_probe2_pcgita	pcgita pcgita_groupkfold5_mac.csv vs q2a_probe2_pcgita (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			1100	100	folds/pcgita_groupkfold5_mac.csv
T2_pcgita_single_mac_egemaps_pcgita	pcgita pcgita_groupkfold5_mac.csv vs egemaps_pcgita (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			1100	100	folds/pcgita_groupkfold5_mac.csv
T2_neurovoz_single_mac_q2a_probe2_neurovoz	neurovoz neurovoz_groupkfold5_mac.csv vs q2a_probe2_neurovoz (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			1270	107	folds/neurovoz_groupkfold5_mac.csv
T2_neurovoz_single_mac_egemaps_neurovoz	neurovoz neurovoz_groupkfold5_mac.csv vs egemaps_neurovoz (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			1270	107	folds/neurovoz_groupkfold5_mac.csv
T2_kcl_single_mac_q2a_probe2_kcl	kcl kcl_groupkfold5_mac.csv vs q2a_probe2_kcl (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			37	37	folds/kcl_groupkfold5_mac.csv
T2_kcl_single_mac_egemaps_kcl	kcl kcl_groupkfold5_mac.csv vs egemaps_kcl (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			37	37	folds/kcl_groupkfold5_mac.csv
T2_edaic_single_mac_q2a_probe2_edaic	edaic edaic_groupkfold5_mac.csv vs q2a_probe2_edaic (ans/enc/llm), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			275	275	folds/edaic_groupkfold5_mac.csv
T2_edaic_single_mac_egemaps_edaic	edaic edaic_groupkfold5_mac.csv vs egemaps_edaic (egemaps), max abs diff per clip vs saved OOF: CONFIRMED exact	1.110e-16			275	275	folds/edaic_groupkfold5_mac.csv
T2_pitt_single_pod_omni_final_pitt	pitt pitt_groupkfold5_pod.csv vs omni_final_pitt (ans/enc/llm/proj), max abs diff per clip vs saved OOF: CONFIRMED cross-platform	6.126e-02			468	228	folds/pitt_groupkfold5_pod.csv
