id	what	value	lo	hi	n	n_spk	file	value_computed	value_verified	agree_4dp
P22_s2_305_tok_full	pid 305 (900.0 s window) audio tokens, default processor, full window	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_305_tok_cut300	pid 305 audio tokens, default processor, first 300 s	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_305_pyes_full	pid 305 p_yes, full window	0.577618			1	1	scores/part22/p22_step2_truncation_proof.json	0.577618	0.577618	True
P22_s2_305_pyes_cut300	pid 305 p_yes, first 300 s	0.577618			1	1	scores/part22/p22_step2_truncation_proof.json	0.577618	0.577618	True
P22_s2_305_inputs_identical	pid 305 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True	True	True
P22_s2_679_tok_full	pid 679 (900.0 s window) audio tokens, default processor, full window	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_679_tok_cut300	pid 679 audio tokens, default processor, first 300 s	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_679_pyes_full	pid 679 p_yes, full window	0.233910			1	1	scores/part22/p22_step2_truncation_proof.json	0.233910	0.233910	True
P22_s2_679_pyes_cut300	pid 679 p_yes, first 300 s	0.233910			1	1	scores/part22/p22_step2_truncation_proof.json	0.233910	0.233910	True
P22_s2_679_inputs_identical	pid 679 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True	True	True
P22_s2_466_tok_full	pid 466 (900.0 s window) audio tokens, default processor, full window	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_466_tok_cut300	pid 466 audio tokens, default processor, first 300 s	7500			1	1	scores/part22/p22_step2_truncation_proof.json	7500	7500	True
P22_s2_466_pyes_full	pid 466 p_yes, full window	0.706315			1	1	scores/part22/p22_step2_truncation_proof.json	0.706315	0.706315	True
P22_s2_466_pyes_cut300	pid 466 p_yes, first 300 s	0.706315			1	1	scores/part22/p22_step2_truncation_proof.json	0.706315	0.706315	True
P22_s2_466_inputs_identical	pid 466 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True	True	True
P22_s2_705_tok_full	pid 705 (198.3 s window) audio tokens, default processor, full window	4957			1	1	scores/part22/p22_step2_truncation_proof.json	4957	4957	True
P22_s2_705_tok_cut300	pid 705 audio tokens, default processor, first 300 s	4957			1	1	scores/part22/p22_step2_truncation_proof.json	4957	4957	True
P22_s2_705_pyes_full	pid 705 p_yes, full window	0.960447			1	1	scores/part22/p22_step2_truncation_proof.json	0.960447	0.960447	True
P22_s2_705_pyes_cut300	pid 705 p_yes, first 300 s	0.960447			1	1	scores/part22/p22_step2_truncation_proof.json	0.960447	0.960447	True
P22_s2_705_inputs_identical	pid 705 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True	True	True
P22_s2_overall	step 2 overall verdict (3 longest windows)	TRUNCATION PROVEN			3	3	scores/part22/p22_step2_truncation_proof.json	TRUNCATION PROVEN	TRUNCATION PROVEN	True
P22_S1_tf_version	transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives tf_version 5.17.0 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	5.17.0			1		scores/part22/P22_step1_processor_config.md	5.17.0	5.17.0	True
P22_S1_chunk_length	Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives chunk_length 300 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	300					scores/part22/P22_step1_processor_config.md	300	300	True
P22_S1_n_samples	feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives n_samples 4800000 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	4800000					scores/part22/P22_step1_processor_config.md	4800000	4800000	True
P22_S1_trunc_default	WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives feature_extraction_whisper.py:196 "truncation: bool = True," (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	True					scores/part22/P22_step1_processor_config.md	True	True	True
P22_S1_tok_300s	audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	7500					scores/part22/P22_step1_proc_probe.json	7500	7500	True
P22_S1_tok_900s_off	audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 22500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	22500					scores/part22/P22_step1_proc_probe.json	22500	22500	True
