pid,fold,p_yes,p_yes_rule,answer_mass,audio_tok,dur_s,seq_len
301,3,0.18653921782970428,0.13216085647319653,3.242604589104303e-05,22500,900.0,22548
306,3,0.1927671879529953,0.09866121959713943,3.3734247892880376e-06,15477,619.1,15525
311,3,0.17752550542354584,0.1032626197383032,1.8985942460858496e-05,5445,217.7999,5493
316,3,0.18587329983711243,0.10273349472231756,1.9252660877100425e-05,5657,226.3,5705
321,3,0.14829371869564056,0.06744750185026852,3.676958976939204e-05,7790,311.5999,7838
326,3,0.18683576583862305,0.08963610774995331,7.032325811451301e-06,4907,196.3,4955
331,3,0.12678517401218414,0.09331849765866453,4.115580338748259e-06,11195,447.8,11243
336,3,0.12896330654621124,0.09043522053251637,1.204969555601565e-05,9477,379.1,9525
341,3,0.1453341394662857,0.09585817863898156,5.297617917676689e-06,10465,418.6001,10513
347,3,0.1650540828704834,0.1513291615778536,2.044680786639219e-05,3627,145.1,3675
352,3,0.09825222939252853,0.1207549589227151,1.4407119692805281e-05,22500,900.0,22548
357,3,0.1946738362312317,0.16048515830438725,2.2933683794690296e-05,13260,530.4,13308
362,3,0.14977993071079254,0.04943724600955222,2.385275365668349e-05,7167,286.7,7215
367,3,0.13614831864833832,0.05921171487212737,7.0317789493401506e-06,22500,900.0,22548
372,3,0.11516223102807999,0.05890038460045953,1.0713833603404055e-05,18782,751.3001,18830
377,3,0.1561049073934555,0.17054888015749559,7.0720823259762255e-06,21097,843.8999,21145
382,3,0.15856483578681946,0.12215974411384678,7.776387235480797e-06,9120,364.7999,9168
387,3,0.19620943069458008,0.07058326005977267,2.1078959662190755e-05,5260,210.4001,5308
392,3,0.18359363079071045,0.04085295713766036,6.896495756336662e-05,6450,258.0,6498
399,3,0.18713268637657166,0.1793448287528574,5.6532823691668455e-05,9252,370.0999,9300
404,3,0.17412921786308289,0.13187566252480534,5.754269068347639e-06,22500,900.0,22548
409,3,0.12678517401218414,0.03935998169343988,9.717672924125509e-06,17960,718.4,18008
414,3,0.11581610888242722,0.10947064331163632,6.925527372914075e-06,13970,558.7999,14018
419,3,0.0983387902379036,0.0668883939528422,1.2486546097534301e-05,16242,649.7,16290
424,3,0.10230470448732376,0.07173831582420584,4.883680617240316e-06,22500,900.0,22548
429,3,0.18742996454238892,0.1476998672785526,3.441850321905804e-05,10242,409.7001,10290
434,3,0.09659921377897263,0.05618996288503997,6.721176760038361e-06,21610,864.3999,21658
439,3,0.10932482779026031,0.06641650426501798,6.1727627667096385e-06,22500,900.0,22548
444,3,0.09025324136018753,0.05439209709814359,3.2273336358912275e-06,22500,900.0,22548
449,3,0.12754392623901367,0.06851652828666613,7.418508403134183e-06,22500,900.0,22548
454,3,0.2140335589647293,0.12027550999654092,1.2498347587097669e-05,22500,900.0,22548
459,3,0.137648344039917,0.1617774151042458,4.0492924654245144e-05,9615,384.6,9663
465,3,0.07709969580173492,0.05911423173522712,6.961161119534154e-06,22500,900.0,22548
470,3,0.16158466041088104,0.07668502406001107,8.535640233731101e-06,22500,900.0,22548
475,3,0.13643570244312286,0.1009634826451296,6.9311576567088196e-06,5615,224.5999,5663
480,3,0.1465752124786377,0.09125705243941246,4.590301671214547e-06,22500,900.0,22548
485,3,0.18787656724452972,0.13629713624472578,2.6784819738168153e-05,5310,212.4001,5358
490,3,0.1988408863544464,0.12289780535983064,5.005475713915075e-06,4840,193.5999,4888
602,3,0.17158111929893494,0.1206201238161262,6.3655510871285514e-06,22500,900.0,22548
607,3,0.18884700536727905,0.12314001609844391,8.900350621843245e-06,5508,220.3001,5556
617,3,0.19744445383548737,0.05109118586748155,3.5388471474107064e-05,14795,591.8,14843
623,3,0.18535663187503815,0.15847937147817,1.6332336826963e-05,18142,725.6998,18190
628,3,0.18624302744865417,0.19303367475504576,1.801365601750149e-05,14052,562.1,14100
634,3,0.20110628008842468,0.09443770826309425,8.597841951996088e-05,9427,377.1,9475
640,3,0.1911577582359314,0.1530599818366195,6.226262883046729e-06,10177,407.0999,10225
652,3,0.2061738818883896,0.180853034035523,1.0519139323150739e-05,8887,355.4999,8935
657,3,0.24077460169792175,0.13604150836762804,1.08642329905706e-05,22500,900.0,22548
662,3,0.244723841547966,0.068910430170645,7.005760562606156e-05,8527,341.1,8575
669,3,0.24725967645645142,0.10298494403081038,1.1499995366648363e-05,18530,741.2,18578
679,3,0.2040245234966278,0.113840464229558,8.15095950201794e-06,22500,900.0,22548
687,3,0.2154332548379898,0.0362591496090288,2.807268515425676e-06,22500,900.0,22548
693,3,0.2422056347131729,0.09011198890045637,1.5750801594549557e-05,21185,847.4,21233
699,3,0.23828420042991638,0.08099203905550353,1.0777518809845787e-05,2982,119.2999,3030
708,3,0.21601153910160065,0.1345625415155715,9.54850861489831e-06,22500,900.0,22548
715,3,0.18025092780590057,0.1507641368385797,3.0618506116297795e-05,16392,655.7001,16440
