275 pids, 275 to fetch, workers 6
10/275 23s 3.60 GB 157.9 MB/s fails 0
20/275 49s 7.70 GB 156.7 MB/s fails 0
30/275 68s 11.12 GB 163.6 MB/s fails 0
40/275 100s 14.81 GB 148.5 MB/s fails 0
50/275 123s 19.12 GB 154.9 MB/s fails 0
60/275 146s 22.07 GB 151.4 MB/s fails 0
70/275 189s 27.36 GB 145.0 MB/s fails 0
80/275 222s 31.91 GB 143.5 MB/s fails 0
90/275 249s 36.07 GB 145.1 MB/s fails 0
100/275 277s 39.98 GB 144.2 MB/s fails 0
110/275 301s 44.62 GB 148.1 MB/s fails 0
120/275 329s 48.87 GB 148.4 MB/s fails 0
130/275 357s 52.83 GB 148.1 MB/s fails 0
140/275 388s 57.33 GB 147.9 MB/s fails 0
150/275 419s 61.89 GB 147.8 MB/s fails 0
160/275 452s 65.83 GB 145.7 MB/s fails 0
170/275 474s 69.87 GB 147.3 MB/s fails 0
180/275 493s 74.03 GB 150.2 MB/s fails 0
190/275 510s 77.75 GB 152.3 MB/s fails 0
200/275 535s 81.88 GB 153.0 MB/s fails 0
210/275 559s 86.14 GB 154.0 MB/s fails 0
220/275 595s 91.03 GB 153.0 MB/s fails 0
230/275 615s 94.94 GB 154.4 MB/s fails 0
240/275 642s 98.96 GB 154.0 MB/s fails 0
250/275 664s 103.00 GB 155.2 MB/s fails 0
260/275 691s 107.28 GB 155.2 MB/s fails 0
270/275 709s 111.14 GB 156.8 MB/s fails 0
FETCH_DONE ok 275 fails 0 wav_on_disk 275 729s 113.48 GB
